,open,high,low,close,volume,value
2023-01-05 09:00:00,26.0,26.1,25.5,25.8,28690334.21883763,741990750.6439842
2023-01-06 09:00:00,25.8,26.1,24.7,25.5,49037746.99142123,1233922989.4907515
2023-01-07 09:00:00,25.5,25.6,25.3,25.3,17770027.80686999,452076263.6399933
2023-01-08 09:00:00,25.3,26.2,25.1,25.9,23364246.70050804,600028038.1519887
2023-01-09 09:00:00,25.9,27.1,25.9,26.3,135746635.23913178,3583310832.7392707
2023-01-10 09:00:00,26.4,27.1,25.9,26.8,95145814.85446177,2528987778.8424015
2023-01-11 09:00:00,26.7,27.6,26.4,27.4,54487515.11406783,1463843492.9257402
2023-01-12 09:00:00,27.4,27.8,26.6,27.6,62189123.85570649,1692039144.222004
2023-01-13 09:00:00,27.6,28.4,27.1,28.3,72965214.612718,2013245450.831219
2023-01-14 09:00:00,28.3,29.9,27.9,29.0,168919600.4486314,4874151300.314725
2023-01-15 09:00:00,29.0,31.0,28.4,30.0,217826675.15580395,6483913497.102498
2023-01-16 09:00:00,30.0,30.5,28.9,29.8,87548287.73494136,2603521066.3073654
2023-01-17 09:00:00,29.8,31.0,29.4,30.5,146475220.90737703,4437802529.242165
2023-01-18 09:00:00,30.5,31.0,28.5,28.7,110543075.95706673,3311737891.5168467
2023-01-19 09:00:00,28.7,29.4,28.5,29.4,58243592.08903429,1685348819.8874092
2023-01-20 09:00:00,29.4,30.7,28.9,30.6,68251219.10673273,2023530023.370685
2023-01-21 09:00:00,30.6,31.1,30.1,30.5,105815716.77934153,3234096426.172886
2023-01-22 09:00:00,30.5,31.1,30.4,31.0,69653498.23405808,2137434281.4072604
2023-01-23 09:00:00,31.0,31.8,30.5,31.8,72182049.2335637,2231803297.103942
2023-01-24 09:00:00,31.7,33.0,30.4,30.8,181002976.23706254,5773968894.353854
2023-01-25 09:00:00,30.9,33.3,30.1,31.9,188519422.36611843,5888097523.3899765
2023-01-26 09:00:00,31.9,32.6,31.2,31.8,89797530.02981876,2847804400.4840612
2023-01-27 09:00:00,31.7,47.7,31.1,34.9,3900332801.2611637,152254531209.95496
2023-01-28 09:00:00,34.9,36.9,33.7,34.1,502002043.45570457,17690840943.657135
2023-01-29 09:00:00,34.0,34.3,33.5,34.1,63075431.20905078,2132342821.959431
2023-01-30 09:00:00,34.1,34.2,31.5,32.0,87186485.17240351,2859184684.0028057
2023-01-31 09:00:00,32.2,33.3,31.5,32.7,118857487.9505895,3865136472.5782447
2023-02-01 09:00:00,32.7,35.5,31.5,34.2,707861041.9410287,24065943084.888504
2023-02-02 09:00:00,34.2,34.9,33.8,34.4,182504871.40128115,6282221865.678205
2023-02-03 09:00:00,34.4,37.9,34.2,36.2,727134527.1905236,26158339578.326847
2023-02-04 09:00:00,36.2,36.3,35.2,36.2,138498937.85694313,4928343742.190262
2023-02-05 09:00:00,36.2,39.5,34.4,35.4,489180276.13546723,17949447009.02175
2023-02-06 09:00:00,35.4,36.1,34.7,35.7,131446875.52478918,4639099622.47005
2023-02-07 09:00:00,38.1,44.1,35.8,37.4,2584986040.062405,104356326049.60992
2023-02-08 09:00:00,37.5,38.9,36.1,36.9,276589338.73161346,10274163163.697355
2023-02-09 09:00:00,37.0,37.3,34.6,34.9,154207021.46994883,5536834358.981179
2023-02-10 09:00:00,34.8,35.5,34.1,35.4,68329767.60930917,2381378297.2187595
2023-02-11 09:00:00,35.5,36.6,35.3,36.1,112609101.34161925,4052356927.5776343
2023-02-12 09:00:00,36.1,36.2,35.3,35.5,47637523.46159823,1695379545.1308415
2023-02-13 09:00:00,35.4,35.5,33.6,34.5,55227654.44157137,1902955572.5004566
2023-02-14 09:00:00,34.6,35.1,33.2,34.9,46541685.50876797,1588870808.9811668
2023-02-15 09:00:00,35.1,37.1,34.6,37.0,151451389.94957206,5447625028.903554
2023-02-16 09:00:00,37.0,38.4,35.6,36.0,229505851.68696377,8519465343.491465
2023-02-17 09:00:00,35.8,38.0,35.5,37.7,118782809.1031696,4402481288.370752
2023-02-18 09:00:00,37.8,39.1,36.8,37.9,169483000.54157814,6459378447.62508
2023-02-19 09:00:00,37.9,39.5,37.3,38.6,208985683.0792637,8039233906.576893
2023-02-20 09:00:00,38.5,44.7,37.3,41.9,1510256529.962196,62456805925.077324
2023-02-21 09:00:00,41.8,44.6,39.6,40.2,777071211.0148449,32500736545.21611
2023-02-22 09:00:00,40.2,40.2,38.3,40.0,160957131.7197695,6317202524.155239
2023-02-23 09:00:00,40.0,40.1,38.3,39.4,81387212.4132709,3211658323.391078
2023-02-24 09:00:00,39.4,40.3,38.8,39.9,124941030.27009818,4918941177.756369
2023-02-25 09:00:00,39.8,39.9,38.2,39.1,59758336.6252921,2327692677.7060914
2023-02-26 09:00:00,38.9,42.3,38.6,40.4,242682566.37953076,9813655055.431208
2023-02-27 09:00:00,40.5,41.3,39.2,40.6,166137965.59570011,6683589837.564126
2023-02-28 09:00:00,40.5,40.5,39.1,39.4,58601542.06494531,2323195396.5789
2023-03-01 09:00:00,39.3,39.6,38.6,39.5,45961593.17206861,1800732391.324878
2023-03-02 09:00:00,39.5,39.6,35.3,38.6,70591028.69845574,2704028668.2996264
