,open,high,low,close,volume,value
2023-01-05 09:00:00,1130.0,1135.0,1090.0,1110.0,2790623.3921269,3090081264.1855593
2023-01-06 09:00:00,1110.0,1220.0,1070.0,1120.0,10610688.41639073,12026365224.482325
2023-01-07 09:00:00,1125.0,1140.0,1105.0,1130.0,2476766.616108,2774146436.876349
2023-01-08 09:00:00,1130.0,1180.0,1100.0,1145.0,4514372.37247084,5134428676.917695
2023-01-09 09:00:00,1140.0,1250.0,1125.0,1220.0,17519966.27099998,20950447367.42289
2023-01-10 09:00:00,1215.0,1270.0,1180.0,1225.0,2936182.18357966,3587766831.315122
2023-01-11 09:00:00,1220.0,1225.0,1175.0,1210.0,1340170.41960167,1614079329.2932734
2023-01-12 09:00:00,1210.0,1305.0,1130.0,1220.0,11927444.97637256,14612048815.766415
2023-01-13 09:00:00,1215.0,1250.0,1195.0,1250.0,4142250.00657104,5057565461.445788
2023-01-14 09:00:00,1245.0,1435.0,1215.0,1325.0,18832559.97304365,24846577913.822598
2023-01-15 09:00:00,1320.0,1650.0,1270.0,1400.0,43776035.92556545,63588873095.10058
2023-01-16 09:00:00,1400.0,1575.0,1355.0,1450.0,13712087.53576203,19811298476.06416
2023-01-17 09:00:00,1450.0,1515.0,1380.0,1415.0,5365010.3340587,7631920927.271315
2023-01-18 09:00:00,1415.0,2290.0,1300.0,2160.0,73760580.52339824,137541261817.9079
2023-01-19 09:00:00,2155.0,3200.0,1855.0,2265.0,173059701.31116122,439123373399.51355
2023-01-20 09:00:00,2265.0,2660.0,2170.0,2345.0,50583709.58062668,121487970804.55135
2023-01-21 09:00:00,2345.0,2465.0,2225.0,2260.0,14986180.24546482,34415077269.31548
2023-01-22 09:00:00,2265.0,2295.0,2105.0,2200.0,12613884.29750184,27821017719.809776
2023-01-23 09:00:00,2200.0,2280.0,2105.0,2205.0,12595224.52833986,27464281745.807915
2023-01-24 09:00:00,2205.0,2655.0,2000.0,2115.0,31870432.85077531,74691852288.81882
2023-01-25 09:00:00,2120.0,2380.0,2030.0,2140.0,14287958.49594407,30352839419.939484
2023-01-26 09:00:00,2140.0,2185.0,2075.0,2110.0,6979727.44832898,14791361849.56866
2023-01-27 09:00:00,2110.0,2315.0,2010.0,2090.0,19502206.16249745,41056379674.69153
2023-01-28 09:00:00,2080.0,2405.0,2060.0,2115.0,33465131.6396716,73423080866.5856
2023-01-29 09:00:00,2110.0,2340.0,2105.0,2165.0,34571888.78961898,76911640491.78397
2023-01-30 09:00:00,2165.0,2210.0,1900.0,1965.0,6274893.85248806,12914882996.665491
2023-01-31 09:00:00,1965.0,1990.0,1835.0,1980.0,5920052.43869485,11366819575.56568
2023-02-01 09:00:00,1980.0,2080.0,1860.0,2000.0,7595905.94543979,15008868021.909622
2023-02-02 09:00:00,2000.0,2040.0,1970.0,1995.0,3282268.67634132,6569711146.858096
2023-02-03 09:00:00,1995.0,2175.0,1960.0,2050.0,13677117.19237157,28466099061.862606
2023-02-04 09:00:00,2050.0,2075.0,1985.0,2025.0,5458485.63990902,11055445072.000912
2023-02-05 09:00:00,2030.0,2380.0,1835.0,1975.0,33110273.69835059,71037388391.49399
