,open,high,low,close,volume,value
2023-01-05 09:00:00,7435.0,7460.0,7205.0,7250.0,548069.33019394,4017134090.2779374
2023-01-06 09:00:00,7250.0,7295.0,7035.0,7255.0,466711.9463163,3348440727.6907578
2023-01-07 09:00:00,7250.0,7430.0,7235.0,7420.0,312082.8949576,2290127742.656241
2023-01-08 09:00:00,7420.0,7555.0,7320.0,7555.0,384356.53494075,2856362681.586767
2023-01-09 09:00:00,7555.0,7850.0,7525.0,7640.0,943126.93177687,7270083932.031957
2023-01-10 09:00:00,7640.0,7915.0,7520.0,7750.0,508747.78239941,3916253651.6308694
2023-01-11 09:00:00,7755.0,7900.0,7575.0,7885.0,700940.00410893,5417850199.663855
2023-01-12 09:00:00,7890.0,8145.0,7675.0,8000.0,2360864.40235226,18719595655.9863
2023-01-13 09:00:00,8010.0,8240.0,7870.0,8210.0,1543769.12273408,12370160186.875118
2023-01-14 09:00:00,8215.0,8930.0,7900.0,8470.0,4101536.46750472,34770331037.62998
2023-01-15 09:00:00,8465.0,8555.0,8150.0,8295.0,1563359.99875441,13025248059.879856
2023-01-16 09:00:00,8295.0,8570.0,8015.0,8330.0,1568474.49532197,13037092062.540287
2023-01-17 09:00:00,8310.0,8670.0,8160.0,8460.0,1781941.3142014,14940658831.905025
2023-01-18 09:00:00,8460.0,8680.0,7875.0,7905.0,1837734.00329579,15287503428.9378
2023-01-19 09:00:00,7890.0,8125.0,7880.0,8100.0,786136.19474098,6281700274.58419
2023-01-20 09:00:00,8100.0,8635.0,8020.0,8590.0,978952.68868936,8098324137.937783
2023-01-21 09:00:00,8590.0,8850.0,8490.0,8530.0,1279457.49021791,11088839291.687557
2023-01-22 09:00:00,8535.0,9030.0,8495.0,8740.0,1552249.71392317,13550896730.382902
2023-01-23 09:00:00,8740.0,9045.0,8570.0,8755.0,1863795.16640431,16494383908.035046
2023-01-24 09:00:00,8755.0,8995.0,8245.0,8355.0,1556279.97155217,13618788554.759188
2023-01-25 09:00:00,8355.0,8810.0,8160.0,8670.0,1424534.81079893,12024063591.738863
2023-01-26 09:00:00,8670.0,9170.0,8565.0,9015.0,1457206.156489,12799962419.925207
2023-01-27 09:00:00,9015.0,9380.0,8745.0,9280.0,1309269.85152979,11876477502.23601
2023-01-28 09:00:00,9280.0,9430.0,8990.0,9100.0,700213.26676593,6462320836.082576
2023-01-29 09:00:00,9100.0,9420.0,9015.0,9220.0,717649.55075142,6625613010.496456
2023-01-30 09:00:00,9205.0,9285.0,8540.0,8700.0,872334.30474387,7742411237.583136
2023-01-31 09:00:00,8700.0,8865.0,8615.0,8750.0,486748.15006745,4252006884.04643
2023-02-01 09:00:00,8765.0,9080.0,8385.0,9015.0,825520.56237336,7194500132.056736
2023-02-02 09:00:00,9015.0,9335.0,8920.0,8935.0,945863.38446759,8608614413.612957
2023-02-03 09:00:00,8955.0,9195.0,8845.0,9165.0,1068169.53996891,9628050784.52409
2023-02-04 09:00:00,9165.0,9240.0,9020.0,9120.0,784515.78642235,7165954286.521981
2023-02-05 09:00:00,9120.0,9135.0,8680.0,8840.0,1320781.47479276,11787537650.016954
2023-02-06 09:00:00,8840.0,8955.0,8660.0,8775.0,920710.66015172,8124780417.262805
2023-02-07 09:00:00,8770.0,9120.0,8760.0,9110.0,945504.14546701,8448520362.742931
2023-02-08 09:00:00,9115.0,9275.0,8890.0,9110.0,1271782.57691753,11597239113.31082
2023-02-09 09:00:00,9110.0,9985.0,8780.0,9025.0,8494350.81245227,80963472314.98422
2023-02-10 09:00:00,9015.0,9200.0,8750.0,8955.0,2497374.07094667,22460194310.787037
2023-02-11 09:00:00,8955.0,9105.0,8890.0,9080.0,439777.76476234,3957131533.815267
2023-02-12 09:00:00,9070.0,9150.0,8700.0,8840.0,511273.4580998,4583388346.990341
2023-02-13 09:00:00,8835.0,8850.0,8345.0,8665.0,691223.37103508,5938998480.225253
2023-02-14 09:00:00,8665.0,8840.0,8445.0,8815.0,579077.44114243,5010409926.562298
