,open,high,low,close,volume,value
2023-02-07 09:00:00,69.7,72.1,67.4,69.9,165810866.75168875,11495902756.59332
2023-02-08 09:00:00,70.0,71.7,68.0,70.5,169391476.9977912,11889896996.245996
2023-02-09 09:00:00,70.5,70.5,66.2,66.5,170295370.60385337,11652490254.360456
2023-02-10 09:00:00,66.5,67.4,64.1,67.3,79730027.1763992,5242835435.796521
2023-02-11 09:00:00,67.2,67.9,65.7,67.8,34817658.64850792,2326030997.083567
2023-02-12 09:00:00,67.8,67.8,66.1,66.6,48288588.33352833,3228791876.1860695
2023-02-13 09:00:00,66.9,67.4,61.8,63.8,86514291.55529788,5516877623.326408
2023-02-14 09:00:00,63.8,65.4,61.4,65.1,62905987.79597372,3981876894.093347
2023-02-15 09:00:00,65.1,70.3,64.2,69.7,151037953.83937076,10220185132.930288
2023-02-16 09:00:00,69.8,78.9,69.2,72.3,1114001072.8143713,82744586457.48041
2023-02-17 09:00:00,72.3,74.4,70.1,74.2,308827036.09242594,22473354016.32105
2023-02-18 09:00:00,74.2,74.2,71.0,73.0,118401674.90526512,8591245630.338472
2023-02-19 09:00:00,72.9,73.0,71.2,72.1,80541487.64159282,5786681174.129937
2023-02-20 09:00:00,72.1,73.6,70.3,73.4,141239606.62116328,10178414763.267408
2023-02-21 09:00:00,73.4,81.3,72.1,74.5,750966289.8573667,56950956326.505585
2023-02-22 09:00:00,74.6,74.6,69.6,72.8,167322598.0471622,12038615097.510727
2023-02-23 09:00:00,72.8,74.0,70.8,73.8,86559741.0331719,6270031621.548903
2023-02-24 09:00:00,73.8,90.2,73.5,79.5,2123060711.9597874,172261691455.8277
2023-02-25 09:00:00,79.5,94.5,73.3,77.0,2884570038.6240096,250070985996.95834
2023-02-26 09:00:00,77.0,84.1,75.1,77.5,597917584.2331725,47167550679.661255
2023-02-27 09:00:00,77.5,77.5,75.0,77.2,127682770.5113,9714076075.75886
2023-02-28 09:00:00,77.2,88.4,76.4,81.9,1735994126.9893415,144762014082.1293
2023-03-01 09:00:00,82.0,86.9,78.3,80.4,1183732793.304068,98863542392.64261
2023-03-02 09:00:00,80.4,81.4,74.8,77.2,217137857.69899127,16796104972.747412
