,open,high,low,close,volume,value
2023-02-06 09:00:00,927.0,942.0,897.0,910.0,30039984.58364069,27609096654.48536
2023-02-07 09:00:00,910.0,1040.0,908.0,1025.0,59643139.44728787,57978724751.18314
2023-02-08 09:00:00,1025.0,1045.0,941.0,980.0,48078560.76345403,47809812051.97645
2023-02-09 09:00:00,981.0,985.0,869.0,877.0,43431349.15654566,40227382963.909584
2023-02-10 09:00:00,876.0,929.0,852.0,897.0,33786291.00927779,29973363352.71937
2023-02-11 09:00:00,897.0,904.0,882.0,902.0,13879868.85525452,12395104885.42604
2023-02-12 09:00:00,902.0,902.0,851.0,858.0,16398123.5493957,14481901030.407566
2023-02-13 09:00:00,859.0,863.0,800.0,839.0,26492617.09476896,21943046369.05721
2023-02-14 09:00:00,839.0,899.0,808.0,877.0,41884007.45785529,35836268436.0407
2023-02-15 09:00:00,877.0,938.0,856.0,935.0,37584551.09878019,33379323521.060425
2023-02-16 09:00:00,935.0,966.0,873.0,880.0,68484557.28055453,64147754237.942154
2023-02-17 09:00:00,880.0,938.0,874.0,922.0,30985671.8568872,28230271306.55807
2023-02-18 09:00:00,922.0,950.0,911.0,922.0,23691984.12771876,22075141949.117683
2023-02-19 09:00:00,923.0,972.0,913.0,929.0,37294492.13745783,35047508126.8705
2023-02-20 09:00:00,929.0,979.0,896.0,956.0,63771223.24673728,60657850144.51004
2023-02-21 09:00:00,955.0,962.0,903.0,917.0,37435345.34219192,35049817685.92572
2023-02-22 09:00:00,917.0,920.0,880.0,917.0,23569997.9390803,21188003806.36577
2023-02-23 09:00:00,918.0,936.0,896.0,922.0,28742837.14506922,26430678995.93669
2023-02-24 09:00:00,922.0,924.0,871.0,891.0,22760062.83373806,20447895743.354496
2023-02-25 09:00:00,890.0,893.0,832.0,869.0,14547074.6056268,12645511817.215668
2023-02-26 09:00:00,869.0,886.0,855.0,881.0,8196269.86317842,7135664606.087862
2023-02-27 09:00:00,882.0,892.0,853.0,871.0,13001765.95913646,11325604840.38088
2023-02-28 09:00:00,871.0,877.0,835.0,842.0,11453079.05430809,9847587880.132162
2023-03-01 09:00:00,841.0,874.0,829.0,867.0,12410960.06208094,10623075172.63246
2023-03-02 09:00:00,866.0,869.0,829.0,847.0,9440379.75489205,7958579889.159949
