,open,high,low,close,volume,value
2023-01-05 09:00:00,15.6,15.7,15.1,15.5,57981560.18859127,894600342.4963616
2023-01-06 09:00:00,15.6,15.7,14.9,15.4,53747906.50048673,819316035.8337941
2023-01-07 09:00:00,15.4,15.5,15.2,15.3,20337512.29856933,311883679.8795033
2023-01-08 09:00:00,15.3,15.8,15.3,15.8,41709967.96622126,646946462.1747237
2023-01-09 09:00:00,15.8,16.7,15.7,16.3,138616209.63066903,2232094823.2483387
2023-01-10 09:00:00,16.3,18.0,15.9,16.7,458057844.335644,7744340060.466128
2023-01-11 09:00:00,16.8,17.5,16.5,16.9,166289881.00672257,2817394331.6186047
2023-01-12 09:00:00,16.9,17.3,16.6,17.1,89470135.6323483,1510566603.2696514
2023-01-13 09:00:00,17.1,17.8,17.0,17.7,82645370.96401495,1423536014.495842
2023-01-14 09:00:00,17.7,18.8,17.5,18.4,218845957.53624472,3968302505.144005
2023-01-15 09:00:00,18.4,20.3,18.4,19.2,486376452.4724876,9355445143.887272
2023-01-16 09:00:00,19.2,19.3,18.3,19.2,128656005.2844447,2420980627.54429
2023-01-17 09:00:00,19.1,24.6,18.8,20.5,3808579937.8543677,82649319282.13147
2023-01-18 09:00:00,20.5,20.5,18.5,18.7,437723897.0143562,8555276909.36262
2023-01-19 09:00:00,18.8,19.2,18.6,19.2,105590187.82062693,1991834304.153284
2023-01-20 09:00:00,19.2,20.1,18.8,20.0,138805456.2694734,2685438118.7749662
2023-01-21 09:00:00,19.9,21.6,19.7,20.2,397160361.4736296,8124428557.533337
2023-01-22 09:00:00,20.3,20.4,19.9,20.2,91743161.73741695,1847911200.5724807
2023-01-23 09:00:00,20.1,21.1,19.8,20.7,144518002.23096576,2940872525.6794834
2023-01-24 09:00:00,20.7,22.8,20.1,20.3,648855739.7622606,13879457057.670198
2023-01-25 09:00:00,20.4,22.6,19.5,21.4,692263597.247385,14639345140.196081
2023-01-26 09:00:00,21.4,21.6,20.8,21.4,169666271.28971964,3593235594.7209997
2023-01-27 09:00:00,21.4,22.2,20.6,22.1,247495211.66540402,5301033462.367828
2023-01-28 09:00:00,22.0,22.1,21.4,22.0,107228570.02142726,2339654003.4462314
2023-01-29 09:00:00,22.0,25.3,21.9,22.5,1633500527.2171528,38402777597.7848
2023-01-30 09:00:00,22.4,22.5,20.3,20.6,196772192.01164448,4203155152.6954536
2023-01-31 09:00:00,20.6,21.0,20.0,20.9,77220182.94133526,1581578674.2827504
2023-02-01 09:00:00,20.8,21.6,19.6,21.2,182187380.01155636,3728680103.370923
2023-02-02 09:00:00,21.2,24.9,21.2,22.7,1312358133.5705159,30113428586.977047
2023-02-03 09:00:00,22.7,23.9,22.3,23.8,633693322.0446701,14587380338.631184
2023-02-04 09:00:00,23.8,25.1,23.3,24.0,641962428.0105507,15559480720.758848
2023-02-05 09:00:00,23.9,25.4,21.9,24.1,781035522.9116575,18829026017.90813
2023-02-06 09:00:00,24.1,29.0,23.2,24.7,669515645.8984691,16621641666.454565
2023-02-07 09:00:00,24.7,25.5,23.7,24.8,283748748.5215736,6917198199.243155
2023-02-08 09:00:00,24.7,25.7,24.1,25.3,343997406.6425039,8577301623.055472
2023-02-09 09:00:00,25.3,25.4,23.0,23.5,263257929.3055368,6328546753.334433
2023-02-10 09:00:00,23.5,26.0,22.3,23.7,400729226.9177684,9523262345.291765
2023-02-11 09:00:00,23.6,23.8,23.0,23.7,66202322.26131444,1543031468.2381287
2023-02-12 09:00:00,23.8,23.8,23.0,23.2,70137353.11446336,1635004354.0870144
2023-02-13 09:00:00,23.0,23.1,21.2,22.3,132012108.38696846,2911751521.345774
2023-02-14 09:00:00,22.3,22.9,21.2,22.6,122018001.60683453,2677052321.650136
2023-02-15 09:00:00,22.6,24.6,22.2,24.5,203042395.9331367,4740473818.507869
2023-02-16 09:00:00,24.5,25.9,24.2,24.6,365671940.2068847,9208817411.458267
2023-02-17 09:00:00,24.6,25.6,24.3,25.6,186855256.02851462,4639752630.525145
2023-02-18 09:00:00,25.6,25.6,24.7,25.4,142469413.19087824,3587732433.0827236
2023-02-19 09:00:00,25.3,25.5,24.7,25.3,145164550.4902662,3640301057.198871
2023-02-20 09:00:00,25.3,26.6,24.6,26.5,300270967.15672565,7711549795.906018
2023-02-21 09:00:00,26.5,26.5,25.2,26.0,224846274.23973894,5821404850.576441
2023-02-22 09:00:00,26.0,26.0,24.8,25.9,137839018.6778621,3475288119.093864
2023-02-23 09:00:00,25.8,26.2,25.0,26.2,121360224.56321841,3100529482.60588
2023-02-24 09:00:00,26.1,27.8,25.8,27.7,527343351.8750382,14065096966.857344
2023-02-25 09:00:00,27.7,27.7,25.7,27.0,179011992.9246333,4757362536.226463
2023-02-26 09:00:00,27.0,27.0,26.2,26.8,91406804.61227879,2424202492.870043
2023-02-27 09:00:00,26.6,27.2,26.1,26.6,172982829.27489346,4614014754.382952
2023-02-28 09:00:00,26.6,28.1,26.6,26.8,593681756.609399,16211693614.729416
2023-03-01 09:00:00,26.7,26.7,25.6,26.3,135025850.67476445,3525699101.596158
2023-03-02 09:00:00,26.2,28.3,24.8,27.3,1254057968.179284,33636929299.590157
2023-03-03 09:00:00,27.4,28.3,25.0,25.3,435693123.6559011,11411896953.634611
2023-03-04 09:00:00,25.4,26.1,25.1,25.6,156920784.6425947,4016402728.948707
2023-03-05 09:00:00,25.6,27.2,25.1,25.9,294852770.2910426,7634412292.981531
2023-03-06 09:00:00,26.0,26.0,24.3,25.4,138733520.4712186,3479254163.5005693
2023-03-07 09:00:00,25.3,26.2,24.2,24.9,278398571.2158908,7060907774.226101
2023-03-08 09:00:00,24.8,25.9,23.0,23.3,248624445.45271075,6004604542.150433
2023-03-09 09:00:00,23.2,23.2,20.8,21.3,199467585.39105242,4397752220.31324
2023-03-10 09:00:00,21.3,21.4,20.1,21.2,139031044.9754665,2881241312.057693
2023-03-11 09:00:00,21.2,21.8,20.2,21.0,87101562.39251637,1822828168.6499374
2023-03-12 09:00:00,21.0,21.8,20.0,21.7,85943744.5079569,1783997057.2209532
2023-03-13 09:00:00,21.8,22.9,21.0,22.8,282120587.5116148,6152234488.791286
2023-03-14 09:00:00,22.8,23.7,22.1,23.4,222376631.47298715,5116887028.544736
2023-03-15 09:00:00,23.5,23.6,22.0,22.4,161699880.15521127,3731453491.4646964
2023-03-16 09:00:00,22.3,22.8,21.9,22.6,92594415.8027984,2068581978.6896114
2023-03-17 09:00:00,22.6,23.7,22.4,23.6,100022634.7856103,2302928600.5910883
2023-03-18 09:00:00,23.5,23.8,22.8,23.0,105809412.441958,2485592809.4464135
2023-03-19 09:00:00,23.0,24.0,22.6,23.6,112445546.775224,2598811334.4550385
2023-03-20 09:00:00,23.7,23.8,23.0,23.2,85306641.09110416,1994848874.0106735
2023-03-21 09:00:00,23.2,23.2,21.6,22.7,105515937.152493,2365965670.937488
2023-03-22 09:00:00,22.7,22.8,21.7,22.0,77759708.40525815,1737621449.6788285
2023-03-23 09:00:00,21.9,22.4,21.6,22.3,79737967.7763231,1753832391.240132
2023-03-24 09:00:00,22.3,22.4,22.0,22.0,53840115.26742078,1194643752.2686336
2023-03-25 09:00:00,22.0,22.1,21.5,21.9,51906712.46148349,1133730751.2245147
2023-03-26 09:00:00,21.8,22.0,21.7,21.9,31734282.69521917,693221842.4252105
2023-03-27 09:00:00,21.9,22.4,20.3,20.8,123940908.84474587,2649859449.782999
2023-03-28 09:00:00,20.8,21.1,20.2,21.1,67023989.22643104,1378969996.5989528
2023-03-29 09:00:00,21.1,21.9,20.8,21.9,96019815.67226411,2063375472.6962543
2023-03-30 09:00:00,21.8,22.1,21.2,21.5,85327444.66995949,1848719106.3075383
2023-03-31 09:00:00,21.5,22.1,21.1,21.9,64537002.96733706,1392087229.852229
2023-04-01 09:00:00,21.8,22.6,21.8,22.6,78797374.34084392,1751037451.209722
2023-04-02 09:00:00,22.6,22.6,21.5,21.8,67670058.76760408,1495519183.518954
2023-04-03 09:00:00,21.8,22.2,21.3,21.7,75873519.86107627,1645114481.7582014
2023-04-04 09:00:00,21.6,22.6,21.6,22.2,125661783.75716773,2781202041.7131567
2023-04-05 09:00:00,22.3,24.7,22.2,24.5,345661321.55528986,8086773724.315457
2023-04-06 09:00:00,24.5,24.5,22.9,23.7,208143826.88972688,4879285506.687896
2023-04-07 09:00:00,23.7,25.5,22.9,24.6,416845705.79276043,10077707933.862213
2023-04-08 09:00:00,24.6,25.7,23.8,24.9,403578936.4597461,9991108069.944359
2023-04-09 09:00:00,24.9,24.9,23.5,24.2,121806513.91196851,2927817417.8947453
2023-04-10 09:00:00,24.3,25.3,23.6,25.1,226832819.99146104,5525109108.606836
2023-04-11 09:00:00,25.2,25.7,24.3,24.8,223465777.45079777,5555534430.109084
2023-04-12 09:00:00,24.9,24.9,23.4,23.7,174302202.64093834,4167452912.6202903
2023-04-13 09:00:00,23.8,24.0,23.3,23.7,74263118.12040383,1755267947.4458158
2023-04-14 09:00:00,23.7,23.9,23.5,23.6,79994813.09078896,1894772544.7064912
2023-04-15 09:00:00,23.8,23.9,23.6,23.7,62264681.19832826,1476836688.8295984
2023-04-16 09:00:00,23.7,23.8,23.4,23.6,52505163.97875092,1237731011.8339295
2023-04-17 09:00:00,23.6,23.7,23.0,23.3,79748771.64265238,1861038958.4504585
2023-04-18 09:00:00,23.4,23.6,23.1,23.4,74919068.80772342,1754127488.6827316
2023-04-19 09:00:00,23.4,23.6,22.2,22.3,112492024.30137996,2576607854.672068
2023-04-20 09:00:00,22.4,22.7,22.0,22.4,73977590.48584552,1655552631.5948613
2023-04-21 09:00:00,22.5,23.0,22.1,22.6,132236788.2866625,2997951387.62477
2023-04-22 09:00:00,22.5,22.7,22.0,22.6,49052078.07331668,1094011795.0639622
2023-04-23 09:00:00,22.6,23.8,22.2,22.4,273183298.432501,6306471754.353571
2023-04-24 09:00:00,22.4,22.7,21.4,21.9,78104743.7031054,1709048546.046209
2023-04-25 09:00:00,21.9,22.5,21.0,22.5,101289682.46165785,2195481092.823416
2023-04-26 09:00:00,22.4,22.7,21.9,22.3,114660434.86316743,2559339817.6914387
2023-04-27 09:00:00,22.2,22.5,21.9,22.4,55913717.80209574,1243739439.429937
2023-04-28 09:00:00,22.4,22.4,21.8,22.2,52314718.84134203,1154401122.0124555
2023-04-29 09:00:00,22.2,22.7,22.1,22.3,42975993.27936692,960130475.4901245
2023-04-30 09:00:00,22.3,22.3,21.9,22.1,34062127.11170826,752004339.3833653
2023-05-01 09:00:00,22.1,22.1,21.2,21.3,52876388.03483025,1141830645.8216934
2023-05-02 09:00:00,21.3,21.6,21.0,21.4,40288046.04482429,856520374.7390822
2023-05-03 09:00:00,21.5,21.8,21.0,21.5,80558126.14037675,1714736876.5202553
2023-05-04 09:00:00,21.5,21.8,21.2,21.3,60562170.24178067,1305437315.5009692
2023-05-05 09:00:00,21.4,21.8,21.2,21.3,43361312.97378194,929804582.397556
2023-05-06 09:00:00,21.3,21.6,21.0,21.1,43892776.04854946,932463734.5537567
2023-05-07 09:00:00,21.1,21.2,20.8,20.9,20402167.17082977,428077580.4563885
2023-05-08 09:00:00,20.9,21.0,19.9,20.0,54719479.50525067,1111723658.0124533
2023-05-09 09:00:00,20.1,20.2,19.7,20.0,49236843.03521949,983795654.9640766
2023-05-10 09:00:00,20.0,20.5,19.9,20.0,93873627.99324062,1893342962.1754024
2023-05-11 09:00:00,20.0,20.1,19.6,19.7,42407913.87271593,841965405.062033
2023-05-12 09:00:00,19.7,19.8,19.1,19.7,68455305.96061873,1321509697.723243
2023-05-13 09:00:00,19.7,19.7,19.4,19.4,23821286.86357382,464780873.1293505
2023-05-14 09:00:00,19.5,19.5,19.2,19.4,29479991.85472881,569993598.6165384
2023-05-15 09:00:00,19.4,19.5,19.1,19.3,48159560.54924578,930812667.6932231
2023-05-16 09:00:00,19.3,19.5,19.2,19.3,32649869.91070082,630343649.8804809
2023-05-17 09:00:00,19.3,19.6,19.1,19.5,42292162.02478132,816830748.1342943
2023-05-18 09:00:00,19.5,19.5,19.2,19.2,38278564.71164563,741612908.2722981
2023-05-19 09:00:00,19.3,19.6,19.2,19.2,74384177.9435283,1441547772.469772
2023-05-20 09:00:00,19.2,20.1,19.2,19.3,135965322.6517628,2662439627.50543
2023-05-21 09:00:00,19.4,19.4,18.8,18.9,42824257.9129494,817486567.1262958
2023-05-22 09:00:00,18.8,19.0,18.4,18.5,57944959.67930931,1077192892.791491
2023-05-23 09:00:00,18.5,18.7,18.3,18.4,46738374.91814792,863538469.6023252
2023-05-24 09:00:00,18.4,18.4,17.5,17.7,91499124.76913542,1636040820.9440386
2023-05-25 09:00:00,17.8,17.8,17.3,17.5,54987967.50019875,958972270.6107795
2023-05-26 09:00:00,17.6,17.8,17.2,17.5,35764766.30188323,624582748.080373
2023-05-27 09:00:00,17.5,17.6,17.3,17.6,18630863.25464783,325006441.2002094
