,open,high,low,close,volume,value
2023-02-07 09:00:00,43.2,47.7,42.9,45.1,806550023.4232306,36443191251.52373
2023-02-08 09:00:00,45.0,45.1,43.1,44.3,122638139.88810147,5445308055.411541
2023-02-09 09:00:00,44.2,44.2,40.8,40.9,117167614.07323354,4958066676.254267
2023-02-10 09:00:00,40.9,44.2,40.1,42.0,222368817.63281748,9372834277.189028
2023-02-11 09:00:00,42.0,43.6,41.6,42.2,92183193.7072914,3924212713.0348854
2023-02-12 09:00:00,42.2,42.7,40.7,40.8,63436824.20009742,2627483808.2153783
2023-02-13 09:00:00,40.8,41.5,37.7,39.7,70215872.0403849,2788618655.7920213
2023-02-14 09:00:00,39.7,40.6,37.2,40.3,61295050.63556348,2388773289.465509
2023-02-15 09:00:00,40.3,44.5,40.2,44.3,236704841.10826933,9920858254.79087
2023-02-16 09:00:00,44.2,50.0,43.8,44.9,716320225.1489011,33566831632.834953
2023-02-17 09:00:00,44.9,46.9,44.5,46.8,160791847.78605118,7346983368.322374
2023-02-18 09:00:00,46.6,46.8,44.6,46.4,92649015.62109964,4243523773.896672
2023-02-19 09:00:00,46.4,46.4,45.0,45.7,69577516.42867255,3168388757.708782
2023-02-20 09:00:00,45.7,46.9,44.2,46.6,142629934.33255327,6516380693.668811
2023-02-21 09:00:00,46.7,46.9,44.5,45.9,182034755.6559116,8329465070.327536
2023-02-22 09:00:00,45.8,46.3,44.2,45.9,66860791.36127554,3007975613.7686405
2023-02-23 09:00:00,46.0,46.4,44.3,46.2,90984952.2804072,4130127597.889945
2023-02-24 09:00:00,46.2,52.6,45.8,49.5,1214364161.1497822,59605978684.86479
2023-02-25 09:00:00,49.5,49.5,44.8,46.5,214780469.46318358,10025506403.506119
2023-02-26 09:00:00,46.7,49.6,46.3,47.4,326415525.4887591,15572031071.670998
2023-02-27 09:00:00,47.4,47.5,45.7,46.7,87968021.22942074,4084227622.476365
2023-02-28 09:00:00,46.8,50.2,46.8,47.7,750214651.7997817,36414973984.91631
2023-03-01 09:00:00,47.6,47.7,45.4,46.9,129001879.75502437,5962947683.832343
2023-03-02 09:00:00,46.9,46.9,43.5,45.1,134707937.30595297,6048653750.625652
2023-03-03 09:00:00,45.0,45.7,40.5,42.1,117918290.81931227,5048898178.259051
2023-03-04 09:00:00,42.1,43.1,41.0,42.0,52293371.13919855,2203340238.592511
2023-03-05 09:00:00,42.0,43.1,41.5,41.8,52001005.1716219,2187694888.07955
2023-03-06 09:00:00,41.8,41.9,39.3,41.1,54399952.16347439,2198804413.932859
2023-03-07 09:00:00,41.0,43.0,39.8,40.9,117522760.56798294,4854429169.365047
2023-03-08 09:00:00,41.0,41.2,39.1,39.3,51643542.23551988,2057703024.3301945
2023-03-09 09:00:00,39.2,39.6,35.9,36.7,63006846.95441659,2398289489.515948
2023-03-10 09:00:00,36.8,37.0,34.1,36.8,90030962.27274983,3194120414.6816955
2023-03-11 09:00:00,36.8,38.9,35.2,36.8,120301821.42609736,4482967274.88662
2023-03-12 09:00:00,36.7,38.4,35.1,38.2,46720966.64962311,1705231088.082855
2023-03-13 09:00:00,38.1,43.8,37.4,42.1,1021710407.1537024,42013508369.34626
2023-03-14 09:00:00,42.1,43.8,40.1,43.7,327547373.05385,13856771613.45133
2023-03-15 09:00:00,43.6,44.4,41.1,41.6,147465212.05031198,6354030841.958751
2023-03-16 09:00:00,41.6,42.9,40.6,42.1,57879720.43991276,2412303036.35014
2023-03-17 09:00:00,42.1,44.0,41.8,44.0,116982572.15939806,4999710195.472463
2023-03-18 09:00:00,43.6,44.1,42.7,42.7,78647088.0489491,3415118144.336669
2023-03-19 09:00:00,42.8,43.2,41.1,42.7,63657415.13294665,2684248460.497782
2023-03-20 09:00:00,42.6,42.8,41.3,41.8,50293795.00114503,2109486782.0939023
2023-03-21 09:00:00,41.7,41.8,38.9,40.7,75957459.1761898,3059560998.2402787
2023-03-22 09:00:00,40.7,41.3,38.6,39.5,51126454.87172985,2059167282.892909
2023-03-23 09:00:00,39.6,41.2,39.0,40.7,74745802.39354797,3013181407.713465
2023-03-24 09:00:00,40.8,41.7,40.6,41.1,49451045.29296854,2035016132.4995599
2023-03-25 09:00:00,41.1,41.5,40.1,40.3,23481433.46865416,953668303.5080293
2023-03-26 09:00:00,40.3,40.6,39.9,40.4,16611151.9222053,668019404.2116232
2023-03-27 09:00:00,40.4,40.6,38.1,38.7,39808795.28719435,1570620193.6612382
2023-03-28 09:00:00,38.6,39.8,37.8,39.0,46725307.20538746,1807307273.8287961
2023-03-29 09:00:00,39.0,40.7,38.8,40.7,42251181.44473397,1677322986.1968293
2023-03-30 09:00:00,40.7,40.9,39.5,40.0,37161443.33877815,1492167254.8020163
2023-03-31 09:00:00,39.9,40.6,38.9,40.6,48758543.66014942,1938817045.1248271
2023-04-01 09:00:00,40.5,42.1,40.2,41.8,63501498.17430746,2611285274.7248645
2023-04-02 09:00:00,41.9,42.0,40.0,40.3,33105300.19201483,1359506493.5680704
2023-04-03 09:00:00,40.5,42.6,39.4,40.3,99248142.2672858,4053808006.2670503
2023-04-04 09:00:00,40.1,41.3,39.7,40.8,48246167.37760012,1954607972.0337915
2023-04-05 09:00:00,40.7,46.2,40.6,45.7,304577605.65003294,13244140260.262922
2023-04-06 09:00:00,45.6,46.0,42.0,43.2,156019790.11311984,6735332987.420808
2023-04-07 09:00:00,43.3,43.9,40.4,41.7,92822395.40388802,3921831732.7880316
2023-04-08 09:00:00,41.7,50.5,41.6,42.5,2334084453.3115892,109344978755.50453
2023-04-09 09:00:00,42.3,42.5,40.2,40.9,173713294.90364686,7116554778.455649
2023-04-10 09:00:00,41.0,41.8,39.3,41.0,128728544.78142433,5212559112.854162
2023-04-11 09:00:00,41.0,41.2,40.5,41.2,50925478.90815538,2078691962.7539208
2023-04-12 09:00:00,41.2,41.2,39.9,40.6,54694178.74390477,2212177566.8524985
2023-04-13 09:00:00,40.6,40.8,40.0,40.6,26772646.7272424,1082383828.0560832
2023-04-14 09:00:00,40.8,41.0,40.2,40.7,44957867.42051285,1827171703.2882252
2023-04-15 09:00:00,40.7,41.6,40.6,40.9,46100302.73130909,1889203413.1698737
2023-04-16 09:00:00,40.8,41.3,40.6,41.1,21419107.41024618,874883330.7873973
2023-04-17 09:00:00,41.1,41.2,40.0,40.4,34191015.44722798,1385865742.3824365
2023-04-18 09:00:00,40.5,41.1,40.4,40.7,28669303.49143288,1167970298.8887768
2023-04-19 09:00:00,40.7,41.7,38.8,39.2,90043984.72991091,3634644105.896344
2023-04-20 09:00:00,39.2,39.8,38.4,39.4,39580531.98013931,1549242478.2306492
2023-04-21 09:00:00,39.5,42.8,39.4,41.2,721716189.20714,29737071346.998062
2023-04-22 09:00:00,41.2,41.2,38.9,40.4,98948129.72241622,3917191606.307666
2023-04-23 09:00:00,40.5,40.8,39.1,39.4,46548333.76361497,1857048284.1928203
2023-04-24 09:00:00,39.5,41.4,38.5,39.5,90581428.6229636,3610473597.4268847
2023-04-25 09:00:00,39.4,40.3,38.3,40.2,62665342.5068592,2458781810.5470977
2023-04-26 09:00:00,40.2,40.7,39.3,40.1,69610037.98537238,2795880109.9727154
2023-04-27 09:00:00,40.0,40.4,39.3,40.2,35376672.24037992,1411079871.1432924
2023-04-28 09:00:00,40.2,40.3,39.7,40.3,21414509.20201319,855688930.8009104
2023-04-29 09:00:00,40.3,43.5,40.0,40.4,218624559.17987308,9067768728.21934
