,open,high,low,close,volume,value
2023-02-06 09:00:00,392.0,432.0,384.0,425.0,69745865.8596678,28466555311.33993
2023-02-07 09:00:00,426.0,426.0,396.0,415.0,29384094.9547464,11891175850.09147
2023-02-08 09:00:00,414.0,414.0,401.0,408.0,17517971.55196887,7126942674.17198
2023-02-09 09:00:00,408.0,409.0,379.0,381.0,20947369.07957709,8208510152.2147045
2023-02-10 09:00:00,380.0,386.0,370.0,386.0,8071678.71338968,3054234356.0951533
2023-02-11 09:00:00,386.0,390.0,380.0,389.0,3597352.53500023,1382887806.3339543
2023-02-12 09:00:00,389.0,395.0,377.0,391.0,6613613.37590009,2557754095.3003683
2023-02-13 09:00:00,391.0,414.0,360.0,374.0,25099680.38661987,9753367313.201344
2023-02-14 09:00:00,373.0,380.0,351.0,378.0,17199836.3018695,6281826936.946296
2023-02-15 09:00:00,377.0,402.0,372.0,400.0,14986061.0257178,5772558226.884312
2023-02-16 09:00:00,400.0,414.0,387.0,392.0,29077543.30934105,11736965456.819038
2023-02-17 09:00:00,392.0,409.0,386.0,408.0,14780903.5360034,5897448384.655296
2023-02-18 09:00:00,409.0,422.0,399.0,412.0,23205291.03538276,9538375045.066288
2023-02-19 09:00:00,412.0,415.0,401.0,413.0,14953013.91575323,6096208923.58288
2023-02-20 09:00:00,413.0,435.0,402.0,433.0,20193109.37878056,8415557014.454799
2023-02-21 09:00:00,433.0,440.0,411.0,422.0,25670783.08080317,10885453023.280327
2023-02-22 09:00:00,422.0,427.0,401.0,419.0,13675203.83953384,5634751765.1722355
2023-02-23 09:00:00,420.0,433.0,406.0,430.0,24785033.03004267,10486590465.088398
2023-02-24 09:00:00,430.0,462.0,421.0,461.0,46099093.56747895,20346938281.030354
2023-02-25 09:00:00,461.0,462.0,418.0,432.0,20865271.13681548,9081763525.785624
2023-02-26 09:00:00,432.0,432.0,419.0,428.0,8642085.83898395,3661024527.7899995
2023-02-27 09:00:00,428.0,434.0,415.0,432.0,16872301.56388649,7192079544.1659155
2023-02-28 09:00:00,431.0,431.0,418.0,422.0,7643240.62443513,3237221208.2104335
2023-03-01 09:00:00,421.0,424.0,408.0,422.0,9612300.57558089,4011586093.276135
2023-03-02 09:00:00,422.0,422.0,396.0,405.0,11205313.86238355,4540721169.776106
2023-03-03 09:00:00,405.0,405.0,372.0,379.0,10831047.5830056,4123836962.234323
2023-03-04 09:00:00,379.0,383.0,373.0,380.0,3978079.46750759,1507032520.2022681
2023-03-05 09:00:00,380.0,381.0,371.0,377.0,3559257.13391959,1335532579.2858546
2023-03-06 09:00:00,377.0,377.0,355.0,366.0,6935170.2478183,2532056510.772152
2023-03-07 09:00:00,366.0,367.0,348.0,354.0,7037439.49084098,2518436942.7442775
2023-03-08 09:00:00,355.0,367.0,335.0,338.0,7440092.20655296,2602876398.900785
2023-03-09 09:00:00,338.0,341.0,313.0,320.0,7003206.41187677,2301290538.2445617
2023-03-10 09:00:00,319.0,322.0,304.0,319.0,6650430.53868465,2082058467.9536312
2023-03-11 09:00:00,319.0,326.0,309.0,319.0,4471341.28713433,1420212104.9973547
2023-03-12 09:00:00,319.0,339.0,303.0,334.0,5237233.92796577,1661262097.6686838
2023-03-13 09:00:00,334.0,356.0,322.0,353.0,17423045.83267412,5911811772.415423
2023-03-14 09:00:00,353.0,367.0,340.0,364.0,18176538.1921309,6470735766.568477
2023-03-15 09:00:00,364.0,365.0,340.0,344.0,9798395.54741451,3496570305.5750995
2023-03-16 09:00:00,344.0,354.0,342.0,354.0,4327981.63502714,1500740403.1488671
2023-03-17 09:00:00,354.0,370.0,351.0,369.0,10388602.12313798,3732705028.831247
2023-03-18 09:00:00,369.0,373.0,361.0,362.0,6872349.88197759,2532525193.526618
2023-03-19 09:00:00,363.0,377.0,359.0,374.0,6042019.80724222,2228905746.427779
2023-03-20 09:00:00,374.0,377.0,359.0,363.0,6956964.48812484,2574319091.76643
2023-03-21 09:00:00,363.0,376.0,340.0,359.0,7241849.34059837,2588913645.8391647
2023-03-22 09:00:00,360.0,370.0,344.0,350.0,6624937.80523517,2374551465.61001
2023-03-23 09:00:00,349.0,359.0,343.0,356.0,3671603.95308649,1284122648.621716
2023-03-24 09:00:00,356.0,358.0,343.0,347.0,2947927.13586558,1036432186.9722767
2023-03-25 09:00:00,347.0,352.0,344.0,347.0,1389544.25459897,481863382.6226759
2023-03-26 09:00:00,349.0,352.0,345.0,350.0,1457488.41147547,508193606.62778246
2023-03-27 09:00:00,351.0,351.0,331.0,334.0,4083971.53207707,1388684386.6798813
2023-03-28 09:00:00,334.0,371.0,323.0,343.0,44202535.59277275,15332390594.631474
2023-03-29 09:00:00,343.0,361.0,339.0,358.0,28186001.56196737,9915000158.956146
2023-03-30 09:00:00,357.0,366.0,351.0,355.0,11574726.4961593,4140739496.7643785
2023-03-31 09:00:00,355.0,364.0,346.0,359.0,8481212.2603329,3019210180.10752
2023-04-01 09:00:00,359.0,386.0,359.0,379.0,24267726.46392583,9074320390.679533
2023-04-02 09:00:00,379.0,379.0,358.0,362.0,8189584.84677635,3014739005.637028
2023-04-03 09:00:00,364.0,405.0,362.0,389.0,109913296.42156738,42167360244.390114
2023-04-04 09:00:00,388.0,435.0,372.0,416.0,117146438.17798677,47741855389.046844
2023-04-05 09:00:00,416.0,736.0,405.0,721.0,1364376415.619131,792690536193.1556
2023-04-06 09:00:00,720.0,772.0,553.0,745.0,1552618819.7215836,1036371068389.6512
2023-04-07 09:00:00,746.0,788.0,665.0,718.0,798197775.7302876,576516753351.2039
2023-04-08 09:00:00,718.0,725.0,592.0,604.0,341308872.5219746,228889436852.82852
2023-04-09 09:00:00,603.0,661.0,558.0,604.0,453385407.68008375,277867038669.96954
2023-04-10 09:00:00,604.0,713.0,588.0,643.0,693707774.0928745,457651402241.15765
2023-04-11 09:00:00,644.0,682.0,636.0,645.0,292376524.8209653,193110336295.64117
2023-04-12 09:00:00,647.0,661.0,591.0,599.0,150232459.06450498,93255436716.05333
2023-04-13 09:00:00,598.0,599.0,561.0,587.0,98818145.44840547,56772318195.09563
2023-04-14 09:00:00,587.0,629.0,574.0,602.0,217578018.8318547,130761376778.87628
2023-04-15 09:00:00,603.0,654.0,591.0,613.0,205181532.02387497,128077219777.84315
2023-04-16 09:00:00,613.0,637.0,596.0,611.0,106901507.3526581,65843541800.405045
2023-04-17 09:00:00,611.0,612.0,581.0,584.0,41009285.23858638,24327916948.31433
2023-04-18 09:00:00,584.0,612.0,584.0,595.0,84855115.30368938,50729005566.32081
2023-04-19 09:00:00,595.0,599.0,541.0,549.0,42561509.49335582,24172595257.373325
2023-04-20 09:00:00,548.0,562.0,514.0,527.0,51191037.93464512,27521183644.03952
2023-04-21 09:00:00,527.0,533.0,479.0,495.0,58568479.27178683,29579861338.803524
2023-04-22 09:00:00,494.0,515.0,477.0,507.0,32092345.41395257,15791471220.66483
2023-04-23 09:00:00,507.0,582.0,502.0,541.0,309597396.62940365,169982755101.87036
2023-04-24 09:00:00,541.0,547.0,487.0,502.0,80687586.25858659,40816573994.70431
2023-04-25 09:00:00,502.0,516.0,473.0,494.0,41793781.71921059,20370893537.438057
2023-04-26 09:00:00,494.0,502.0,475.0,485.0,37608393.086417,18374223853.914055
2023-04-27 09:00:00,484.0,496.0,476.0,489.0,18815537.67070722,9138236929.734825
2023-04-28 09:00:00,489.0,527.0,489.0,503.0,122762901.80779184,61980335457.45827
2023-04-29 09:00:00,504.0,513.0,492.0,498.0,26525800.70795954,13288168602.323885
2023-04-30 09:00:00,497.0,512.0,492.0,501.0,45029675.57209405,22666642009.576534
2023-05-01 09:00:00,501.0,505.0,478.0,483.0,21011248.05803248,10251964382.483404
2023-05-02 09:00:00,482.0,490.0,477.0,484.0,14671626.53665281,7084584527.844855
2023-05-03 09:00:00,483.0,492.0,463.0,474.0,21024578.97660469,10011337629.407558
2023-05-04 09:00:00,473.0,484.0,465.0,472.0,14433546.63501318,6821800130.606215
2023-05-05 09:00:00,472.0,489.0,464.0,473.0,23685752.30868154,11291136206.068504
2023-05-06 09:00:00,474.0,479.0,456.0,460.0,13960608.92910859,6514567944.50646
2023-05-07 09:00:00,460.0,466.0,451.0,452.0,8715047.95835931,3971607704.7453403
2023-05-08 09:00:00,452.0,456.0,420.0,425.0,17837737.47937577,7676613653.031135
2023-05-09 09:00:00,424.0,430.0,414.0,428.0,12047616.87921569,5087557296.746895
2023-05-10 09:00:00,427.0,440.0,416.0,432.0,13929547.73600785,5925777718.07205
2023-05-11 09:00:00,432.0,432.0,403.0,410.0,9535286.90935263,3969529222.3867345
