,open,high,low,close,volume,value
2023-02-07 09:00:00,109.0,109.0,101.0,108.0,73490969.14949462,7666164128.086876
2023-02-08 09:00:00,108.0,108.0,101.0,107.0,49805499.22026754,5259155368.397213
2023-02-09 09:00:00,107.0,108.0,101.0,101.0,49650756.81621153,5163744235.195309
2023-02-10 09:00:00,102.0,103.0,97.0,102.0,36651939.05033503,3671554891.512001
2023-02-11 09:00:00,101.0,104.0,100.0,103.0,12490300.05270174,1269241996.4902973
2023-02-12 09:00:00,104.0,104.0,100.0,102.0,18751684.52058121,1902240768.5851946
2023-02-13 09:00:00,102.0,102.0,93.2,97.9,24338219.79121157,2373538370.8879056
2023-02-14 09:00:00,97.8,99.5,93.1,99.3,22753901.9586521,2191342650.9764633
2023-02-15 09:00:00,99.0,110.0,97.5,109.0,51418091.80761713,5311438600.594833
2023-02-16 09:00:00,108.0,117.0,107.0,113.0,106452887.87095048,11872677752.683327
2023-02-17 09:00:00,113.0,117.0,111.0,116.0,49428646.93654065,5642356508.366022
2023-02-18 09:00:00,116.0,117.0,112.0,116.0,23832526.58095815,2735835821.760298
2023-02-19 09:00:00,115.0,116.0,113.0,114.0,14006841.69623027,1599215957.0030284
2023-02-20 09:00:00,114.0,132.0,111.0,127.0,190055887.24468848,23613891797.380054
2023-02-21 09:00:00,126.0,135.0,123.0,131.0,100204587.25684609,12814113618.161737
2023-02-22 09:00:00,131.0,173.0,127.0,153.0,246438864.37918255,35967447913.12953
2023-02-23 09:00:00,154.0,246.0,147.0,246.0,627808547.1510799,120054088417.73834
2023-02-24 09:00:00,246.0,306.0,180.0,188.0,1636791062.527217,384341919169.66235
2023-02-25 09:00:00,188.0,188.0,152.0,158.0,290465113.33808804,47816533278.07976
2023-02-26 09:00:00,158.0,158.0,150.0,157.0,71539079.3402446,10964011446.34284
2023-02-27 09:00:00,157.0,157.0,148.0,152.0,64789179.87351093,9763977130.29272
2023-02-28 09:00:00,152.0,157.0,147.0,148.0,70394736.01231004,10665875103.043137
2023-03-01 09:00:00,149.0,151.0,146.0,148.0,36813434.92459178,5445639587.207372
2023-03-02 09:00:00,149.0,149.0,138.0,141.0,53812383.82659376,7581472004.268817
2023-03-03 09:00:00,141.0,147.0,132.0,144.0,105089218.21503597,14752005202.298027
2023-03-04 09:00:00,144.0,144.0,135.0,137.0,26251727.15312083,3658568341.4112196
2023-03-05 09:00:00,137.0,137.0,132.0,136.0,18238436.97988953,2457983342.878918
2023-03-06 09:00:00,136.0,140.0,130.0,134.0,28578836.48334353,3835226656.927768
2023-03-07 09:00:00,134.0,135.0,126.0,128.0,38180643.62970658,4982120912.534415
2023-03-08 09:00:00,129.0,132.0,124.0,126.0,51425396.48439431,6622353159.447974
2023-03-09 09:00:00,126.0,128.0,119.0,121.0,42452495.52725372,5253823120.877107
2023-03-10 09:00:00,120.0,123.0,115.0,122.0,49419409.90156242,5846749927.17253
2023-03-11 09:00:00,122.0,125.0,116.0,122.0,30031634.97656834,3621357507.286068
2023-03-12 09:00:00,121.0,126.0,115.0,125.0,39717360.61968426,4734118892.214079
2023-03-13 09:00:00,125.0,139.0,121.0,136.0,98816808.99993426,12837904048.44002
