,open,high,low,close,volume,value
2023-02-07 09:00:00,1520.0,1540.0,1410.0,1475.0,16901775.68905587,25078009067.184208
2023-02-08 09:00:00,1470.0,1475.0,1350.0,1395.0,7070296.29142001,10013148834.494497
2023-02-09 09:00:00,1395.0,1430.0,1240.0,1270.0,14488174.85306543,19686225877.259743
2023-02-10 09:00:00,1270.0,1345.0,1235.0,1335.0,12102389.48226537,15798934197.317804
2023-02-11 09:00:00,1330.0,1470.0,1325.0,1360.0,19416340.74732142,26912888934.20451
2023-02-12 09:00:00,1360.0,1360.0,1285.0,1305.0,5956634.77651646,7883479350.508695
2023-02-13 09:00:00,1305.0,1310.0,1200.0,1250.0,5820778.93335454,7246323015.964721
2023-02-14 09:00:00,1250.0,1300.0,1200.0,1295.0,4933531.30683132,6134069881.784896
2023-02-15 09:00:00,1290.0,1385.0,1285.0,1380.0,7023741.57733049,9329880713.50325
2023-02-16 09:00:00,1385.0,1430.0,1350.0,1365.0,11396080.04080447,15874746093.82304
2023-02-17 09:00:00,1365.0,1515.0,1365.0,1505.0,16935874.39774532,24649630833.767956
2023-02-18 09:00:00,1505.0,1715.0,1490.0,1565.0,26125153.60661297,41721457642.40822
2023-02-19 09:00:00,1570.0,2675.0,1565.0,2100.0,77155668.2101487,154477570749.9851
2023-02-20 09:00:00,2110.0,3200.0,1940.0,2005.0,182501684.294024,400808589640.6913
2023-02-21 09:00:00,2005.0,2025.0,1810.0,1845.0,31382765.30493346,60719538503.625824
2023-02-22 09:00:00,1840.0,1855.0,1735.0,1815.0,9377495.93572536,16705290262.44218
2023-02-23 09:00:00,1810.0,1810.0,1745.0,1800.0,4997518.87408474,8899374665.972403
2023-02-24 09:00:00,1800.0,1805.0,1680.0,1740.0,6918669.98262225,12105060535.569487
2023-02-25 09:00:00,1740.0,1785.0,1680.0,1770.0,7929555.95854691,13842246177.862354
2023-02-26 09:00:00,1770.0,1775.0,1710.0,1755.0,2524993.23909134,4386572248.726276
2023-02-27 09:00:00,1750.0,1750.0,1690.0,1725.0,2871916.30445853,4934567128.670267
2023-02-28 09:00:00,1725.0,1745.0,1700.0,1705.0,2786153.67336627,4789907278.2443495
2023-03-01 09:00:00,1705.0,1725.0,1660.0,1705.0,3057962.96360424,5187849160.646916
2023-03-02 09:00:00,1705.0,1815.0,1620.0,1730.0,8483958.58850549,14522616091.008884
2023-03-03 09:00:00,1730.0,1735.0,1550.0,1610.0,7956119.08389666,12787254409.943348
2023-03-04 09:00:00,1610.0,1640.0,1540.0,1555.0,2762179.38699934,4417097019.877167
2023-03-05 09:00:00,1555.0,1565.0,1515.0,1530.0,1869420.15351982,2886131746.979653
2023-03-06 09:00:00,1535.0,1630.0,1475.0,1570.0,5269895.21286661,8232968022.474751
2023-03-07 09:00:00,1570.0,1575.0,1460.0,1495.0,3769025.45887912,5712671463.14094
2023-03-08 09:00:00,1495.0,1500.0,1395.0,1410.0,3779057.23144256,5466809564.999087
2023-03-09 09:00:00,1410.0,1500.0,1310.0,1335.0,6487950.35286646,9166501688.352545
2023-03-10 09:00:00,1335.0,1340.0,1220.0,1340.0,5935135.50844546,7643190938.146285
2023-03-11 09:00:00,1340.0,1365.0,1250.0,1315.0,2568491.23087081,3357498350.7208366
2023-03-12 09:00:00,1315.0,1395.0,1265.0,1390.0,2598540.73984589,3441643090.793566
2023-03-13 09:00:00,1395.0,1490.0,1355.0,1485.0,8009596.59673226,11407610010.705858
2023-03-14 09:00:00,1480.0,1605.0,1450.0,1565.0,13757611.0773957,21053071476.95328
2023-03-15 09:00:00,1565.0,1590.0,1435.0,1510.0,5781588.86290743,8858046942.175755
2023-03-16 09:00:00,1510.0,1645.0,1510.0,1640.0,12448407.40918282,19667009692.39261
2023-03-17 09:00:00,1640.0,1700.0,1605.0,1695.0,8787180.8481024,14406613162.189272
2023-03-18 09:00:00,1695.0,1710.0,1605.0,1625.0,5743197.40286056,9569814931.300503
2023-03-19 09:00:00,1625.0,1670.0,1560.0,1660.0,4911939.30181131,7942868599.066806
2023-03-20 09:00:00,1660.0,1660.0,1570.0,1595.0,4270674.46577801,6903267352.681582
2023-03-21 09:00:00,1600.0,1610.0,1505.0,1575.0,3778446.36666908,5901647260.786582
2023-03-22 09:00:00,1580.0,1580.0,1475.0,1505.0,3109443.71406365,4746165148.09545
2023-03-23 09:00:00,1500.0,1595.0,1470.0,1590.0,2627870.26934589,4015292225.0554967
2023-03-24 09:00:00,1590.0,1595.0,1530.0,1585.0,2736506.49195901,4292779998.2135844
2023-03-25 09:00:00,1585.0,1770.0,1585.0,1705.0,57184601.20457775,96394931913.64523
2023-03-26 09:00:00,1705.0,1710.0,1595.0,1615.0,10429683.99837304,17052137902.358774
2023-03-27 09:00:00,1615.0,1680.0,1505.0,1545.0,15265830.20229967,24724462654.214085
2023-03-28 09:00:00,1550.0,1555.0,1435.0,1525.0,6616482.99329793,9831434095.982243
2023-03-29 09:00:00,1525.0,1670.0,1500.0,1620.0,10040460.87757195,16078538091.067894
2023-03-30 09:00:00,1620.0,1630.0,1545.0,1575.0,5129527.77940937,8128666740.742987
2023-03-31 09:00:00,1565.0,1630.0,1515.0,1610.0,4606176.40253621,7228595055.2580595
2023-04-01 09:00:00,1610.0,1910.0,1610.0,1760.0,66527183.41986191,117273318166.42136
2023-04-02 09:00:00,1755.0,1760.0,1600.0,1625.0,11387184.82194671,19019631307.25628
2023-04-03 09:00:00,1625.0,1635.0,1555.0,1605.0,5406152.15078203,8616382006.15797
2023-04-04 09:00:00,1600.0,1655.0,1580.0,1645.0,3928759.5214808,6345558912.055411
2023-04-05 09:00:00,1640.0,1705.0,1620.0,1700.0,6471326.51424303,10766872612.432184
2023-04-06 09:00:00,1700.0,1735.0,1635.0,1730.0,7340048.54506194,12319296165.185024
2023-04-07 09:00:00,1735.0,1745.0,1645.0,1685.0,5936363.42642539,10027082858.632544
2023-04-08 09:00:00,1685.0,1740.0,1660.0,1730.0,3981906.83855323,6760848816.816607
2023-04-09 09:00:00,1730.0,1785.0,1645.0,1695.0,7963732.48958354,13666523924.470179
2023-04-10 09:00:00,1690.0,1720.0,1645.0,1720.0,3793335.07948565,6349162708.2755575
2023-04-11 09:00:00,1715.0,1720.0,1685.0,1700.0,3247480.65389,5520127613.1411085
2023-04-12 09:00:00,1705.0,1705.0,1630.0,1700.0,3990637.81856114,6647473366.898063
2023-04-13 09:00:00,1700.0,1775.0,1690.0,1725.0,12766481.77292426,22133734585.517292
2023-04-14 09:00:00,1725.0,1740.0,1685.0,1730.0,5425387.50418624,9322068226.186441
2023-04-15 09:00:00,1725.0,1725.0,1700.0,1720.0,2103756.33135131,3599653328.377666
2023-04-16 09:00:00,1715.0,1740.0,1690.0,1735.0,2700356.62954347,4622049292.935136
