,open,high,low,close,volume,value
2023-02-06 09:00:00,5.55,5.72,5.41,5.61,1225448351.0636485,6788502632.768513
2023-02-07 09:00:00,5.61,5.71,5.43,5.7,815296929.75021,4510261734.1984005
2023-02-08 09:00:00,5.71,6.2,5.67,6.1,3691003853.7330604,21999190145.45291
2023-02-09 09:00:00,6.1,6.1,5.5,5.56,1480717250.251778,8492567683.54022
2023-02-10 09:00:00,5.56,5.85,5.32,5.79,1124211896.4453883,6350049721.691332
2023-02-11 09:00:00,5.78,5.79,5.6,5.77,305301463.0533008,1735976306.3518596
2023-02-12 09:00:00,5.77,5.82,5.63,5.64,429338579.8523291,2451079349.3263702
2023-02-13 09:00:00,5.64,5.65,5.12,5.35,677776203.6546879,3627337836.9769225
2023-02-14 09:00:00,5.36,5.5,5.12,5.47,454867871.4203469,2402667025.7177763
2023-02-15 09:00:00,5.47,6.0,5.37,5.94,2042934260.736209,11731136156.671436
2023-02-16 09:00:00,5.94,6.53,5.92,6.35,4789361406.359366,30057621745.44475
2023-02-17 09:00:00,6.37,6.5,6.06,6.48,1419910105.6580484,8886238438.489134
2023-02-18 09:00:00,6.49,6.49,6.15,6.29,704425415.2512262,4440989395.075629
2023-02-19 09:00:00,6.29,6.33,6.15,6.26,576140023.6426392,3596480226.9284005
2023-02-20 09:00:00,6.27,6.45,6.06,6.42,1231825217.9551094,7770797536.320456
2023-02-21 09:00:00,6.41,6.42,6.1,6.31,989919330.0234178,6201097816.187202
2023-02-22 09:00:00,6.29,6.29,6.03,6.24,485986031.6651559,2984766367.903551
2023-02-23 09:00:00,6.24,6.25,6.04,6.25,398531921.25037855,2460704297.826224
2023-02-24 09:00:00,6.25,6.78,6.2,6.61,2494756911.474131,16100551098.481037
2023-02-25 09:00:00,6.63,6.63,6.07,6.45,756581668.2004242,4787450569.844128
2023-02-26 09:00:00,6.45,6.5,6.23,6.44,461216891.7043276,2934758793.383437
2023-02-27 09:00:00,6.41,6.44,6.19,6.32,467728720.3983233,2951624105.5237026
2023-02-28 09:00:00,6.32,6.53,6.21,6.35,820231574.4874436,5204309585.370593
2023-03-01 09:00:00,6.35,6.36,6.2,6.3,441050522.05220485,2766426985.748063
2023-03-02 09:00:00,6.29,6.32,5.91,6.09,624228271.1633774,3792293811.3257365
2023-03-03 09:00:00,6.1,6.1,5.52,5.68,663352030.3952779,3770177113.1114225
2023-03-04 09:00:00,5.67,5.87,5.53,5.6,286334416.4387272,1628847955.2821395
2023-03-05 09:00:00,5.61,5.9,5.52,5.67,646329480.6016854,3700817754.698824
2023-03-06 09:00:00,5.66,5.66,5.36,5.51,346812657.9000653,1908952516.2055233
2023-03-07 09:00:00,5.51,5.67,5.3,5.45,358535505.38312626,1965466687.3728576
2023-03-08 09:00:00,5.44,5.47,5.17,5.21,268212510.8880184,1419349435.225102
2023-03-09 09:00:00,5.21,5.3,4.76,4.87,438089008.2723969,2209961528.7311616
2023-03-10 09:00:00,4.89,5.24,4.58,4.96,1761032449.3245234,8710727329.109043
2023-03-11 09:00:00,4.94,5.16,4.77,4.96,520866374.5795915,2601931730.855435
2023-03-12 09:00:00,4.95,5.12,4.77,5.11,299277732.8413373,1479471704.7754688
2023-03-13 09:00:00,5.12,5.45,4.94,5.42,671815046.5418699,3493058830.1498427
2023-03-14 09:00:00,5.42,5.62,5.19,5.55,711600748.4229757,3881864842.018359
2023-03-15 09:00:00,5.56,5.7,5.18,5.32,933002466.3501953,5178614043.311327
2023-03-16 09:00:00,5.32,5.41,5.2,5.38,320788445.978416,1694847300.600824
2023-03-17 09:00:00,5.38,5.61,5.32,5.6,379106333.33760995,2073754186.7124312
2023-03-18 09:00:00,5.6,5.64,5.47,5.47,351378613.2209801,1956930168.3051848
2023-03-19 09:00:00,5.49,5.63,5.44,5.57,234472694.8305099,1294404434.8023417
2023-03-20 09:00:00,5.59,5.87,5.53,5.56,1875648681.4382215,10715435763.102846
2023-03-21 09:00:00,5.57,5.57,5.15,5.42,515968379.74164426,2777523499.59781
2023-03-22 09:00:00,5.43,5.54,5.18,5.26,465392128.9820738,2519146195.500554
2023-03-23 09:00:00,5.26,5.43,5.2,5.41,178030656.4051838,943140019.5473185
2023-03-24 09:00:00,5.41,5.43,5.3,5.32,123862808.16999151,665371117.0434005
2023-03-25 09:00:00,5.34,5.44,5.3,5.33,191624769.0631788,1026803882.2835927
2023-03-26 09:00:00,5.33,5.42,5.28,5.32,168350666.5717637,898208940.9017984
2023-03-27 09:00:00,5.33,5.33,4.93,5.01,320593744.75868946,1648577187.7618258
2023-03-28 09:00:00,5.01,5.28,4.85,5.06,656271800.8358129,3312191593.814389
2023-03-29 09:00:00,5.06,5.27,5.05,5.24,431463817.4576179,2226873858.998602
2023-03-30 09:00:00,5.25,5.31,5.18,5.18,307727766.1737659,1611991620.6072125
2023-03-31 09:00:00,5.2,5.4,5.17,5.36,454504943.7780893,2405086936.8245974
2023-04-01 09:00:00,5.36,5.56,5.32,5.42,570614202.2525874,3108047966.9770465
2023-04-02 09:00:00,5.42,5.44,5.26,5.32,217565942.7533925,1164946236.464192
2023-04-03 09:00:00,5.32,5.35,5.19,5.29,200331415.02547693,1055288010.0065383
2023-04-04 09:00:00,5.29,5.37,5.25,5.34,186078067.88595,989381983.7825792
2023-04-05 09:00:00,5.34,5.75,5.33,5.74,725364456.9084436,4015001297.009143
2023-04-06 09:00:00,5.72,5.93,5.48,5.65,1068746993.6957834,6069698778.23267
2023-04-07 09:00:00,5.66,5.7,5.44,5.6,396865556.924143,2201033899.3870807
2023-04-08 09:00:00,5.62,6.05,5.53,5.73,1552860363.3388274,8986653557.556845
2023-04-09 09:00:00,5.74,5.76,5.46,5.55,465111328.2298765,2582336668.1441627
2023-04-10 09:00:00,5.52,5.64,5.44,5.59,322130473.3663875,1774987971.9901886
2023-04-11 09:00:00,5.59,5.65,5.53,5.61,386197993.4085013,2156194039.327426
2023-04-12 09:00:00,5.61,5.79,5.4,5.5,918496762.6943607,5138637648.193189
2023-04-13 09:00:00,5.49,5.53,5.41,5.51,261618739.64597327,1430214224.677904
2023-04-14 09:00:00,5.51,5.54,5.44,5.52,297379053.6078422,1634618613.366594
2023-04-15 09:00:00,5.52,5.53,5.47,5.51,197250210.09830996,1083474027.3309784
2023-04-16 09:00:00,5.51,5.52,5.46,5.49,170785505.73447677,936661199.1582401
2023-04-17 09:00:00,5.49,5.56,5.31,5.39,482032696.80505794,2629331581.9588637
2023-04-18 09:00:00,5.39,5.47,5.31,5.44,250267031.98093992,1354035977.6234276
2023-04-19 09:00:00,5.45,5.45,5.14,5.16,335019203.9544215,1770846738.9129303
2023-04-20 09:00:00,5.17,5.3,5.14,5.26,353595040.2100166,1847378490.4433622
2023-04-21 09:00:00,5.26,5.48,5.02,5.18,866375724.2468588,4606720100.674171
2023-04-22 09:00:00,5.18,5.37,5.04,5.22,314485537.95139515,1627864037.4627373
