,open,high,low,close,volume,value
2023-02-07 09:00:00,406.0,412.0,394.0,411.0,9305296.57316277,3731684950.4358916
2023-02-08 09:00:00,411.0,417.0,398.0,416.0,10424737.27515947,4274821139.3580055
2023-02-09 09:00:00,416.0,555.0,387.0,420.0,384485601.31243867,182626726814.41077
2023-02-10 09:00:00,422.0,495.0,393.0,415.0,114843279.88871457,49751709353.8608
2023-02-11 09:00:00,415.0,417.0,398.0,405.0,12598997.09145426,5070424033.973285
2023-02-12 09:00:00,405.0,415.0,394.0,401.0,20853613.95726001,8433313088.902847
2023-02-13 09:00:00,401.0,401.0,365.0,379.0,13927507.4946198,5308607878.771283
2023-02-14 09:00:00,380.0,385.0,361.0,384.0,7979702.09798993,2990155434.5597153
2023-02-15 09:00:00,385.0,407.0,382.0,404.0,23151669.6776087,9077685055.668861
2023-02-16 09:00:00,404.0,419.0,400.0,413.0,21523019.96692629,8807426951.02751
2023-02-17 09:00:00,412.0,450.0,401.0,431.0,37519890.59694293,15850548049.858583
2023-02-18 09:00:00,429.0,465.0,426.0,447.0,52353717.09417229,23327213950.05926
2023-02-19 09:00:00,447.0,450.0,430.0,441.0,16733759.15400441,7355450104.7152405
2023-02-20 09:00:00,441.0,484.0,425.0,476.0,42135586.08498826,19252933029.506416
2023-02-21 09:00:00,476.0,496.0,440.0,453.0,52608150.53165733,24891797629.628223
2023-02-22 09:00:00,454.0,465.0,430.0,447.0,16497502.28754253,7390433480.399265
2023-02-23 09:00:00,447.0,447.0,434.0,445.0,6289496.96602257,2775134227.8016925
2023-02-24 09:00:00,444.0,456.0,438.0,453.0,11822992.89720051,5282859790.775737
2023-02-25 09:00:00,452.0,453.0,433.0,442.0,6980623.84803973,3094228885.902994
2023-02-26 09:00:00,442.0,450.0,433.0,445.0,5436699.62606453,2407371033.089692
2023-02-27 09:00:00,446.0,458.0,433.0,448.0,12843785.31597855,5738750323.756478
2023-02-28 09:00:00,448.0,448.0,434.0,437.0,3853421.22381579,1691367472.5940616
2023-03-01 09:00:00,437.0,440.0,426.0,440.0,4148054.99761256,1805588401.635919
2023-03-02 09:00:00,440.0,441.0,410.0,421.0,6698279.42111906,2817487347.022623
2023-03-03 09:00:00,421.0,422.0,386.0,393.0,8310742.89066955,3313713071.4132013
