,open,high,low,close,volume,value
2023-01-05 09:00:00,204.0,206.0,200.0,203.0,2561706.03404572,520585584.5373166
2023-01-06 09:00:00,203.0,206.0,197.0,204.0,2854313.47689161,572111796.6343925
2023-01-07 09:00:00,205.0,206.0,202.0,203.0,1811933.76416241,370479094.8706129
2023-01-08 09:00:00,203.0,208.0,200.0,207.0,1924597.76604022,392259096.54421365
2023-01-09 09:00:00,208.0,219.0,207.0,215.0,6954302.89309743,1482747866.025605
2023-01-10 09:00:00,215.0,218.0,209.0,215.0,3174306.08144615,680116328.7126124
2023-01-11 09:00:00,215.0,220.0,211.0,220.0,5125383.96438555,1098029407.6765027
2023-01-12 09:00:00,220.0,226.0,214.0,226.0,5437097.11392736,1194205834.8376646
2023-01-13 09:00:00,226.0,235.0,223.0,234.0,4381185.38755626,1000957172.331592
2023-01-14 09:00:00,234.0,248.0,224.0,239.0,12507214.68286481,2984433390.1026134
2023-01-15 09:00:00,239.0,250.0,233.0,244.0,15969153.11084841,3863050807.2186937
2023-01-16 09:00:00,244.0,248.0,235.0,244.0,8559788.26667114,2083979784.3726745
2023-01-17 09:00:00,245.0,250.0,240.0,245.0,7320714.73012293,1793984822.3877096
2023-01-18 09:00:00,244.0,255.0,231.0,235.0,22824702.72549635,5637552981.748257
2023-01-19 09:00:00,235.0,243.0,234.0,242.0,8098213.10538058,1932318425.0690916
2023-01-20 09:00:00,241.0,257.0,239.0,255.0,6082254.26089166,1495866979.061336
2023-01-21 09:00:00,255.0,262.0,249.0,249.0,18791548.69220374,4797785614.822837
2023-01-22 09:00:00,251.0,257.0,246.0,250.0,9740466.26991858,2454535995.816901
2023-01-23 09:00:00,251.0,262.0,250.0,258.0,14442593.40607951,3704635003.8929224
2023-01-24 09:00:00,258.0,275.0,242.0,246.0,30052313.91460914,7856575672.8266
2023-01-25 09:00:00,246.0,262.0,238.0,260.0,13307773.50958221,3306798542.661847
2023-01-26 09:00:00,261.0,283.0,259.0,273.0,41962492.05603685,11353190633.969797
2023-01-27 09:00:00,273.0,279.0,263.0,278.0,20452904.57097739,5549688169.893307
2023-01-28 09:00:00,278.0,280.0,265.0,272.0,8534265.84874085,2338078947.0360575
2023-01-29 09:00:00,270.0,276.0,267.0,274.0,4776646.40370074,1301075966.4094613
2023-01-30 09:00:00,274.0,284.0,254.0,261.0,31309963.7952789,8486560135.356104
2023-01-31 09:00:00,259.0,263.0,255.0,261.0,6382046.04600116,1649804976.496352
2023-02-01 09:00:00,261.0,269.0,248.0,268.0,8161412.28706811,2106740750.958141
2023-02-02 09:00:00,267.0,276.0,267.0,269.0,8765681.36748519,2373429270.2630186
2023-02-03 09:00:00,268.0,285.0,266.0,279.0,11055776.49188541,3021163349.207838
2023-02-04 09:00:00,279.0,288.0,277.0,286.0,10735989.44330052,3028455040.3924794
2023-02-05 09:00:00,286.0,304.0,267.0,301.0,40773122.81805422,11750048725.902
2023-02-06 09:00:00,301.0,301.0,288.0,295.0,19236931.28726591,5635932058.989443
2023-02-07 09:00:00,294.0,305.0,287.0,305.0,10070082.04659607,2965583332.496314
2023-02-08 09:00:00,303.0,310.0,286.0,297.0,10074623.18066615,3027198285.0877776
2023-02-09 09:00:00,296.0,334.0,272.0,276.0,84749051.8273154,26152677772.93392
2023-02-10 09:00:00,276.0,292.0,271.0,284.0,25390949.83046925,7087365405.86025
2023-02-11 09:00:00,285.0,286.0,279.0,283.0,4130497.57354016,1163337766.3145447
2023-02-12 09:00:00,283.0,319.0,281.0,292.0,72924699.25135057,21897068179.31942
2023-02-13 09:00:00,292.0,292.0,265.0,282.0,14044257.83593073,3902478192.719687
2023-02-14 09:00:00,283.0,289.0,272.0,288.0,5293550.4995979,1489074647.1342847
2023-02-15 09:00:00,288.0,305.0,284.0,304.0,12317066.82407398,3586211418.7812405
2023-02-16 09:00:00,304.0,316.0,292.0,294.0,12387774.07294726,3806622531.2943535
2023-02-17 09:00:00,294.0,316.0,293.0,313.0,9410821.79276818,2867982296.5086017
2023-02-18 09:00:00,314.0,322.0,312.0,317.0,12942747.68487286,4108018846.5363812
2023-02-19 09:00:00,317.0,338.0,312.0,328.0,21986168.48318451,7167461420.800125
2023-02-20 09:00:00,328.0,404.0,319.0,376.0,130085804.25095543,48356764650.32886
2023-02-21 09:00:00,376.0,391.0,348.0,355.0,39567534.84679046,14709371208.99949
2023-02-22 09:00:00,356.0,364.0,342.0,363.0,19740838.84886495,6982799927.502599
2023-02-23 09:00:00,362.0,364.0,343.0,350.0,8136926.36559105,2872206714.9688663
2023-02-24 09:00:00,350.0,350.0,329.0,339.0,16085242.9448911,5454390021.634427
2023-02-25 09:00:00,340.0,344.0,326.0,333.0,11325294.72640702,3822300889.447463
2023-02-26 09:00:00,333.0,342.0,324.0,338.0,12175532.07340179,4066310414.2806964
2023-02-27 09:00:00,340.0,354.0,336.0,349.0,28542454.45550022,9838415761.908003
2023-02-28 09:00:00,347.0,349.0,329.0,331.0,9363923.73539581,3161054391.524079
2023-03-01 09:00:00,332.0,351.0,327.0,344.0,11708106.28045886,3973797053.1490283
2023-03-02 09:00:00,344.0,344.0,320.0,327.0,9419110.6495922,3100356406.4831
2023-03-03 09:00:00,327.0,328.0,292.0,304.0,13519938.97599437,4120472937.1843214
2023-03-04 09:00:00,304.0,311.0,293.0,299.0,6300081.17681383,1924640136.5888498
2023-03-05 09:00:00,299.0,306.0,293.0,297.0,5840457.10754194,1758734900.11812
2023-03-06 09:00:00,297.0,302.0,287.0,299.0,7738710.49314582,2267375916.794937
2023-03-07 09:00:00,300.0,305.0,279.0,290.0,14074652.37157071,4108373994.1749473
2023-03-08 09:00:00,291.0,291.0,271.0,278.0,10388958.20563403,2915406128.7202244
2023-03-09 09:00:00,278.0,291.0,259.0,263.0,12906993.73958269,3520986546.0847597
2023-03-10 09:00:00,264.0,264.0,241.0,258.0,14627243.86877877,3686143512.9597816
2023-03-11 09:00:00,258.0,263.0,241.0,255.0,7414541.80035562,1867838669.4297945
2023-03-12 09:00:00,256.0,274.0,250.0,272.0,11541249.66477803,2995946399.533583
2023-03-13 09:00:00,273.0,285.0,262.0,284.0,11640720.43109969,3195856103.2821474
2023-03-14 09:00:00,284.0,299.0,276.0,292.0,12857014.03934828,3694002031.6407104
2023-03-15 09:00:00,293.0,298.0,269.0,274.0,12209194.67437181,3470636162.108649
2023-03-16 09:00:00,275.0,283.0,271.0,282.0,5475563.62215015,1514587468.474147
2023-03-17 09:00:00,282.0,346.0,280.0,345.0,53564849.6156439,17373735095.58271
2023-03-18 09:00:00,345.0,350.0,315.0,320.0,35800422.14435782,11917425900.592674
2023-03-19 09:00:00,321.0,346.0,315.0,333.0,29642588.34283536,9761785323.760408
2023-03-20 09:00:00,332.0,337.0,309.0,312.0,12892478.19790205,4182708277.958556
2023-03-21 09:00:00,312.0,317.0,295.0,311.0,6561457.13602332,2012210240.5301864
2023-03-22 09:00:00,312.0,312.0,284.0,293.0,8891215.90708857,2673019402.7597504
2023-03-23 09:00:00,293.0,312.0,289.0,309.0,7315753.52782856,2188867833.9320073
2023-03-24 09:00:00,311.0,314.0,297.0,301.0,6254845.45329753,1922781372.0986006
2023-03-25 09:00:00,302.0,303.0,290.0,296.0,3674311.30482979,1088031302.2497995
2023-03-26 09:00:00,295.0,312.0,291.0,306.0,8134214.0091466,2478744033.0156903
2023-03-27 09:00:00,306.0,308.0,282.0,293.0,9315329.28548101,2748173013.243977
2023-03-28 09:00:00,293.0,298.0,284.0,297.0,5858006.71165097,1703984727.2638817
2023-03-29 09:00:00,297.0,307.0,295.0,306.0,6689416.01065122,2028857655.6786592
