,open,high,low,close,volume,value
2023-01-05 09:00:00,27.7,28.3,27.1,28.1,49129878.23963709,1357614996.3658352
2023-01-06 09:00:00,28.1,28.3,27.0,28.3,35410653.38642392,975255841.7596267
2023-01-07 09:00:00,28.2,29.6,27.6,27.9,94297856.94387224,2676561024.9889565
2023-01-08 09:00:00,28.0,28.7,27.7,28.5,27046156.42868561,758449025.0836886
2023-01-09 09:00:00,28.5,29.5,28.3,29.3,50511522.93290689,1462016578.086353
2023-01-10 09:00:00,29.3,30.5,28.7,29.9,108630817.48409219,3224222503.5730004
2023-01-11 09:00:00,29.8,30.3,29.4,30.1,36036683.73192346,1073986864.0792778
2023-01-12 09:00:00,30.1,31.0,29.2,30.7,46232415.13074553,1388162103.8310435
2023-01-13 09:00:00,30.7,31.5,30.2,31.5,46088466.23838538,1417285799.0980256
2023-01-14 09:00:00,31.5,33.1,30.8,32.4,137223039.14187703,4385106623.891001
2023-01-15 09:00:00,32.4,35.9,31.3,33.6,293053757.284444,9722464634.45514
2023-01-16 09:00:00,33.6,36.0,31.8,33.1,201152443.80728853,6782300093.640378
2023-01-17 09:00:00,33.1,37.9,32.4,34.1,824695467.709648,29267517618.463284
2023-01-18 09:00:00,34.1,34.5,31.9,32.1,125844684.62088563,4207495114.038503
2023-01-19 09:00:00,32.1,34.1,31.8,33.7,78139730.15280771,2594473388.057751
2023-01-20 09:00:00,33.7,40.0,33.6,35.6,707865863.5023518,26035309244.94769
2023-01-21 09:00:00,35.6,36.8,34.6,35.5,195696467.55807364,6959205222.931507
2023-01-22 09:00:00,35.5,36.3,35.1,35.7,92621913.95342608,3305961502.4472504
2023-01-23 09:00:00,35.8,36.9,35.1,36.9,76485346.02405743,2737783923.8275537
2023-01-24 09:00:00,36.8,38.8,34.7,36.3,218045198.13107327,8022842257.840853
2023-01-25 09:00:00,36.2,40.3,33.7,37.0,536624520.6013481,19731562674.7124
2023-01-26 09:00:00,37.0,37.2,36.0,37.0,95718718.10908823,3497819870.835304
2023-01-27 09:00:00,36.8,40.4,35.7,38.6,364210781.3304473,13882413696.239435
2023-01-28 09:00:00,38.6,42.4,37.3,38.2,262172806.0084416,10447778975.468616
2023-01-29 09:00:00,38.2,38.6,37.5,38.4,48241202.34933585,1828351760.9841723
2023-01-30 09:00:00,38.4,38.4,34.6,35.4,82694336.7134082,3009857777.06514
2023-01-31 09:00:00,35.4,35.9,33.9,35.8,50294436.91741992,1747624551.648383
2023-02-01 09:00:00,35.8,37.3,34.2,36.7,155241069.5648915,5617141395.256754
2023-02-02 09:00:00,36.6,39.2,36.4,38.2,126836595.2847339,4809663269.562469
2023-02-03 09:00:00,38.3,66.1,38.3,62.3,10650093550.748884,560939995270.5614
2023-02-04 09:00:00,62.3,64.0,51.3,52.0,3407861722.615348,201646789982.37173
2023-02-05 09:00:00,52.1,52.2,44.6,46.9,937072444.3290701,45006591427.02108
2023-02-06 09:00:00,46.9,46.9,45.0,46.1,219249071.82183006,9984818832.14802
2023-02-07 09:00:00,46.1,47.2,44.1,46.1,265352577.22713578,12118932718.126627
2023-02-08 09:00:00,46.2,46.3,44.9,45.8,136254716.3519178,6224702891.111053
2023-02-09 09:00:00,45.9,46.0,43.0,43.7,155604168.1994285,6889467906.611864
2023-02-10 09:00:00,43.7,45.5,43.4,45.3,132946196.88050511,5921716016.888695
2023-02-11 09:00:00,45.3,45.4,44.4,45.2,37588092.93560832,1682772504.8625247
2023-02-12 09:00:00,45.2,45.3,43.3,43.9,56917473.60605252,2519559272.8752785
2023-02-13 09:00:00,43.9,44.1,40.6,42.4,92635256.63200589,3905508563.355995
2023-02-14 09:00:00,42.1,43.3,41.0,43.3,47613418.99898799,1999270475.7303967
2023-02-15 09:00:00,43.1,45.9,42.5,45.9,111224273.99585459,4952137775.288733
2023-02-16 09:00:00,45.8,48.0,44.6,45.0,247063639.72093108,11520388138.607004
2023-02-17 09:00:00,45.1,47.5,44.1,47.2,126946399.76765314,5851281452.457778
2023-02-18 09:00:00,47.1,47.8,46.0,47.7,97029919.76724152,4552647555.599525
2023-02-19 09:00:00,47.6,49.7,46.6,47.4,241252360.09145403,11600527333.226723
2023-02-20 09:00:00,47.4,48.1,45.7,48.0,152809373.15398785,7207225028.901625
2023-02-21 09:00:00,48.0,48.7,45.9,47.4,171240499.00841174,8078393642.662235
2023-02-22 09:00:00,47.2,47.2,44.8,46.6,75507224.1189748,3463429462.9343715
2023-02-23 09:00:00,46.6,46.8,45.4,46.8,45169088.45047505,2083787682.6438558
2023-02-24 09:00:00,46.7,48.6,46.2,48.6,238102812.12734604,11343139967.787899
2023-02-25 09:00:00,48.5,48.6,45.7,46.8,111533150.79061148,5218749789.198852
2023-02-26 09:00:00,46.9,47.9,46.0,47.0,106760561.61481418,5019213380.827392
2023-02-27 09:00:00,47.1,51.5,46.3,49.0,933117060.8652979,45955936545.63155
2023-02-28 09:00:00,49.1,49.1,46.5,46.8,149303527.50610042,7089976355.107598
2023-03-01 09:00:00,46.8,47.2,46.0,46.9,66548226.4833072,3094356107.437374
2023-03-02 09:00:00,46.9,46.9,44.5,45.0,69067122.24287795,3127002706.6572633
2023-03-03 09:00:00,45.0,45.5,41.0,42.9,72389888.0952711,3097174019.1212516
2023-03-04 09:00:00,42.9,43.9,42.6,43.2,19629991.21974092,850515106.5872338
2023-03-05 09:00:00,43.1,43.8,42.5,43.2,17894055.88433196,773579419.2800847
2023-03-06 09:00:00,43.5,43.5,41.3,42.4,23803935.97683672,1004856815.8884746
2023-03-07 09:00:00,42.6,42.8,40.0,41.2,28870947.69336522,1196737340.1738703
2023-03-08 09:00:00,41.2,42.4,39.1,39.3,47943100.51314401,1927604204.0029433
2023-03-09 09:00:00,39.2,40.3,36.5,37.4,40709038.66268442,1569518965.4646046
2023-03-10 09:00:00,37.4,38.4,35.6,37.8,48413684.8850229,1786871354.266234
2023-03-11 09:00:00,37.8,42.4,37.3,38.5,481566783.9961988,19359528283.87219
2023-03-12 09:00:00,38.4,40.0,35.4,39.5,72067945.28331038,2712809537.2508225
2023-03-13 09:00:00,39.5,42.2,38.1,41.5,99302225.78877378,3953733044.071868
2023-03-14 09:00:00,41.5,46.7,39.6,43.9,721726887.6674669,31846576940.00623
2023-03-15 09:00:00,43.9,46.5,41.7,42.5,294623741.1344274,13151771044.431284
2023-03-16 09:00:00,42.4,43.2,40.9,43.2,52598938.54456549,2211658493.201664
2023-03-17 09:00:00,43.2,45.1,42.6,45.1,71180694.81236544,3114826995.9897785
2023-03-18 09:00:00,45.1,45.1,43.5,43.5,61006737.76399147,2710089144.288083
2023-03-19 09:00:00,43.6,44.8,43.0,44.6,43877347.35981349,1920676871.6490197
2023-03-20 09:00:00,44.6,44.6,42.6,42.9,43469776.30758299,1902141611.8156457
2023-03-21 09:00:00,42.9,43.1,40.5,42.6,43064989.98445255,1807838015.95991
2023-03-22 09:00:00,42.6,42.6,40.8,41.4,25262549.2801649,1058647018.5850283
2023-03-23 09:00:00,41.4,42.4,40.3,42.2,24431477.19275854,1008512251.5685308
2023-03-24 09:00:00,42.2,42.6,40.6,41.2,19805504.02515742,826723054.5049523
2023-03-25 09:00:00,41.4,42.6,40.8,41.1,31573383.52425047,1309746871.2857697
2023-03-26 09:00:00,41.0,41.3,40.5,41.1,14352906.46079366,588961529.6541673
2023-03-27 09:00:00,41.2,41.2,38.7,39.4,33144799.7603446,1319547400.9897816
2023-03-28 09:00:00,39.5,42.2,38.1,39.4,132575163.30992332,5314559261.442927
2023-03-29 09:00:00,39.4,41.2,39.2,40.9,41515849.12241027,1675353938.912729
2023-03-30 09:00:00,40.9,42.5,40.5,42.5,69036795.40356833,2864586745.217546
2023-03-31 09:00:00,42.5,42.6,40.5,42.4,59824609.28063174,2484482659.596698
2023-04-01 09:00:00,42.5,43.9,42.1,43.5,74722806.25616898,3213988085.035646
2023-04-02 09:00:00,43.5,43.9,41.4,41.6,45109695.01633459,1911954815.9983454
2023-04-03 09:00:00,41.7,42.2,40.5,41.0,44037493.50483683,1818305913.3871572
2023-04-04 09:00:00,41.1,42.5,40.7,41.6,57813027.2395638,2401853292.9618545
2023-04-05 09:00:00,41.8,44.6,41.3,44.3,89377711.12781031,3849473032.0573525
2023-04-06 09:00:00,44.3,48.4,42.2,43.2,307917874.9617746,13831313676.083828
2023-04-07 09:00:00,43.2,43.3,41.8,42.6,44700682.67330654,1898317338.3419032
2023-04-08 09:00:00,42.7,48.2,42.7,43.6,1632481320.3723032,74504048406.69957
2023-04-09 09:00:00,43.6,43.7,41.6,43.0,129923240.13886978,5530729471.719027
2023-04-10 09:00:00,43.0,44.2,41.6,43.4,114404257.62311527,4891137626.61399
2023-04-11 09:00:00,43.4,43.4,42.4,42.9,49990089.19201035,2146077204.4242718
2023-04-12 09:00:00,43.0,43.9,41.9,42.5,99275490.44614807,4245282290.4219446
2023-04-13 09:00:00,42.3,42.7,41.8,42.6,34738455.92122656,1468294930.2840219
2023-04-14 09:00:00,42.5,42.9,42.3,42.7,45852717.76176057,1953007409.5776887
2023-04-15 09:00:00,42.7,43.4,42.5,43.0,44214050.12775644,1894277316.0956185
2023-04-16 09:00:00,43.0,43.0,42.5,43.0,33736939.7922375,1441240450.4979947
2023-04-17 09:00:00,43.0,43.0,41.8,42.2,50512243.8520755,2140570403.5833635
2023-04-18 09:00:00,42.3,43.0,41.9,42.7,40474439.70543677,1720127319.1069643
2023-04-19 09:00:00,42.8,43.2,40.5,40.9,93975913.36858946,3954054341.7138023
2023-04-20 09:00:00,40.9,41.8,40.2,41.0,52726253.28399189,2162967815.1721416
2023-04-21 09:00:00,41.0,41.8,40.0,40.7,53138761.67406744,2180134298.664992
2023-04-22 09:00:00,40.8,41.3,39.9,40.9,20801088.60483389,842215792.7885199
2023-04-23 09:00:00,41.1,46.3,40.9,42.0,1030627955.8465724,44911801378.52604
2023-04-24 09:00:00,41.9,41.9,39.1,39.9,111428471.30024333,4482254952.507049
2023-04-25 09:00:00,40.0,40.7,38.6,40.5,66228587.76014702,2615292228.105556
2023-04-26 09:00:00,40.5,44.0,39.7,40.0,404050629.2255571,16859480454.57138
2023-04-27 09:00:00,40.0,40.2,39.5,40.2,45448952.73050223,1815252152.8184044
2023-04-28 09:00:00,40.2,40.4,39.7,40.2,36641452.51816386,1464975469.1238403
2023-04-29 09:00:00,40.1,40.7,40.0,40.3,31793653.07254182,1278998661.2452254
2023-04-30 09:00:00,40.3,40.5,39.8,39.9,24974497.98528277,998887786.0778997
2023-05-01 09:00:00,39.9,40.0,38.7,39.0,30109045.24750697,1183148361.2650375
2023-05-02 09:00:00,38.9,39.3,38.0,39.3,24911510.51446108,959139356.3786064
2023-05-03 09:00:00,39.3,39.5,38.1,39.1,28229694.62005298,1086749659.1341796
2023-05-04 09:00:00,39.1,39.4,38.4,39.2,22295631.29096933,868486156.4753386
2023-05-05 09:00:00,39.2,39.7,38.8,39.2,17706993.20775386,693978285.1528728
2023-05-06 09:00:00,39.3,39.9,38.5,39.7,36882053.30703425,1447581924.2458966
2023-05-07 09:00:00,39.7,41.3,38.2,38.4,241711345.22474048,9598216482.540157
2023-05-08 09:00:00,38.4,38.9,35.6,35.9,43538332.6392264,1620556676.9841695
2023-05-09 09:00:00,35.9,36.7,35.7,36.4,21506311.77957781,779398020.8386818
2023-05-10 09:00:00,36.4,38.1,36.3,36.7,123837718.64495511,4606485823.398105
2023-05-11 09:00:00,36.6,37.5,35.6,35.9,45354213.64319046,1667994191.037586
2023-05-12 09:00:00,35.8,36.1,34.7,36.0,25830741.27380127,912506244.600525
2023-05-13 09:00:00,35.8,36.4,35.6,36.1,9918872.65696998,357424531.60170525
2023-05-14 09:00:00,36.1,36.4,35.7,36.2,7277352.53027258,261804665.3907178
2023-05-15 09:00:00,36.2,36.3,35.7,36.1,23858688.36912772,859331420.0897639
2023-05-16 09:00:00,36.1,36.4,35.6,36.0,16249749.43850944,582762483.4818187
2023-05-17 09:00:00,35.9,36.2,35.5,36.0,22434722.96868041,804345958.5337205
2023-05-18 09:00:00,35.9,36.3,35.5,35.8,20687324.12505502,744299192.4641265
2023-05-19 09:00:00,35.8,36.0,35.5,35.7,12216245.55674604,436682009.093638
2023-05-20 09:00:00,35.7,35.8,35.3,35.6,8056960.93654114,286858686.29228646
2023-05-21 09:00:00,35.6,35.8,35.0,35.1,9707472.70278988,343228874.3456172
2023-05-22 09:00:00,35.1,35.1,33.9,34.6,21539661.87470998,741097161.1352607
2023-05-23 09:00:00,34.6,34.9,34.3,34.4,14995444.55595924,518631060.69297636
2023-05-24 09:00:00,34.6,34.6,32.5,33.1,26661590.48822794,899626259.2120395
2023-05-25 09:00:00,33.2,33.2,32.4,33.1,13630725.04844589,446711063.1868178
2023-05-26 09:00:00,33.1,33.5,32.5,33.4,11817668.40079138,388636618.82196087
2023-05-27 09:00:00,33.4,33.5,33.0,33.3,7393151.84989023,245967800.0923893
2023-05-28 09:00:00,33.5,34.1,33.2,33.9,12351992.15299842,415904978.55778664
2023-05-29 09:00:00,33.9,34.0,33.5,33.6,13313482.34440054,449516243.61549276
2023-05-30 09:00:00,33.6,34.3,32.5,33.3,23434494.19628213,785453110.9655255
2023-05-31 09:00:00,33.2,33.5,32.6,32.8,12331902.04408565,405518931.1774577
2023-06-01 09:00:00,32.8,33.0,32.4,32.6,10404757.22726108,339613415.77711344
2023-06-02 09:00:00,32.6,33.0,32.5,33.0,9092751.72394381,297400622.514891
2023-06-03 09:00:00,33.0,33.4,32.7,33.0,11917161.04646007,394416604.5178385
2023-06-04 09:00:00,33.1,33.4,32.9,33.1,9202952.92248068,304975844.10762584
2023-06-05 09:00:00,33.0,33.3,30.4,31.0,29246921.86343107,937840069.6280476
2023-06-06 09:00:00,31.0,31.7,29.9,31.6,15121605.43549304,465107738.24047637
2023-06-07 09:00:00,31.7,31.7,30.4,30.6,15363714.32890473,477534835.72672737
2023-06-08 09:00:00,30.6,31.8,30.0,30.6,15336779.05241695,470613974.9466072
2023-06-09 09:00:00,30.5,31.1,30.1,30.8,16202404.06132152,495626770.9197866
2023-06-10 09:00:00,30.8,30.8,26.2,27.5,44118911.23173402,1228007404.4694052
2023-06-11 09:00:00,27.5,30.4,27.3,28.1,62610307.74181339,1797147812.1864247
2023-06-12 09:00:00,28.1,29.1,27.4,28.0,32249376.35007067,909125824.1833758
2023-06-13 09:00:00,28.0,28.2,27.3,27.4,14050443.40601901,391076696.6877861
2023-06-14 09:00:00,27.5,27.8,26.3,26.6,24572827.58460281,665245357.947954
2023-06-15 09:00:00,26.7,27.4,25.9,26.7,26684462.59140611,707148134.6220788
2023-06-16 09:00:00,26.8,27.5,26.2,27.3,17391047.38725577,463997941.70520234
2023-06-17 09:00:00,27.3,27.7,27.0,27.5,12742361.87424576,348755819.58275276
2023-06-18 09:00:00,27.5,27.5,27.0,27.3,8805740.7160561,240109909.5658113
2023-06-19 09:00:00,27.2,27.5,26.9,27.4,9161023.52363695,249325035.094196
2023-06-20 09:00:00,27.4,28.3,26.9,27.9,15926540.33503589,437055764.46094364
2023-06-21 09:00:00,27.9,29.4,27.9,29.3,27125295.2727769,777621577.3941423
2023-06-22 09:00:00,29.1,30.8,29.0,29.6,35254035.79712696,1052515123.8513875
2023-06-23 09:00:00,29.6,31.4,29.2,31.3,50335854.68910429,1532660162.1073039
2023-06-24 09:00:00,31.3,32.5,31.0,31.8,39764724.9938828,1252449326.551302
2023-06-25 09:00:00,31.9,35.3,31.2,31.3,178119120.64076334,5885985252.146213
2023-06-26 09:00:00,31.4,32.3,30.1,30.8,54026683.77237486,1684066737.6522307
2023-06-27 09:00:00,30.8,32.9,30.6,31.7,91135477.23824982,2896474753.5100894
2023-06-28 09:00:00,31.7,31.7,30.2,30.2,17591499.53869919,543798993.7680875
2023-06-29 09:00:00,30.1,31.0,29.9,30.5,14699575.28859239,447532992.635417
2023-06-30 09:00:00,30.3,32.1,29.6,32.0,44016032.93994907,1364328558.1963067
2023-07-01 09:00:00,32.1,36.5,31.0,32.8,374719936.10662764,12641081604.926655
2023-07-02 09:00:00,32.8,32.9,31.6,32.3,27046765.8341004,865625796.6821383
2023-07-03 09:00:00,32.0,32.2,31.6,32.0,22219287.31072833,708642004.1322219
2023-07-04 09:00:00,32.0,33.1,31.4,32.2,42582888.02204047,1366109350.7799585
2023-07-05 09:00:00,32.3,34.8,31.6,32.9,162856257.59080192,5383089877.600238
2023-07-06 09:00:00,33.0,33.0,31.6,31.6,28558411.62108473,916226090.565592
2023-07-07 09:00:00,31.6,31.9,31.3,31.6,14967910.81424793,472156847.9020195
2023-07-08 09:00:00,31.6,31.7,31.0,31.4,13248722.90491349,413831084.9338275
2023-07-09 09:00:00,31.4,32.2,31.3,31.8,24408792.5201082,773956520.5598246
2023-07-10 09:00:00,31.9,32.0,31.1,32.0,17959570.12524691,566075423.4846047
2023-07-11 09:00:00,32.0,33.8,31.5,33.8,89090377.730697,2934759219.0311623
2023-07-12 09:00:00,33.8,34.5,33.1,34.1,70863587.68343942,2394116092.709374
2023-07-13 09:00:00,33.8,34.1,32.6,33.8,80622207.16862334,2682133745.6780057
2023-07-14 09:00:00,33.8,35.3,33.1,34.4,88708355.40442154,3040269259.6941595
2023-07-15 09:00:00,34.3,36.2,33.8,35.5,121394223.54105046,4258648657.952357
2023-07-16 09:00:00,35.5,35.8,34.1,34.3,49468617.2281186,1712614208.7531211
2023-07-17 09:00:00,34.3,35.1,33.6,34.4,47255845.98646607,1618232532.5956743
2023-07-18 09:00:00,34.4,34.5,32.6,33.3,38254140.05132162,1273232751.9234278
2023-07-19 09:00:00,33.4,33.8,33.2,33.5,27150773.83956319,907680076.5298989
2023-07-20 09:00:00,33.4,34.0,33.1,33.6,23708279.68161359,793424631.2632203
2023-07-21 09:00:00,33.5,35.0,33.3,34.9,32825467.65130484,1119689119.4930909
2023-07-22 09:00:00,35.0,35.0,34.0,34.6,27416677.83607896,942536731.2877884
2023-07-23 09:00:00,34.5,35.4,34.1,34.8,54755304.21912398,1913748440.0341651
