,open,high,low,close,volume,value
2023-02-06 09:00:00,307.0,327.0,304.0,325.0,84780846.76258776,26763844244.428143
2023-02-07 09:00:00,326.0,343.0,308.0,343.0,70197739.04248758,22579426301.90855
2023-02-08 09:00:00,342.0,346.0,328.0,340.0,70942127.84921668,23880171740.266777
2023-02-09 09:00:00,339.0,340.0,307.0,310.0,81984700.3487704,26349350758.321674
2023-02-10 09:00:00,310.0,312.0,299.0,307.0,46147869.7029671,14073996467.529926
2023-02-11 09:00:00,305.0,309.0,301.0,308.0,19527317.25995598,5945969014.474835
2023-02-12 09:00:00,308.0,308.0,299.0,302.0,23079398.56946838,6996173414.881876
2023-02-13 09:00:00,302.0,303.0,275.0,286.0,60571085.91319469,17355363273.816875
2023-02-14 09:00:00,287.0,297.0,270.0,296.0,46192975.43818043,13160087755.7888
2023-02-15 09:00:00,296.0,318.0,290.0,316.0,35089434.62090568,10579021349.324608
2023-02-16 09:00:00,317.0,368.0,312.0,316.0,261815107.27342147,89520069767.1763
2023-02-17 09:00:00,316.0,333.0,312.0,332.0,55409419.15307902,17924805545.731815
2023-02-18 09:00:00,332.0,334.0,322.0,331.0,38128978.73651981,12542211508.57997
2023-02-19 09:00:00,332.0,334.0,323.0,330.0,35761504.71537691,11756891235.298517
2023-02-20 09:00:00,330.0,343.0,319.0,343.0,63103033.49097624,21047820193.940823
2023-02-21 09:00:00,343.0,352.0,325.0,335.0,88952529.5746288,30006551790.0694
2023-02-22 09:00:00,335.0,340.0,316.0,335.0,57840666.58463688,18775707149.406616
2023-02-23 09:00:00,335.0,365.0,335.0,363.0,162166087.61942717,56503253164.222015
2023-02-24 09:00:00,363.0,399.0,348.0,366.0,244736409.05743802,90125310492.60611
2023-02-25 09:00:00,366.0,366.0,333.0,349.0,52956579.01599861,18383888786.094505
2023-02-26 09:00:00,349.0,349.0,337.0,346.0,21198168.97009469,7261609497.916324
2023-02-27 09:00:00,347.0,359.0,340.0,352.0,54372944.66322251,19007527753.76404
2023-02-28 09:00:00,352.0,370.0,348.0,349.0,67405190.58353625,24131133075.204266
2023-03-01 09:00:00,350.0,357.0,341.0,354.0,44356108.50476364,15507591450.587711
2023-03-02 09:00:00,354.0,357.0,330.0,338.0,41645230.4392269,14089781037.435238
2023-03-03 09:00:00,338.0,339.0,298.0,311.0,61413485.74151285,19054951350.582607
2023-03-04 09:00:00,310.0,313.0,298.0,302.0,25931135.68299174,7955649502.851941
2023-03-05 09:00:00,302.0,303.0,294.0,301.0,15891338.10279208,4762358197.536887
2023-03-06 09:00:00,301.0,303.0,282.0,296.0,32266706.97196408,9394428560.410528
2023-03-07 09:00:00,296.0,298.0,276.0,285.0,26371896.84081945,7581599998.0372
2023-03-08 09:00:00,285.0,288.0,269.0,270.0,26947833.07749378,7433781370.516366
2023-03-09 09:00:00,270.0,278.0,249.0,256.0,33283500.20725744,8786684205.209356
2023-03-10 09:00:00,256.0,256.0,238.0,254.0,39818568.36564227,9821649217.515278
2023-03-11 09:00:00,254.0,262.0,243.0,252.0,20670056.80693217,5202803712.0838995
2023-03-12 09:00:00,252.0,267.0,237.0,265.0,23757803.54211378,5925208640.765071
2023-03-13 09:00:00,266.0,290.0,257.0,282.0,48333273.26023179,13114510614.467522
2023-03-14 09:00:00,283.0,296.0,270.0,292.0,64086371.61629243,18122794965.34328
2023-03-15 09:00:00,292.0,293.0,271.0,274.0,39350772.32013911,11236689615.552889
2023-03-16 09:00:00,274.0,282.0,272.0,282.0,18307389.5205029,5064328922.207668
2023-03-17 09:00:00,281.0,297.0,278.0,295.0,27802067.20604708,8008991275.242654
2023-03-18 09:00:00,296.0,331.0,296.0,305.0,147094818.56057158,45983351354.42295
2023-03-19 09:00:00,306.0,347.0,302.0,314.0,222357709.45616147,72509898278.05577
2023-03-20 09:00:00,314.0,351.0,313.0,331.0,264166416.69512734,87832623060.4852
2023-03-21 09:00:00,331.0,331.0,298.0,312.0,75498944.29930589,23479362221.33947
2023-03-22 09:00:00,311.0,313.0,289.0,297.0,30315531.9461895,9163027253.504484
2023-03-23 09:00:00,298.0,306.0,289.0,304.0,19292487.73636255,5722670498.503148
2023-03-24 09:00:00,304.0,305.0,293.0,297.0,15827069.76157629,4735888497.387891
2023-03-25 09:00:00,297.0,299.0,290.0,291.0,11766927.89051619,3448513619.6073065
2023-03-26 09:00:00,291.0,299.0,291.0,295.0,15530573.97322378,4577680857.392633
2023-03-27 09:00:00,295.0,299.0,272.0,278.0,27027084.6981256,7679270769.851938
2023-03-28 09:00:00,278.0,283.0,268.0,282.0,21991019.74978085,6000153527.562647
2023-03-29 09:00:00,282.0,296.0,278.0,294.0,25798260.14707779,7435190427.065405
2023-03-30 09:00:00,294.0,298.0,284.0,290.0,26205154.43377128,7611298264.775023
2023-03-31 09:00:00,290.0,296.0,279.0,294.0,27386874.88506035,7912952696.401548
2023-04-01 09:00:00,294.0,304.0,291.0,304.0,30391552.6079092,9084608052.19332
2023-04-02 09:00:00,304.0,304.0,290.0,294.0,17799215.70650033,5285002335.8365135
2023-04-03 09:00:00,293.0,301.0,285.0,291.0,28889050.12320304,8440963339.8823595
2023-04-04 09:00:00,291.0,303.0,286.0,298.0,25512418.6803741,7527160271.993101
2023-04-05 09:00:00,298.0,381.0,293.0,363.0,666591913.1244426,230053524393.44943
2023-04-06 09:00:00,362.0,366.0,311.0,323.0,242514405.06706154,79824971847.87636
2023-04-07 09:00:00,323.0,323.0,306.0,312.0,53816116.13551255,16772249541.227503
2023-04-08 09:00:00,311.0,311.0,306.0,308.0,18264590.87844474,5629491310.3963785
2023-04-09 09:00:00,308.0,308.0,297.0,304.0,23800832.79649319,7186997335.365723
2023-04-10 09:00:00,304.0,314.0,298.0,309.0,62551554.68994992,19186812504.913616
2023-04-11 09:00:00,309.0,312.0,306.0,311.0,20173198.53031453,6226558530.724085
2023-04-12 09:00:00,311.0,315.0,298.0,303.0,35357440.47261079,10722069419.336763
2023-04-13 09:00:00,303.0,307.0,298.0,304.0,18211078.23372266,5512390681.970469
2023-04-14 09:00:00,303.0,310.0,302.0,308.0,24463472.09081158,7497002299.869545
2023-04-15 09:00:00,307.0,310.0,306.0,309.0,10429853.22826942,3211146173.4969273
2023-04-16 09:00:00,308.0,318.0,305.0,313.0,24811887.51308005,7721183126.540064
2023-04-17 09:00:00,313.0,314.0,304.0,309.0,23722598.17158822,7305561583.650169
2023-04-18 09:00:00,309.0,319.0,308.0,315.0,33140810.10092016,10375873338.227654
2023-04-19 09:00:00,315.0,317.0,288.0,292.0,33249818.82769066,10063892131.19583
2023-04-20 09:00:00,292.0,321.0,288.0,304.0,107089073.29184994,32702313129.551373
2023-04-21 09:00:00,304.0,311.0,287.0,293.0,51875614.83750483,15642744620.918486
2023-04-22 09:00:00,293.0,296.0,283.0,295.0,21444408.81317475,6192358336.70948
2023-04-23 09:00:00,294.0,311.0,293.0,310.0,53475099.66084134,16125398160.312027
2023-04-24 09:00:00,311.0,311.0,289.0,294.0,36603659.19782178,10858542000.475868
2023-04-25 09:00:00,293.0,296.0,281.0,295.0,22585496.04694744,6494397342.17347
2023-04-26 09:00:00,295.0,300.0,279.0,287.0,25875641.53492323,7547480568.877161
2023-04-27 09:00:00,288.0,292.0,285.0,290.0,11438236.85571716,3292986217.2145514
2023-04-28 09:00:00,290.0,291.0,284.0,288.0,10518647.54741251,3020707984.6311274
2023-04-29 09:00:00,287.0,290.0,285.0,289.0,7934052.74965888,2280850503.1913457
2023-04-30 09:00:00,288.0,289.0,284.0,284.0,5901490.69894745,1689304566.3898323
2023-05-01 09:00:00,284.0,286.0,269.0,272.0,28334178.48470832,7784300808.641225
2023-05-02 09:00:00,271.0,275.0,267.0,273.0,13586762.06041828,3668069914.8638086
2023-05-03 09:00:00,274.0,280.0,268.0,276.0,23081414.55764231,6323408316.096558
2023-05-04 09:00:00,276.0,283.0,272.0,279.0,10513440.44536993,2927864967.223853
2023-05-05 09:00:00,278.0,285.0,277.0,280.0,11512986.3646266,3231673815.6716733
2023-05-06 09:00:00,280.0,282.0,268.0,272.0,12749680.37224626,3505718004.9560246
2023-05-07 09:00:00,271.0,273.0,267.0,267.0,5311939.83139438,1435902990.0925794
2023-05-08 09:00:00,268.0,272.0,250.0,252.0,23757698.55107684,6124060944.232527
2023-05-09 09:00:00,252.0,257.0,249.0,254.0,9372632.03687333,2359824020.10781
2023-05-10 09:00:00,253.0,260.0,251.0,256.0,12100605.02971893,3077499241.257146
2023-05-11 09:00:00,257.0,260.0,246.0,249.0,11937869.35612468,3027719320.514255
2023-05-12 09:00:00,249.0,250.0,238.0,249.0,14917468.96446097,3629427570.0278215
2023-05-13 09:00:00,249.0,257.0,244.0,251.0,5572680.84068951,1387083846.747588
2023-05-14 09:00:00,249.0,252.0,246.0,251.0,4977126.86533771,1239140694.1338089
2023-05-15 09:00:00,252.0,253.0,247.0,250.0,6786549.37020151,1700973494.3767688
2023-05-16 09:00:00,250.0,256.0,247.0,251.0,12705173.22022579,3202273559.6575766
2023-05-17 09:00:00,251.0,260.0,249.0,256.0,16406825.69214931,4189777890.9917607
2023-05-18 09:00:00,257.0,258.0,252.0,252.0,6770668.81416251,1728575910.2848089
2023-05-19 09:00:00,253.0,257.0,252.0,255.0,7459654.53488095,1901734142.1289983
2023-05-20 09:00:00,255.0,258.0,253.0,255.0,3969274.52459363,1011358438.5613058
2023-05-21 09:00:00,254.0,261.0,246.0,247.0,12544452.23885226,3195380718.245654
2023-05-22 09:00:00,247.0,248.0,238.0,244.0,9447756.22217447,2285859630.1820264
2023-05-23 09:00:00,243.0,247.0,241.0,244.0,4966634.85899466,1214879228.7035644
2023-05-24 09:00:00,244.0,249.0,230.0,234.0,15826687.87992944,3765249118.2758594
2023-05-25 09:00:00,234.0,236.0,227.0,233.0,13839375.59463759,3194253433.367326
2023-05-26 09:00:00,233.0,237.0,230.0,234.0,3913802.56339638,910321259.5682114
2023-05-27 09:00:00,234.0,236.0,232.0,235.0,2123384.73257083,496161883.51617485
2023-05-28 09:00:00,235.0,243.0,235.0,241.0,5778271.25341335,1379269767.5672934
2023-05-29 09:00:00,241.0,243.0,238.0,239.0,4365967.31321642,1048008313.118715
