,open,high,low,close,volume,value
2023-02-06 09:00:00,264.0,267.0,252.0,266.0,57785644.22348465,14978054318.062351
2023-02-07 09:00:00,266.0,266.0,251.0,264.0,54912787.02673201,14100765648.699274
2023-02-08 09:00:00,264.0,267.0,255.0,266.0,48106148.33805368,12612208768.405949
2023-02-09 09:00:00,266.0,266.0,240.0,243.0,71053612.81319974,17897263961.793797
2023-02-10 09:00:00,243.0,243.0,228.0,240.0,40717707.08917699,9636156994.90365
2023-02-11 09:00:00,240.0,242.0,235.0,241.0,13079278.439784,3109941670.7954736
2023-02-12 09:00:00,245.0,245.0,236.0,238.0,22743602.52712408,5465901407.766802
2023-02-13 09:00:00,237.0,238.0,215.0,229.0,38145053.53295469,8587780555.957281
2023-02-14 09:00:00,228.0,234.0,215.0,233.0,32819352.04319959,7355539874.938399
2023-02-15 09:00:00,233.0,248.0,227.0,245.0,35352321.854782,8364460265.82023
2023-02-16 09:00:00,246.0,300.0,243.0,279.0,195027719.3817792,52704736512.58985
2023-02-17 09:00:00,279.0,283.0,262.0,282.0,149008234.34598732,40624886125.81619
2023-02-18 09:00:00,282.0,282.0,264.0,272.0,56830162.52886226,15444459567.827599
2023-02-19 09:00:00,271.0,272.0,263.0,267.0,37249263.68099241,9929310432.44263
2023-02-20 09:00:00,267.0,272.0,259.0,270.0,57460694.41383634,15336522859.848362
2023-02-21 09:00:00,270.0,289.0,260.0,273.0,117599476.20813218,32169571814.22987
2023-02-22 09:00:00,274.0,276.0,258.0,269.0,44016581.90812654,11648172077.410025
2023-02-23 09:00:00,269.0,282.0,265.0,280.0,77915320.01512156,21363719622.302303
2023-02-24 09:00:00,280.0,290.0,272.0,290.0,95359226.58843423,26699708944.6164
2023-02-25 09:00:00,290.0,290.0,263.0,275.0,44961672.85111681,12345610601.530193
2023-02-26 09:00:00,274.0,275.0,265.0,271.0,23894928.76763636,6427659266.138796
2023-02-27 09:00:00,270.0,271.0,263.0,269.0,23672315.92958909,6327243017.897055
2023-02-28 09:00:00,269.0,272.0,263.0,270.0,32043855.91777348,8568149524.83322
2023-03-01 09:00:00,270.0,276.0,264.0,272.0,35615626.59371822,9613374261.778072
2023-03-02 09:00:00,271.0,271.0,254.0,259.0,32353103.29613062,8438932106.417386
2023-03-03 09:00:00,259.0,259.0,232.0,238.0,38486126.84668442,9244492296.168242
2023-03-04 09:00:00,238.0,243.0,233.0,236.0,14608762.76409662,3485808254.0924296
2023-03-05 09:00:00,236.0,239.0,233.0,237.0,7633842.2623259,1805917642.068257
2023-03-06 09:00:00,236.0,239.0,225.0,231.0,25717866.87138029,5905189982.856317
2023-03-07 09:00:00,232.0,232.0,215.0,222.0,27032881.11972495,6074899140.678902
2023-03-08 09:00:00,221.0,222.0,199.0,205.0,23250441.82671081,4941332895.479183
2023-03-09 09:00:00,204.0,209.0,187.0,192.0,26894511.68528221,5390550243.139204
2023-03-10 09:00:00,192.0,193.0,181.0,191.0,28132455.17978673,5255950754.181658
2023-03-11 09:00:00,191.0,196.0,181.0,190.0,23703751.66772805,4455001093.926548
2023-03-12 09:00:00,189.0,198.0,183.0,198.0,16576457.67623766,3119567836.4154925
2023-03-13 09:00:00,196.0,213.0,195.0,211.0,43712066.654714,8861266184.49321
2023-03-14 09:00:00,211.0,224.0,206.0,223.0,41908426.22997867,9041213568.850117
2023-03-15 09:00:00,223.0,224.0,208.0,212.0,19575030.41645583,4271385317.3309855
2023-03-16 09:00:00,212.0,220.0,209.0,219.0,13133952.77082223,2809586444.522231
2023-03-17 09:00:00,219.0,230.0,216.0,228.0,19422651.19951776,4327694137.157323
2023-03-18 09:00:00,228.0,245.0,228.0,229.0,70096480.7733856,16580383146.477652
2023-03-19 09:00:00,229.0,234.0,224.0,233.0,19222028.02711871,4405458596.13794
2023-03-20 09:00:00,233.0,235.0,226.0,228.0,21458237.6416153,4945610374.263184
2023-03-21 09:00:00,228.0,229.0,212.0,223.0,23584412.23232205,5181535313.749953
2023-03-22 09:00:00,225.0,228.0,212.0,215.0,26689110.78024294,5881021635.304582
2023-03-23 09:00:00,214.0,222.0,210.0,221.0,13394971.39274485,2883565926.7556734
2023-03-24 09:00:00,220.0,222.0,214.0,216.0,6611690.18632304,1441226819.7597733
2023-03-25 09:00:00,216.0,219.0,214.0,216.0,3872488.79737099,835047865.2823592
2023-03-26 09:00:00,215.0,219.0,214.0,218.0,3804738.66598548,821873366.4564245
2023-03-27 09:00:00,218.0,218.0,202.0,203.0,16760624.00549139,3498007568.675139
2023-03-28 09:00:00,203.0,206.0,196.0,205.0,19866893.32775685,3981640789.0392785
2023-03-29 09:00:00,205.0,217.0,203.0,217.0,16329861.99900073,3419389767.290393
2023-03-30 09:00:00,217.0,219.0,211.0,218.0,27086536.18130334,5816535917.882312
2023-03-31 09:00:00,217.0,236.0,213.0,225.0,103919186.66758686,23383545995.092274
2023-04-01 09:00:00,224.0,230.0,220.0,226.0,26416875.46274108,5921006017.44059
2023-04-02 09:00:00,226.0,228.0,216.0,220.0,14428302.02099903,3187061293.3762074
2023-04-03 09:00:00,219.0,222.0,214.0,220.0,12835773.82846428,2794368632.7104373
2023-04-04 09:00:00,220.0,225.0,218.0,224.0,10563595.26482996,2343479460.2195215
2023-04-05 09:00:00,224.0,238.0,221.0,237.0,37110994.48156589,8503852437.49464
2023-04-06 09:00:00,237.0,256.0,226.0,247.0,138513556.53405675,33438368069.45761
2023-04-07 09:00:00,247.0,248.0,230.0,237.0,36016004.94777479,8495337885.895762
2023-04-08 09:00:00,237.0,243.0,231.0,243.0,18694178.81035942,4399186795.5824585
2023-04-09 09:00:00,243.0,244.0,230.0,235.0,17537307.68249475,4124608229.561723
2023-04-10 09:00:00,235.0,253.0,226.0,236.0,101651330.08359185,24413307118.109913
2023-04-11 09:00:00,236.0,249.0,233.0,240.0,43872094.86756652,10549345951.517015
2023-04-12 09:00:00,239.0,240.0,230.0,232.0,25169768.4383542,5861840316.177051
2023-04-13 09:00:00,232.0,234.0,229.0,233.0,11754290.92136687,2723899949.703852
2023-04-14 09:00:00,233.0,236.0,231.0,234.0,17935177.72904942,4184969731.1619267
2023-04-15 09:00:00,235.0,236.0,232.0,233.0,10184289.85754807,2377795742.2791057
2023-04-16 09:00:00,233.0,235.0,231.0,234.0,8420543.59700954,1959846259.6899185
2023-04-17 09:00:00,233.0,234.0,226.0,230.0,18065312.07040597,4150372526.7320623
2023-04-18 09:00:00,230.0,233.0,226.0,231.0,9584641.76970973,2206709405.1470046
2023-04-19 09:00:00,232.0,232.0,212.0,215.0,23794842.03171844,5277768408.684104
2023-04-20 09:00:00,215.0,392.0,207.0,388.0,2116644468.687888,669705244738.7269
2023-04-21 09:00:00,388.0,406.0,277.0,299.0,1405732655.43005,496902858864.77124
2023-04-22 09:00:00,298.0,318.0,263.0,289.0,673805024.2200081,196654459023.31732
2023-04-23 09:00:00,290.0,334.0,282.0,300.0,655507296.4116937,203735556990.37134
2023-04-24 09:00:00,300.0,300.0,265.0,272.0,188901209.1336976,52165545103.32045
2023-04-25 09:00:00,273.0,289.0,242.0,259.0,245982087.37383643,64144151938.571945
2023-04-26 09:00:00,259.0,265.0,239.0,251.0,173501374.86908486,43969407994.10733
2023-04-27 09:00:00,251.0,262.0,240.0,255.0,109185186.43375073,27213619978.728115
2023-04-28 09:00:00,256.0,264.0,244.0,249.0,106307215.39282796,26905747418.46959
2023-04-29 09:00:00,249.0,251.0,245.0,248.0,34609765.43583937,8561410456.608447
2023-04-30 09:00:00,248.0,248.0,243.0,244.0,23627038.99217751,5795489437.250887
2023-05-01 09:00:00,243.0,245.0,229.0,233.0,51777824.53617049,12154284919.442047
2023-05-02 09:00:00,233.0,251.0,231.0,236.0,153779418.98457676,36824460886.95048
2023-05-03 09:00:00,236.0,237.0,223.0,229.0,65526609.78167882,14954516392.016066
2023-05-04 09:00:00,229.0,234.0,225.0,228.0,43800131.00919552,10035805538.237358
2023-05-05 09:00:00,227.0,246.0,227.0,232.0,116725998.93196516,27369860455.18275
2023-05-06 09:00:00,232.0,235.0,223.0,226.0,42662407.11577506,9745729798.273943
2023-05-07 09:00:00,226.0,236.0,224.0,230.0,65490480.98450427,15076680235.179144
2023-05-08 09:00:00,229.0,230.0,212.0,215.0,54576552.20092735,11928820709.09579
2023-05-09 09:00:00,214.0,221.0,211.0,215.0,38832744.0509153,8361477862.025226
2023-05-10 09:00:00,215.0,220.0,210.0,216.0,39903087.23377352,8561367520.801504
2023-05-11 09:00:00,216.0,238.0,206.0,209.0,135309938.11500296,29960016328.21242
2023-05-12 09:00:00,209.0,210.0,196.0,207.0,46744844.35886791,9422095351.954172
2023-05-13 09:00:00,207.0,209.0,202.0,205.0,20434535.36430658,4183148589.128282
2023-05-14 09:00:00,204.0,207.0,201.0,206.0,15257205.06196771,3107967384.783363
2023-05-15 09:00:00,206.0,207.0,202.0,206.0,20121915.9512069,4126927130.7324567
2023-05-16 09:00:00,206.0,207.0,203.0,206.0,16144750.11009815,3306904105.716403
2023-05-17 09:00:00,205.0,211.0,202.0,210.0,36681842.21924719,7546036802.9039955
2023-05-18 09:00:00,209.0,219.0,207.0,211.0,63619058.31647285,13536338236.312069
2023-05-19 09:00:00,212.0,235.0,210.0,219.0,260402890.53934747,58373387307.54527
2023-05-20 09:00:00,218.0,219.0,211.0,213.0,38453199.88260048,8211568214.922416
2023-05-21 09:00:00,214.0,215.0,205.0,205.0,30017229.53973772,6307398946.989431
2023-05-22 09:00:00,205.0,206.0,200.0,204.0,19784518.96574964,4006273474.549351
2023-05-23 09:00:00,204.0,206.0,201.0,203.0,24617796.12131184,5005106854.5741825
2023-05-24 09:00:00,204.0,206.0,191.0,196.0,38694314.37898945,7691591815.63935
2023-05-25 09:00:00,195.0,197.0,190.0,195.0,18148785.23112046,3495566412.381202
2023-05-26 09:00:00,194.0,196.0,190.0,194.0,12931211.92225513,2491129422.731635
2023-05-27 09:00:00,194.0,197.0,192.0,194.0,12424309.5985905,2411132644.0134754
2023-05-28 09:00:00,194.0,201.0,193.0,199.0,12122502.85911605,2380717517.7662325
2023-05-29 09:00:00,200.0,201.0,195.0,196.0,15321543.31663301,3019216342.2608414
2023-05-30 09:00:00,195.0,196.0,192.0,194.0,20391612.49182559,3956666591.0416193
2023-05-31 09:00:00,194.0,198.0,186.0,188.0,27842643.64213439,5320659843.226554
2023-06-01 09:00:00,188.0,193.0,186.0,190.0,16979429.4207818,3204195048.8719583
2023-06-02 09:00:00,189.0,194.0,186.0,193.0,12795802.43274559,2438026330.7594476
2023-06-03 09:00:00,194.0,199.0,191.0,192.0,22006983.44535764,4285277523.4813137
2023-06-04 09:00:00,192.0,194.0,191.0,192.0,11260838.50043849,2160764277.465952
2023-06-05 09:00:00,192.0,192.0,165.0,171.0,60470479.42857087,10878977614.510002
2023-06-06 09:00:00,170.0,174.0,161.0,172.0,47996481.19229336,8069984775.159586
2023-06-07 09:00:00,172.0,174.0,161.0,163.0,52906114.25481481,8864158173.09109
2023-06-08 09:00:00,163.0,167.0,161.0,165.0,28361947.78367445,4650460145.344509
2023-06-09 09:00:00,165.0,167.0,161.0,164.0,21369523.80445572,3493512528.9741263
2023-06-10 09:00:00,164.0,165.0,125.0,137.0,77611001.83188012,11049765646.956516
2023-06-11 09:00:00,138.0,140.0,134.0,138.0,32260819.0809028,4413902808.863242
2023-06-12 09:00:00,138.0,143.0,134.0,138.0,39999877.26425623,5504376647.378982
2023-06-13 09:00:00,138.0,140.0,134.0,137.0,24352240.1353025,3344993764.8391786
2023-06-14 09:00:00,136.0,139.0,129.0,133.0,24997109.68025625,3381051646.9016724
2023-06-15 09:00:00,133.0,136.0,129.0,135.0,19039031.95575582,2519656849.108133
2023-06-16 09:00:00,135.0,141.0,134.0,141.0,34080007.85077355,4665327500.432324
2023-06-17 09:00:00,141.0,143.0,137.0,142.0,17797561.71519584,2500925588.0353613
2023-06-18 09:00:00,142.0,145.0,139.0,140.0,17860111.07280188,2528271062.5448923
2023-06-19 09:00:00,139.0,142.0,139.0,142.0,10743894.86796431,1504087082.7977695
2023-06-20 09:00:00,141.0,148.0,139.0,147.0,21182144.80548481,3018256761.9701557
