,open,high,low,close,volume,value
2023-02-06 09:00:00,262.0,269.0,251.0,257.0,85449466.51464576,21986495713.71424
2023-02-07 09:00:00,257.0,258.0,245.0,257.0,25785455.73972442,6446648443.481065
2023-02-08 09:00:00,256.0,285.0,252.0,260.0,91513892.51992112,24444679527.09596
2023-02-09 09:00:00,260.0,260.0,240.0,241.0,32936572.69697141,8229337236.493846
2023-02-10 09:00:00,241.0,252.0,232.0,243.0,22393867.2588131,5426130575.971188
2023-02-11 09:00:00,243.0,257.0,240.0,251.0,21269361.793414,5307291502.767575
2023-02-12 09:00:00,250.0,251.0,237.0,241.0,10872841.82481382,2655131808.290803
2023-02-13 09:00:00,242.0,242.0,223.0,232.0,12155988.18158947,2811850130.024079
2023-02-14 09:00:00,232.0,245.0,227.0,241.0,38016392.06876761,9022639434.826004
2023-02-15 09:00:00,241.0,258.0,237.0,258.0,20340905.76204219,4999340427.8389015
2023-02-16 09:00:00,257.0,274.0,250.0,253.0,45192991.45538895,11747773921.979061
2023-02-17 09:00:00,253.0,267.0,250.0,266.0,22746973.72619751,5906463843.111779
2023-02-18 09:00:00,266.0,272.0,257.0,272.0,18812636.24616128,4969302889.384452
2023-02-19 09:00:00,271.0,273.0,263.0,272.0,18447860.93507918,4931287632.864757
2023-02-20 09:00:00,272.0,281.0,263.0,280.0,30858942.87351208,8426463464.962602
2023-02-21 09:00:00,280.0,284.0,266.0,272.0,33602574.53000396,9224511556.423244
2023-02-22 09:00:00,272.0,275.0,256.0,268.0,17525693.89884738,4625643694.529283
2023-02-23 09:00:00,269.0,275.0,258.0,274.0,16072653.13849649,4288565555.3218737
2023-02-24 09:00:00,273.0,306.0,270.0,287.0,134601244.6780256,38858040167.82423
2023-02-25 09:00:00,287.0,287.0,263.0,274.0,30382235.30285274,8337259105.191364
2023-02-26 09:00:00,273.0,282.0,267.0,279.0,10784928.9080671,2953059729.2834916
2023-02-27 09:00:00,279.0,286.0,268.0,283.0,16799054.59281156,4621293684.128247
2023-02-28 09:00:00,283.0,320.0,275.0,281.0,163959888.41897357,48877203498.25974
2023-03-01 09:00:00,280.0,348.0,280.0,294.0,485766585.59515804,151483591593.83212
2023-03-02 09:00:00,293.0,294.0,269.0,276.0,87694675.32076634,24422922066.31488
2023-03-03 09:00:00,275.0,275.0,250.0,254.0,30310919.4078824,7808442154.137661
2023-03-04 09:00:00,254.0,258.0,244.0,249.0,11595263.72384482,2928617934.000101
2023-03-05 09:00:00,249.0,250.0,241.0,247.0,7510699.80360915,1850417194.3665202
2023-03-06 09:00:00,247.0,248.0,235.0,241.0,8353939.63974127,2011904315.0817964
2023-03-07 09:00:00,241.0,260.0,239.0,246.0,81434678.08904986,20471391566.00423
2023-03-08 09:00:00,245.0,247.0,224.0,227.0,23629009.21282025,5564101106.942767
2023-03-09 09:00:00,228.0,230.0,207.0,213.0,18641913.13621422,4097846419.228907
2023-03-10 09:00:00,213.0,215.0,201.0,214.0,18435072.31240826,3814259437.7697034
2023-03-11 09:00:00,214.0,219.0,202.0,210.0,11036858.56446959,2318776179.4499054
