,open,high,low,close,volume,value
2023-02-07 09:00:00,638.0,661.0,613.0,641.0,29238064.05234373,18455934765.132317
2023-02-08 09:00:00,641.0,644.0,620.0,634.0,9816920.74908902,6228036315.220406
2023-02-09 09:00:00,633.0,648.0,598.0,609.0,15031263.46804224,9364651055.726686
2023-02-10 09:00:00,608.0,627.0,589.0,614.0,8821999.84005274,5370920109.812552
2023-02-11 09:00:00,614.0,619.0,605.0,616.0,2758413.9423427,1684359345.445096
2023-02-12 09:00:00,616.0,627.0,605.0,608.0,6471821.75273196,3977254227.79156
2023-02-13 09:00:00,608.0,610.0,563.0,586.0,6785650.06036412,3963175127.5233364
2023-02-14 09:00:00,586.0,596.0,550.0,595.0,7068263.21022372,4062431328.7103524
2023-02-15 09:00:00,595.0,634.0,589.0,632.0,19877216.75577696,12161644853.739246
2023-02-16 09:00:00,632.0,659.0,616.0,619.0,20446861.86486634,13085479828.14175
2023-02-17 09:00:00,618.0,655.0,611.0,653.0,20423296.86526438,13076481152.589935
2023-02-18 09:00:00,653.0,661.0,633.0,650.0,8273823.54304758,5372121944.132746
2023-02-19 09:00:00,651.0,674.0,637.0,672.0,12963122.77067631,8482507262.557584
2023-02-20 09:00:00,672.0,728.0,647.0,701.0,33681645.50664485,23241086721.304237
2023-02-21 09:00:00,699.0,755.0,675.0,740.0,59115938.97083333,42186266145.44927
2023-02-22 09:00:00,740.0,772.0,703.0,759.0,41546618.04879942,30616541674.507298
2023-02-23 09:00:00,759.0,759.0,723.0,743.0,13662243.00925023,10062930968.732758
2023-02-24 09:00:00,742.0,981.0,742.0,855.0,456049013.89271533,401804519158.879
2023-02-25 09:00:00,856.0,868.0,720.0,742.0,64682475.20259495,49956737680.64931
2023-02-26 09:00:00,742.0,753.0,702.0,734.0,21184479.87418386,15348447038.199036
2023-02-27 09:00:00,734.0,734.0,700.0,709.0,13886243.52812774,9855103246.214943
2023-02-28 09:00:00,708.0,709.0,678.0,688.0,11658374.42314382,8064764704.013948
2023-03-01 09:00:00,688.0,725.0,681.0,700.0,25353374.82034002,17798310183.44788
2023-03-02 09:00:00,700.0,702.0,645.0,666.0,17000558.35733687,11335245017.159222
2023-03-03 09:00:00,665.0,686.0,609.0,626.0,15185358.92519361,9745401713.7217
2023-03-04 09:00:00,626.0,655.0,622.0,629.0,6551136.82383373,4179512142.6477304
2023-03-05 09:00:00,628.0,632.0,612.0,623.0,2751374.65445998,1711041464.817748
2023-03-06 09:00:00,623.0,642.0,592.0,607.0,6205650.15518644,3782312204.2046466
2023-03-07 09:00:00,609.0,615.0,575.0,590.0,4551684.53273686,2707571059.471406
2023-03-08 09:00:00,588.0,596.0,563.0,565.0,4048189.1638086,2333485834.7610364
2023-03-09 09:00:00,566.0,577.0,525.0,532.0,5524292.04010823,3071423253.3258114
2023-03-10 09:00:00,532.0,538.0,506.0,538.0,4967676.88398183,2591095278.1858053
2023-03-11 09:00:00,539.0,552.0,506.0,531.0,3051302.47745983,1615414840.0061812
2023-03-12 09:00:00,531.0,558.0,510.0,556.0,5267901.74057505,2814265400.639892
2023-03-13 09:00:00,556.0,600.0,536.0,597.0,8303003.82111851,4692925214.199045
2023-03-14 09:00:00,598.0,641.0,579.0,623.0,23895235.3797447,14723106230.042698
2023-03-15 09:00:00,623.0,630.0,582.0,596.0,7282154.26570677,4462732569.895655
2023-03-16 09:00:00,596.0,623.0,594.0,614.0,6192492.43546504,3771775907.039332
2023-03-17 09:00:00,614.0,641.0,610.0,640.0,6862432.01437662,4295261851.560532
2023-03-18 09:00:00,640.0,642.0,621.0,624.0,6096322.21032666,3867224025.4516754
2023-03-19 09:00:00,624.0,662.0,614.0,658.0,7151318.59506853,4551460601.129586
2023-03-20 09:00:00,658.0,743.0,633.0,637.0,82056857.91617972,56395598009.988
2023-03-21 09:00:00,636.0,638.0,588.0,616.0,12291329.53394943,7537207793.096998
2023-03-22 09:00:00,616.0,617.0,581.0,592.0,4620336.66630365,2788323931.1381717
2023-03-23 09:00:00,593.0,633.0,591.0,619.0,21312932.28836085,13134446971.680489
2023-03-24 09:00:00,618.0,653.0,613.0,628.0,20738174.09291897,13148612808.060156
2023-03-25 09:00:00,628.0,629.0,611.0,614.0,5096940.93103223,3150926106.95136
2023-03-26 09:00:00,615.0,622.0,608.0,613.0,3106945.11516212,1905457819.6353598
2023-03-27 09:00:00,612.0,615.0,570.0,580.0,5300515.07392435,3143616150.013815
2023-03-28 09:00:00,583.0,596.0,563.0,588.0,4947404.80875863,2875048334.9759407
2023-03-29 09:00:00,590.0,617.0,588.0,612.0,6711617.73695943,4051201207.5652056
2023-03-30 09:00:00,613.0,660.0,606.0,623.0,36646525.50095992,23175467214.026527
2023-03-31 09:00:00,624.0,651.0,602.0,647.0,13447087.54970287,8427849468.063252
2023-04-01 09:00:00,647.0,660.0,633.0,650.0,10768833.23880013,6961272683.019545
2023-04-02 09:00:00,650.0,651.0,616.0,625.0,5204531.64228696,3297501214.0873723
2023-04-03 09:00:00,625.0,644.0,611.0,643.0,6431242.54450843,4028822520.8544803
2023-04-04 09:00:00,641.0,675.0,621.0,649.0,18507667.22935761,11917760111.449732
2023-04-05 09:00:00,648.0,682.0,645.0,676.0,20242350.86257647,13390399763.377789
2023-04-06 09:00:00,678.0,710.0,651.0,678.0,20302589.09606672,13742012945.099089
2023-04-07 09:00:00,678.0,767.0,661.0,702.0,50700588.29441215,36273733224.55235
2023-04-08 09:00:00,703.0,704.0,660.0,669.0,18819546.78952177,12682079545.045437
2023-04-09 09:00:00,668.0,669.0,639.0,650.0,6612150.51226538,4301989447.590502
