,open,high,low,close,volume,value
2023-02-07 09:00:00,14.5,15.0,13.8,14.8,334736029.8023371,4755099667.7236185
2023-02-08 09:00:00,14.7,16.4,14.3,14.9,1443179173.3879304,22237054551.562428
2023-02-09 09:00:00,15.5,17.3,13.6,13.9,2355688077.5861907,35611749179.70422
2023-02-10 09:00:00,13.8,13.9,13.2,13.8,282681750.7173936,3833358791.0233297
2023-02-11 09:00:00,13.8,13.8,13.4,13.8,151257457.73631832,2053072724.111205
2023-02-12 09:00:00,13.8,13.8,13.4,13.6,165142556.99822894,2248024955.2527037
2023-02-13 09:00:00,13.6,13.6,12.6,13.0,255367305.41768107,3326613808.8989763
2023-02-14 09:00:00,13.0,13.4,12.5,13.3,170471224.18617794,2190772212.473391
2023-02-15 09:00:00,13.3,14.4,13.1,14.3,459091245.3365775,6325588102.079549
2023-02-16 09:00:00,14.4,15.3,13.9,14.2,921178012.1027402,13537536078.18029
2023-02-17 09:00:00,14.1,15.0,13.8,14.9,327896099.42479664,4741911472.145676
2023-02-18 09:00:00,14.9,14.9,14.4,14.8,247563162.43898958,3631776191.1688128
2023-02-19 09:00:00,14.9,15.8,14.5,15.5,501848286.438832,7598762466.0348215
2023-02-20 09:00:00,15.5,21.7,15.2,17.2,9944909067.810574,185773609033.0456
2023-02-21 09:00:00,17.1,17.8,15.8,16.0,1454260955.4710827,24365266277.063057
2023-02-22 09:00:00,16.0,16.0,15.0,15.7,380500498.0306399,5857064365.78706
2023-02-23 09:00:00,15.7,16.1,15.4,15.8,248075252.28100672,3898575233.991914
2023-02-24 09:00:00,15.8,16.2,15.5,16.1,343316348.8984139,5435440032.379394
2023-02-25 09:00:00,16.1,16.2,15.3,15.7,187194790.6217763,2944850257.4443226
2023-02-26 09:00:00,15.7,16.2,15.3,16.1,139300484.56357023,2185727739.4137187
2023-02-27 09:00:00,16.1,17.3,15.6,15.9,954408229.0712911,15772691438.815483
2023-02-28 09:00:00,16.0,16.0,15.4,15.6,131076551.1197832,2042863299.1058877
2023-03-01 09:00:00,15.6,15.8,15.2,15.7,117136763.97909874,1819369797.3529506
2023-03-02 09:00:00,15.7,15.7,14.9,15.2,211777599.56026176,3224157559.471217
2023-03-03 09:00:00,15.2,15.3,13.8,14.1,238692471.80265802,3375302978.478966
2023-03-04 09:00:00,14.1,14.5,13.8,14.0,104243469.77095935,1478373414.648899
2023-03-05 09:00:00,13.9,14.2,13.7,14.0,77410823.05657502,1079271772.0236764
2023-03-06 09:00:00,13.9,14.0,13.5,13.8,87794491.94691002,1204021870.0436075
2023-03-07 09:00:00,13.8,14.0,13.5,13.7,121454292.93158117,1675990243.2976422
2023-03-08 09:00:00,13.8,14.0,13.0,13.0,130205163.87281784,1755880210.1299803
2023-03-09 09:00:00,13.1,13.3,11.9,12.1,188650101.04184827,2380703359.01595
2023-03-10 09:00:00,12.1,12.9,11.4,12.4,416793597.2897511,5102203889.526987
2023-03-11 09:00:00,12.4,12.7,11.9,12.4,136954211.98708287,1683298751.2136638
2023-03-12 09:00:00,12.3,12.9,11.7,12.8,158624464.43019047,1932521915.378708
2023-03-13 09:00:00,12.8,13.6,12.4,13.6,317231738.9106645,4114557468.8369985
2023-03-14 09:00:00,13.6,14.6,13.1,14.4,422547337.2430656,5843113741.192305
2023-03-15 09:00:00,14.4,15.4,13.7,14.1,537923150.0372574,7829994644.426284
2023-03-16 09:00:00,14.1,15.7,13.4,15.5,1270790987.3610332,18997569549.21936
2023-03-17 09:00:00,15.5,16.6,15.1,15.9,1254579897.2914586,19898208408.649685
2023-03-18 09:00:00,15.9,15.9,15.1,15.2,289974437.9729586,4498510404.461388
2023-03-19 09:00:00,15.2,15.6,14.8,15.5,252725921.9908081,3820354844.0359445
2023-03-20 09:00:00,15.5,15.6,15.0,15.1,208615212.80009976,3182831273.1360316
2023-03-21 09:00:00,15.1,15.2,14.2,14.6,228647227.74253753,3345665941.446652
2023-03-22 09:00:00,14.6,16.0,14.0,14.3,1011767110.2625155,15363431866.415941
2023-03-23 09:00:00,14.3,15.0,14.1,14.7,283584446.5227205,4105986622.424949
2023-03-24 09:00:00,14.7,15.0,14.4,14.4,201989888.7135234,2960997376.8418665
2023-03-25 09:00:00,14.5,15.6,14.4,14.9,533569019.2975772,8037302224.78726
2023-03-26 09:00:00,14.9,15.0,14.6,14.7,110119056.12434112,1622186499.8605168
2023-03-27 09:00:00,14.8,15.0,13.5,13.8,195796883.18539286,2802917160.7023044
2023-03-28 09:00:00,13.9,13.9,13.0,13.9,146016669.20261392,1972044029.7107892
2023-03-29 09:00:00,13.9,14.5,13.7,14.4,154302368.36370805,2171444375.718562
2023-03-30 09:00:00,14.5,14.6,13.9,14.1,169356303.04622903,2406569471.3987446
