,open,high,low,close,volume,value
2023-02-07 09:00:00,3640.0,3775.0,3570.0,3765.0,1348753.22055274,4913236084.622364
2023-02-08 09:00:00,3750.0,3795.0,3600.0,3730.0,1080295.87425253,4027436573.361212
2023-02-09 09:00:00,3745.0,4120.0,3355.0,3435.0,11800266.02120308,45400953219.247604
2023-02-10 09:00:00,3435.0,3940.0,3400.0,3570.0,9963829.32017902,36789187539.72044
2023-02-11 09:00:00,3575.0,3580.0,3490.0,3545.0,862186.2632748,3048324331.8467765
2023-02-12 09:00:00,3555.0,3650.0,3430.0,3490.0,2080531.18811064,7418343454.489953
2023-02-13 09:00:00,3500.0,3500.0,3240.0,3415.0,1288257.04888548,4337525751.846046
2023-02-14 09:00:00,3420.0,3485.0,3275.0,3480.0,917618.58281175,3109383786.8663125
2023-02-15 09:00:00,3485.0,3695.0,3430.0,3690.0,1216681.17627117,4310704061.477819
2023-02-16 09:00:00,3680.0,4090.0,3615.0,3625.0,6134914.5415639,23881874692.19709
2023-02-17 09:00:00,3630.0,4060.0,3620.0,3945.0,3407220.31072161,13115192552.822699
2023-02-18 09:00:00,3950.0,4055.0,3910.0,3955.0,2316523.01139698,9237013861.724075
2023-02-19 09:00:00,3965.0,4340.0,3890.0,4155.0,8038424.05812256,33787324058.218033
2023-02-20 09:00:00,4155.0,4855.0,4105.0,4790.0,17081849.19897945,77983297467.3556
2023-02-21 09:00:00,4785.0,5515.0,4570.0,4740.0,15730877.08789547,80008803740.69249
2023-02-22 09:00:00,4735.0,4915.0,4485.0,4810.0,4985545.77045412,23588865437.40956
2023-02-23 09:00:00,4810.0,4810.0,4505.0,4550.0,1614690.41466554,7532883689.663246
2023-02-24 09:00:00,4550.0,4585.0,4170.0,4300.0,1501298.71844446,6546849046.533989
2023-02-25 09:00:00,4295.0,4505.0,4235.0,4385.0,1615021.12846797,7029122902.578065
2023-02-26 09:00:00,4390.0,4580.0,4295.0,4505.0,2104861.16679038,9417058603.110764
2023-02-27 09:00:00,4520.0,4730.0,4505.0,4650.0,4102666.12823974,18991609614.04442
2023-02-28 09:00:00,4650.0,4655.0,4300.0,4305.0,1436031.28113546,6404664964.493224
2023-03-01 09:00:00,4305.0,4605.0,4270.0,4455.0,2934720.22801665,13060039021.311497
2023-03-02 09:00:00,4455.0,4465.0,4205.0,4315.0,791599.00975522,3413028916.73344
2023-03-03 09:00:00,4310.0,4330.0,3845.0,4060.0,1352470.13938573,5424860598.245657
2023-03-04 09:00:00,4060.0,4155.0,3910.0,3990.0,1230888.3067054,5038403085.182159
2023-03-05 09:00:00,3985.0,4080.0,3930.0,3955.0,468810.66804867,1878983573.4086068
2023-03-06 09:00:00,3960.0,4095.0,3865.0,4045.0,1122044.32408595,4462906999.918568
