,open,high,low,close,volume,value
2023-01-05 09:00:00,5.58,5.83,5.51,5.57,457884506.5482683,2585387629.79458
2023-01-06 09:00:00,5.57,5.8,5.51,5.63,411990881.0419388,2318683341.2119017
2023-01-07 09:00:00,5.63,5.74,5.53,5.68,150830016.78350788,852641818.9163932
2023-01-08 09:00:00,5.68,5.78,5.58,5.78,85456833.21954392,485404515.4923803
2023-01-09 09:00:00,5.79,5.91,5.71,5.8,709261502.7084341,4117486267.590511
2023-01-10 09:00:00,5.81,5.91,5.72,5.87,322167727.6193143,1875537261.5529237
2023-01-11 09:00:00,5.87,6.15,5.84,5.96,703938229.9538237,4215345397.0940247
2023-01-12 09:00:00,5.95,6.06,5.81,6.0,284322171.2173311,1687890149.0337381
2023-01-13 09:00:00,6.02,6.21,5.94,6.18,399045697.6845729,2426580097.4497914
2023-01-14 09:00:00,6.16,6.5,6.0,6.37,614222282.1664035,3847302273.0338683
2023-01-15 09:00:00,6.37,8.04,6.37,6.69,6845347078.345038,48844843365.58591
2023-01-16 09:00:00,6.69,6.69,6.4,6.58,502615527.1858785,3287182157.132107
2023-01-17 09:00:00,6.56,6.8,6.41,6.8,511687717.22799546,3394899678.583414
2023-01-18 09:00:00,6.81,6.84,6.22,6.32,476533444.1704582,3128178787.679955
2023-01-19 09:00:00,6.32,6.63,6.28,6.49,472365425.86435455,3028021909.647419
2023-01-20 09:00:00,6.48,6.79,6.38,6.76,373729314.6346944,2447952645.582829
2023-01-21 09:00:00,6.76,7.29,6.73,7.01,1894850390.9866035,13338178392.233953
2023-01-22 09:00:00,7.02,7.02,6.81,6.98,302817227.5295226,2099965950.0791998
2023-01-23 09:00:00,7.0,7.14,6.84,7.12,338413405.68469036,2351210895.1028438
2023-01-24 09:00:00,7.12,8.29,6.64,6.95,4230710665.0646358,31730580099.612858
2023-01-25 09:00:00,6.93,7.53,6.65,7.18,1800268355.775034,12924960526.910748
2023-01-26 09:00:00,7.18,7.25,7.03,7.18,403176815.8975849,2871894299.3581448
2023-01-27 09:00:00,7.18,7.47,6.93,7.4,774532160.0240288,5590785709.996817
2023-01-28 09:00:00,7.4,7.59,7.12,7.33,433751159.2913826,3189969134.947716
2023-01-29 09:00:00,7.33,7.38,7.17,7.34,221123454.48197308,1606225895.040897
2023-01-30 09:00:00,7.34,7.46,6.78,6.95,528392098.4611388,3771669066.9546404
2023-01-31 09:00:00,6.93,7.22,6.78,7.09,422734026.5624996,2974658743.696141
2023-02-01 09:00:00,7.09,7.25,6.72,7.23,648378404.4358397,4551798249.039197
2023-02-02 09:00:00,7.23,8.27,7.17,7.75,4441528144.668227,34232027114.050377
2023-02-03 09:00:00,7.74,8.06,7.59,8.01,1250756744.0076003,9736917293.240417
2023-02-04 09:00:00,8.01,8.02,7.72,7.98,452095715.5341022,3545469893.0468583
2023-02-05 09:00:00,7.98,8.94,7.32,7.87,2615686869.1303825,21212515631.28125
2023-02-06 09:00:00,7.86,8.16,7.74,7.99,876893484.3602515,6927331290.368717
2023-02-07 09:00:00,7.98,8.03,7.59,8.01,517276522.8361917,4042258762.7640204
2023-02-08 09:00:00,8.01,9.08,7.99,8.32,3768490169.8834243,31913882334.129257
2023-02-09 09:00:00,8.32,8.35,7.67,7.77,709203237.9380188,5649016587.594087
2023-02-10 09:00:00,7.77,8.48,7.54,8.03,1189370171.0160735,9627645669.306446
2023-02-11 09:00:00,8.0,8.09,7.81,8.01,146908416.56121472,1166031549.92517
2023-02-12 09:00:00,8.01,8.29,7.87,7.94,472016659.32419145,3810743115.5620914
2023-02-13 09:00:00,7.9,7.94,7.29,7.54,389339391.772663,2951100541.383461
2023-02-14 09:00:00,7.55,7.66,7.19,7.61,328695514.780472,2447840319.9913964
2023-02-15 09:00:00,7.6,9.1,7.46,8.68,8501793203.788742,71897940254.42813
2023-02-16 09:00:00,8.7,12.9,8.68,9.75,24204515584.506393,273858571015.17896
2023-02-17 09:00:00,9.78,10.1,9.2,9.6,2706893279.8172297,25895742926.539288
2023-02-18 09:00:00,9.6,9.6,9.09,9.35,602183925.030569,5628979167.764573
2023-02-19 09:00:00,9.34,9.55,9.18,9.35,496591320.8768795,4639428937.133441
2023-02-20 09:00:00,9.35,9.45,8.99,9.34,608393966.6563741,5613169791.932149
2023-02-21 09:00:00,9.35,9.37,9.06,9.17,437031291.19723684,4028283535.620646
2023-02-22 09:00:00,9.17,9.5,9.07,9.38,1385873918.9504702,12861801644.354584
2023-02-23 09:00:00,9.38,9.44,9.15,9.36,420629326.1213229,3888002026.4689193
2023-02-24 09:00:00,9.37,9.66,9.25,9.58,774528840.1649768,7311150700.580714
2023-02-25 09:00:00,9.58,9.59,9.0,9.28,388922141.5453865,3597281107.650968
2023-02-26 09:00:00,9.28,9.42,9.1,9.29,251838566.22098446,2335724027.227795
2023-02-27 09:00:00,9.26,9.33,9.07,9.22,168567950.2236056,1545728862.6851614
2023-02-28 09:00:00,9.23,9.23,9.12,9.19,108764312.28202613,997600851.9253438
2023-03-01 09:00:00,9.2,9.23,9.06,9.21,138687279.49427053,1267495327.550885
2023-03-02 09:00:00,9.21,9.21,8.72,8.96,225315534.03246766,2006753966.7738378
2023-03-03 09:00:00,8.98,8.98,8.18,8.46,203248768.39059857,1709927847.343854
2023-03-04 09:00:00,8.46,8.66,8.38,8.5,92786377.81775457,788861124.4094739
2023-03-05 09:00:00,8.51,9.25,8.38,8.45,938642165.4738923,8264435782.008951
2023-03-06 09:00:00,8.45,8.58,7.94,8.45,352035441.70681024,2896383816.9324093
2023-03-07 09:00:00,8.45,8.69,8.2,8.69,205322381.34406772,1732355206.4950783
2023-03-08 09:00:00,8.72,8.76,8.3,8.36,130037291.64258313,1094436707.1881843
2023-03-09 09:00:00,8.36,8.38,7.99,8.1,116365576.64185934,952715900.4116485
2023-03-10 09:00:00,8.1,10.1,7.73,8.39,12965137791.986322,115773979508.91757
2023-03-11 09:00:00,8.39,8.44,7.75,7.93,1537508981.4602845,12512192269.338827
2023-03-12 09:00:00,7.93,8.05,7.34,8.04,927290397.1609377,7124057624.970625
2023-03-13 09:00:00,8.04,8.59,7.74,8.56,1255462523.200905,10227155080.404005
2023-03-14 09:00:00,8.56,8.89,8.16,8.79,1128138239.6734607,9716162289.853521
2023-03-15 09:00:00,8.79,9.88,8.3,8.93,5459572061.547324,50840116583.86095
2023-03-16 09:00:00,8.93,8.95,8.44,8.93,572378093.1093842,4965624635.902945
