,open,high,low,close,volume,value
2023-01-05 09:00:00,2765.0,2785.0,2710.0,2745.0,470021.54078416,1289708997.9181678
2023-01-06 09:00:00,2745.0,2780.0,2660.0,2735.0,457212.66091071,1248681633.6461163
2023-01-07 09:00:00,2730.0,2775.0,2710.0,2760.0,203267.66378258,557569711.099122
2023-01-08 09:00:00,2760.0,2780.0,2730.0,2775.0,190624.57577893,524835416.5587916
2023-01-09 09:00:00,2780.0,2880.0,2750.0,2825.0,2141360.14473164,6075386077.447678
2023-01-10 09:00:00,2825.0,3025.0,2780.0,2860.0,2086237.55226013,5995257205.588021
2023-01-11 09:00:00,2855.0,2965.0,2835.0,2945.0,2049941.20229006,5948886484.499605
2023-01-12 09:00:00,2945.0,2980.0,2860.0,2980.0,728660.60023196,2119243392.2733493
2023-01-13 09:00:00,2975.0,3080.0,2915.0,3035.0,1567714.20105075,4703775173.242145
2023-01-14 09:00:00,3035.0,3195.0,2960.0,3105.0,2099840.44719051,6426247389.025027
2023-01-15 09:00:00,3110.0,3900.0,3040.0,3165.0,8073209.28544112,27037293758.97185
2023-01-16 09:00:00,3165.0,3250.0,3020.0,3115.0,2233869.59602905,6997425357.924475
2023-01-17 09:00:00,3115.0,3170.0,3030.0,3150.0,950208.00999401,2948139854.6948566
2023-01-18 09:00:00,3155.0,3650.0,2940.0,2960.0,20721186.33399336,68455712658.05801
2023-01-19 09:00:00,2955.0,3015.0,2895.0,3010.0,1327459.70698021,3934964299.18062
2023-01-20 09:00:00,3010.0,3130.0,2975.0,3125.0,998219.98776648,3023700690.284036
2023-01-21 09:00:00,3130.0,3245.0,3070.0,3185.0,2255424.12873987,7145794821.890866
2023-01-22 09:00:00,3185.0,3185.0,3130.0,3180.0,877929.51488907,2772002849.7212605
2023-01-23 09:00:00,3180.0,3230.0,3130.0,3225.0,803001.62901136,2547626834.9646387
2023-01-24 09:00:00,3220.0,3295.0,3020.0,3115.0,1715849.50920847,5509056037.789603
2023-01-25 09:00:00,3120.0,3560.0,3005.0,3180.0,6776584.93779717,22204979665.328716
2023-01-26 09:00:00,3175.0,3230.0,3125.0,3225.0,1292815.82774779,4097808433.5422187
2023-01-27 09:00:00,3220.0,3340.0,3140.0,3320.0,2991713.3907987,9714385822.402462
2023-01-28 09:00:00,3320.0,3330.0,3205.0,3275.0,745767.01438776,2440429353.1306124
2023-01-29 09:00:00,3270.0,3365.0,3235.0,3345.0,500637.144382,1642473327.3020103
2023-01-30 09:00:00,3345.0,3365.0,3055.0,3125.0,1123954.727701,3590048914.920121
2023-01-31 09:00:00,3115.0,3200.0,3020.0,3185.0,648755.46826588,2015657095.184243
2023-02-01 09:00:00,3180.0,3385.0,3040.0,3240.0,3411861.8592993,11010994769.605469
2023-02-02 09:00:00,3240.0,3315.0,3200.0,3290.0,1248215.81893427,4060056901.6416044
