,open,high,low,close,volume,value
2023-02-07 09:00:00,4.99,6.34,4.84,5.65,25536916257.551277,148194727629.1349
2023-02-08 09:00:00,5.64,9.3,5.6,6.22,58064330136.93611,409361721819.7786
2023-02-09 09:00:00,6.2,6.25,5.36,5.45,13569463560.537203,79562595793.04324
2023-02-10 09:00:00,5.45,5.99,5.07,5.33,5846413527.526521,31812194418.32472
2023-02-11 09:00:00,5.33,5.34,5.15,5.32,1316695260.1108644,6879137201.383052
2023-02-12 09:00:00,5.31,5.5,5.15,5.2,2829093415.436733,15130818052.589642
2023-02-13 09:00:00,5.2,5.2,4.72,5.01,2249728494.859335,11050634732.015581
2023-02-14 09:00:00,5.0,5.12,4.75,5.11,1270361946.526368,6254233374.373055
2023-02-15 09:00:00,5.11,5.8,4.94,5.67,7626031734.597707,41453476347.25423
2023-02-16 09:00:00,5.68,6.12,5.45,5.51,7604886316.733048,44780246159.58837
2023-02-17 09:00:00,5.51,6.78,5.44,6.24,14734386355.813374,91075463305.98534
2023-02-18 09:00:00,6.24,6.24,5.92,6.08,3015917267.381303,18351391301.204025
2023-02-19 09:00:00,6.1,6.14,5.94,6.03,2553649932.847904,15443626891.175224
2023-02-20 09:00:00,6.03,6.99,5.97,6.33,11810418707.110073,75924568096.14864
2023-02-21 09:00:00,6.33,6.34,5.96,6.12,3050659840.873881,18780876263.659496
2023-02-22 09:00:00,6.12,6.13,5.8,5.98,1548063656.2461033,9172709912.140518
2023-02-23 09:00:00,5.98,6.17,5.93,6.06,1720415718.9939308,10398337995.275324
2023-02-24 09:00:00,6.06,6.1,5.87,5.96,1395808791.0708418,8342985006.740614
2023-02-25 09:00:00,5.96,6.0,5.71,5.86,1024708829.8467617,5958064009.65275
2023-02-26 09:00:00,5.88,6.03,5.75,6.02,760233826.0838091,4486462994.221891
2023-02-27 09:00:00,6.02,6.18,5.86,6.16,2632149111.572186,15968468284.057613
2023-02-28 09:00:00,6.15,6.16,5.89,5.94,1201759394.9515746,7200426979.371905
2023-03-01 09:00:00,5.95,6.06,5.89,5.95,883532764.1878618,5270141269.150308
2023-03-02 09:00:00,5.95,5.95,5.48,5.66,1368078954.6292977,7750567762.310164
2023-03-03 09:00:00,5.66,5.66,5.14,5.23,963659866.3619229,5110479535.777024
2023-03-04 09:00:00,5.24,5.89,5.24,5.36,7324088607.815734,41118680584.057014
2023-03-05 09:00:00,5.36,5.36,5.09,5.27,1041771358.1314232,5448067545.99516
