,open,high,low,close,volume,value
2023-08-16 09:00:00,254.0,856.0,250.0,289.0,3657094493.7028,1497024483321.5344
2023-08-17 09:00:00,289.0,293.0,222.0,238.0,1306043706.0776505,336676170049.2201
2023-08-18 09:00:00,238.0,244.0,203.0,229.0,905680781.1436827,199274770978.74414
2023-08-19 09:00:00,230.0,236.0,214.0,222.0,352637995.7220184,78787269855.07767
2023-08-20 09:00:00,222.0,224.0,203.0,209.0,269229009.5051254,57026006079.641655
2023-08-21 09:00:00,209.0,215.0,195.0,205.0,266220328.49553937,53954452737.90023
2023-08-22 09:00:00,205.0,214.0,198.0,211.0,332019351.7683868,68142558039.58169
2023-08-23 09:00:00,211.0,213.0,200.0,208.0,237854460.85235807,49108843918.29048
2023-08-24 09:00:00,207.0,208.0,199.0,202.0,133783319.11931331,27102796103.713135
2023-08-25 09:00:00,201.0,202.0,188.0,189.0,137074143.99059916,26474511247.791267
