,open,high,low,close,volume,value
2023-02-07 09:00:00,0.0181,0.0183,0.0175,0.0183,1761929464928.4612,31571523101.207047
2023-02-08 09:00:00,0.0183,0.0184,0.0173,0.0176,1222830836994.6555,21834370679.303333
2023-02-09 09:00:00,0.0175,0.0177,0.0154,0.0157,1844600691317.5813,30661338886.975945
2023-02-10 09:00:00,0.0157,0.0172,0.0155,0.0167,1904785159141.9868,30723877160.731102
2023-02-11 09:00:00,0.0168,0.0171,0.0161,0.0167,1265106338323.7402,20849159038.448193
2023-02-12 09:00:00,0.0167,0.0175,0.0163,0.0167,971755308179.1305,16325767119.051674
2023-02-13 09:00:00,0.0167,0.0169,0.0156,0.0163,1299375377120.0266,21198197674.45417
2023-02-14 09:00:00,0.0162,0.0166,0.0155,0.0166,1218118988463.8372,19637844922.74024
2023-02-15 09:00:00,0.0166,0.0178,0.0163,0.0176,1878695090657.7708,31812727047.647305
2023-02-16 09:00:00,0.0177,0.018,0.0163,0.0164,2069296427976.9827,35929479875.84655
2023-02-17 09:00:00,0.0165,0.0172,0.0163,0.0171,1153488225138.3098,19515956011.37269
2023-02-18 09:00:00,0.017,0.0173,0.0167,0.017,637978378619.9575,10880919485.373556
2023-02-19 09:00:00,0.017,0.018,0.0169,0.0173,1316368288178.4714,22912422458.74519
2023-02-20 09:00:00,0.0173,0.0177,0.0169,0.0174,1546043587463.528,26857846747.932293
2023-02-21 09:00:00,0.0174,0.0178,0.0168,0.0169,1855388050790.7737,31929978038.276886
2023-02-22 09:00:00,0.017,0.0172,0.0163,0.0172,1012329383342.5173,16901229661.881207
2023-02-23 09:00:00,0.0171,0.0186,0.0169,0.0172,4907306105227.813,86220588024.21878
2023-02-24 09:00:00,0.0172,0.0173,0.0165,0.0168,1866935488975.1362,31637634045.85728
2023-02-25 09:00:00,0.0167,0.0168,0.0161,0.0165,765735523148.0011,12636253134.997522
2023-02-26 09:00:00,0.0166,0.0175,0.0164,0.017,567620689713.416,9517426284.518484
2023-02-27 09:00:00,0.0171,0.0171,0.0165,0.0166,829526678226.3612,13975436398.508675
2023-02-28 09:00:00,0.0166,0.0168,0.0161,0.0161,696464780887.2454,11464367747.657293
2023-03-01 09:00:00,0.0162,0.0164,0.016,0.0162,505383328111.85864,8194561178.980091
2023-03-02 09:00:00,0.0162,0.0162,0.0156,0.0159,702577228935.421,11149891566.28065
2023-03-03 09:00:00,0.016,0.0161,0.0145,0.0152,876610297185.5403,13208763060.695797
2023-03-04 09:00:00,0.0152,0.0153,0.0145,0.0149,361956841060.24054,5415481656.668199
2023-03-05 09:00:00,0.0149,0.0151,0.0146,0.0149,268307378290.25778,3994829144.9940767
2023-03-06 09:00:00,0.0149,0.015,0.0145,0.0147,460201741591.8663,6749434536.686373
2023-03-07 09:00:00,0.0147,0.0151,0.0141,0.0148,804290818512.2023,11707974106.954424
2023-03-08 09:00:00,0.0148,0.0156,0.0143,0.0147,1389066410408.8281,20683395047.84483
2023-03-09 09:00:00,0.0147,0.0149,0.0135,0.0137,1266634432675.2905,18036802851.970516
2023-03-10 09:00:00,0.0137,0.014,0.0131,0.0139,1386197270810.6726,18774362868.74247
2023-03-11 09:00:00,0.0139,0.0143,0.0134,0.014,704058043231.6942,9685119999.958084
2023-03-12 09:00:00,0.014,0.0144,0.0134,0.0143,558046852258.6361,7739598972.328244
2023-03-13 09:00:00,0.0143,0.0147,0.0137,0.0145,1491619808450.7075,21314399113.76588
2023-03-14 09:00:00,0.0146,0.0154,0.0142,0.0148,1566430847828.8545,23073110217.72592
2023-03-15 09:00:00,0.0149,0.0151,0.0137,0.014,1067071847300.6608,15348324926.898657
2023-03-16 09:00:00,0.0139,0.0142,0.0136,0.014,666631072290.3763,9259479947.72218
2023-03-17 09:00:00,0.014,0.0148,0.0139,0.0147,873607675850.388,12527922405.710825
2023-03-18 09:00:00,0.0147,0.015,0.0142,0.0143,973180106049.5874,14268243669.56485
2023-03-19 09:00:00,0.0143,0.0148,0.0142,0.0146,738849464960.0212,10692193573.862516
2023-03-20 09:00:00,0.0145,0.0146,0.0139,0.0141,964098519627.2628,13781761713.615866
2023-03-21 09:00:00,0.014,0.0147,0.0137,0.0144,972011750007.0577,13834242756.677145
2023-03-22 09:00:00,0.0145,0.0147,0.0137,0.014,994310075604.3544,14234257838.747616
2023-03-23 09:00:00,0.014,0.0143,0.0139,0.0142,490381343645.10284,6928426248.850016
2023-03-24 09:00:00,0.0142,0.0144,0.014,0.0142,422688668062.493,5985384903.804689
2023-03-25 09:00:00,0.0142,0.0143,0.0139,0.0141,241371331712.03348,3404752265.2539635
2023-03-26 09:00:00,0.014,0.0142,0.014,0.0141,186022958000.19238,2618455097.023152
2023-03-27 09:00:00,0.0141,0.0146,0.0137,0.0138,1009083229199.8143,14230648615.033617
2023-03-28 09:00:00,0.0138,0.0139,0.0136,0.0139,411622423953.966,5642097113.46081
2023-03-29 09:00:00,0.0139,0.0144,0.0137,0.0142,624504468314.283,8802547856.872963
2023-03-30 09:00:00,0.0142,0.0143,0.0138,0.014,667861307727.3286,9362532749.799377
2023-03-31 09:00:00,0.014,0.0145,0.0139,0.0143,473272820690.8494,6682205029.701915
2023-04-01 09:00:00,0.0143,0.0153,0.0142,0.0148,832559370074.2524,12210615658.203499
2023-04-02 09:00:00,0.0147,0.0152,0.0142,0.0143,764656339172.7433,11271703177.68233
2023-04-03 09:00:00,0.0143,0.0154,0.014,0.0149,1582370503357.8525,23373603022.74729
2023-04-04 09:00:00,0.0148,0.0153,0.0146,0.0149,1013906640399.3489,15216778335.442749
2023-04-05 09:00:00,0.0149,0.0151,0.0146,0.0148,558570798019.523,8299719088.202927
2023-04-06 09:00:00,0.0148,0.0149,0.0143,0.0144,419770050412.92896,6107304865.353507
2023-04-07 09:00:00,0.0145,0.0146,0.0143,0.0144,274914684782.69147,3969583269.7098145
2023-04-08 09:00:00,0.0144,0.0146,0.0143,0.0145,161182910366.07285,2328452652.432124
2023-04-09 09:00:00,0.0145,0.0145,0.0143,0.0144,113396940278.64601,1632768300.6397595
2023-04-10 09:00:00,0.0144,0.0147,0.0143,0.0146,182908851589.49426,2641757211.724788
2023-04-11 09:00:00,0.0146,0.0148,0.0145,0.0146,219666021927.96448,3216345356.2453356
2023-04-12 09:00:00,0.0146,0.0147,0.014,0.0145,403142517107.44836,5816148688.947408
2023-04-13 09:00:00,0.0145,0.0148,0.0143,0.0146,226728158207.95602,3314085738.6637263
2023-04-14 09:00:00,0.0146,0.015,0.0144,0.0147,450528096565.82574,6643351250.485157
2023-04-15 09:00:00,0.0147,0.0153,0.0145,0.0152,294378326768.8152,4373395985.34896
2023-04-16 09:00:00,0.0152,0.0156,0.0149,0.0151,646837753995.0975,9869001734.482986
2023-04-17 09:00:00,0.0151,0.0153,0.0147,0.0149,614642945905.8126,9239572739.0079
2023-04-18 09:00:00,0.0149,0.0153,0.0147,0.015,351543859533.2212,5301829938.206954
2023-04-19 09:00:00,0.015,0.0152,0.0142,0.0144,657393365627.6559,9647577855.925652
2023-04-20 09:00:00,0.0144,0.0147,0.0139,0.0141,531770491455.86743,7619043244.2114725
2023-04-21 09:00:00,0.0141,0.0142,0.0135,0.0138,384388420055.9286,5341664236.475534
2023-04-22 09:00:00,0.0137,0.014,0.0135,0.0139,183183749981.2156,2518920328.3277965
2023-04-23 09:00:00,0.0139,0.014,0.0137,0.0138,96093771826.24265,1330842460.164634
2023-04-24 09:00:00,0.0138,0.0139,0.0136,0.0138,183452379780.9977,2517144140.5443673
2023-04-25 09:00:00,0.0137,0.014,0.0135,0.0139,188369198250.6765,2573987398.37509
2023-04-26 09:00:00,0.0139,0.0143,0.0132,0.0136,395994089231.06744,5465966953.083941
2023-04-27 09:00:00,0.0137,0.0139,0.0135,0.0137,163525360303.14844,2245278936.0566845
2023-04-28 09:00:00,0.0136,0.0138,0.0135,0.0136,116480497908.55028,1591760742.9741118
2023-04-29 09:00:00,0.0136,0.0138,0.0136,0.0138,91513389983.04901,1256241589.1490278
2023-04-30 09:00:00,0.0138,0.0138,0.0135,0.0135,123826912672.7588,1687608827.1856735
2023-05-01 09:00:00,0.0136,0.0136,0.0132,0.0133,232447621203.48013,3112571419.386097
2023-05-02 09:00:00,0.0134,0.0136,0.0132,0.0134,141756143953.76587,1891031254.433214
2023-05-03 09:00:00,0.0134,0.0136,0.0131,0.0134,164745385102.4752,2189540145.8060412
2023-05-04 09:00:00,0.0134,0.0135,0.0132,0.0132,104899459771.80203,1400591489.7039945
2023-05-05 09:00:00,0.0133,0.0134,0.0131,0.0133,209217650440.92038,2763486873.7242947
2023-05-06 09:00:00,0.0132,0.0133,0.0125,0.0127,383431198277.9092,4926406143.786758
2023-05-07 09:00:00,0.0127,0.0127,0.0125,0.0125,133474165531.80096,1680564090.7564392
2023-05-08 09:00:00,0.0125,0.0126,0.0113,0.012,462954337746.8552,5570169619.952661
2023-05-09 09:00:00,0.0119,0.0122,0.0117,0.0121,218498294923.4092,2601716943.1113544
2023-05-10 09:00:00,0.0122,0.0123,0.0118,0.0121,268738338304.30035,3237603786.80686
2023-05-11 09:00:00,0.0121,0.0121,0.0116,0.0118,167147663306.68384,1980988781.837453
2023-05-12 09:00:00,0.0118,0.012,0.0114,0.0119,215990338962.41006,2518291917.5696406
2023-05-13 09:00:00,0.012,0.012,0.0117,0.0118,65741219905.58574,781035850.8786684
2023-05-14 09:00:00,0.0119,0.012,0.0117,0.0118,80699334968.47417,959409964.0048348
2023-05-15 09:00:00,0.0118,0.012,0.0117,0.0118,88135207734.44916,1047775594.3759291
2023-05-16 09:00:00,0.0118,0.0119,0.0117,0.0118,97493616925.88228,1150793670.6679235
2023-05-17 09:00:00,0.0119,0.0119,0.0116,0.0117,261510824266.67004,3075217719.7104893
2023-05-18 09:00:00,0.0118,0.0119,0.0115,0.0117,250801188880.5534,2950037697.958197
2023-05-19 09:00:00,0.0117,0.0118,0.0116,0.0117,141798719521.27997,1658011811.100285
2023-05-20 09:00:00,0.0117,0.0118,0.0116,0.0117,76878919812.47289,898332779.4288061
2023-05-21 09:00:00,0.0117,0.0118,0.0114,0.0115,145132571055.6033,1681662469.0332658
2023-05-22 09:00:00,0.0115,0.0121,0.0113,0.0117,429605138183.3679,5050227055.066589
2023-05-23 09:00:00,0.0118,0.0123,0.0117,0.0119,310757074718.6697,3713972711.2501774
2023-05-24 09:00:00,0.0119,0.0119,0.0113,0.0114,292027592047.2301,3371483309.834258
2023-05-25 09:00:00,0.0114,0.0116,0.0112,0.0114,212536178620.09424,2418859733.1994658
2023-05-26 09:00:00,0.0115,0.0116,0.0113,0.0114,89942369471.84956,1025880477.043264
2023-05-27 09:00:00,0.0114,0.0116,0.0113,0.0115,60207805345.934685,689127125.8533709
2023-05-28 09:00:00,0.0115,0.0119,0.0114,0.0117,234016702864.4339,2738348831.626512
2023-05-29 09:00:00,0.0117,0.0119,0.0116,0.0116,97093528813.41664,1137321689.5171428
2023-05-30 09:00:00,0.0117,0.0118,0.0115,0.0115,121224366222.2061,1406348759.3964539
2023-05-31 09:00:00,0.0116,0.0116,0.0111,0.0114,283295159585.526,3213619695.9796395
2023-06-01 09:00:00,0.0115,0.0118,0.0113,0.0114,190173495783.48666,2182634533.4668636
2023-06-02 09:00:00,0.0113,0.0116,0.011,0.0114,355795194740.4931,4000808902.4540024
2023-06-03 09:00:00,0.0114,0.0115,0.0113,0.0113,65934884786.06547,750441439.3173201
2023-06-04 09:00:00,0.0113,0.0115,0.0113,0.0113,76794606553.54953,875278782.6064785
2023-06-05 09:00:00,0.0113,0.0115,0.0103,0.0106,470028545284.7821,5128795325.630002
2023-06-06 09:00:00,0.0106,0.0109,0.0104,0.0107,248808967471.27017,2649631989.6467257
2023-06-07 09:00:00,0.0107,0.0108,0.0103,0.0105,216837044609.78683,2278765690.3994007
2023-06-08 09:00:00,0.0104,0.0106,0.0103,0.0104,80972013412.76889,847622324.071396
2023-06-09 09:00:00,0.0105,0.0106,0.0103,0.0104,90981574663.32253,951042435.9384788
2023-06-10 09:00:00,0.0103,0.0105,0.0078,0.0091,2701969881797.312,23005915003.484585
2023-06-11 09:00:00,0.0091,0.0092,0.0086,0.0089,364985089271.6619,3249154298.725056
2023-06-12 09:00:00,0.0089,0.0089,0.0085,0.0088,294562138941.23975,2551879922.3774095
2023-06-13 09:00:00,0.0088,0.0091,0.0087,0.0089,211534345119.02017,1869018824.2318556
2023-06-14 09:00:00,0.0088,0.0091,0.0085,0.0086,240210158422.92395,2116565781.9875588
2023-06-15 09:00:00,0.0087,0.0089,0.0085,0.0088,166336994301.87482,1437493149.0930092
2023-06-16 09:00:00,0.0089,0.009,0.0087,0.0089,100349876196.41943,885165856.0907657
2023-06-17 09:00:00,0.0089,0.0092,0.0088,0.0091,79947130914.74684,720961735.8006691
2023-06-18 09:00:00,0.0092,0.0099,0.009,0.0094,660458382552.7452,6281039969.607593
2023-06-19 09:00:00,0.0095,0.0096,0.0092,0.0094,167051606243.00302,1570798660.2770307
2023-06-20 09:00:00,0.0095,0.0096,0.0091,0.0095,169066637705.61728,1582771017.990795
2023-06-21 09:00:00,0.0095,0.01,0.0094,0.0099,328939214710.60767,3209826351.1833963
2023-06-22 09:00:00,0.0099,0.0113,0.0098,0.0103,3000837303135.85,32168577732.934174
2023-06-23 09:00:00,0.0103,0.0108,0.0102,0.0105,664037403854.1486,6934977493.360171
2023-06-24 09:00:00,0.0105,0.0107,0.0102,0.0105,391449355914.17,4104573020.4652786
2023-06-25 09:00:00,0.0105,0.0107,0.0103,0.0104,226977308921.51373,2378174449.9671264
2023-06-26 09:00:00,0.0105,0.0105,0.0098,0.0101,296530562624.6853,3014064264.0971107
2023-06-27 09:00:00,0.0101,0.0102,0.0099,0.0101,159507513113.5036,1598573225.6480448
2023-06-28 09:00:00,0.0101,0.0101,0.0095,0.0097,209766863319.26376,2039658545.0387514
2023-06-29 09:00:00,0.0097,0.0099,0.0095,0.0098,113792334889.21962,1108465695.20256
2023-06-30 09:00:00,0.0098,0.0104,0.0097,0.0101,1159574764591.2654,11683665267.547855
2023-07-01 09:00:00,0.0101,0.0108,0.01,0.0102,1009733293490.5504,10364948458.069937
