,open,high,low,close,volume,value
2023-02-06 09:00:00,37.2,38.1,36.6,37.7,122207017.65152214,4567122103.886622
2023-02-07 09:00:00,37.7,38.7,37.0,38.4,167773357.84822848,6354923591.797652
2023-02-08 09:00:00,38.4,39.7,37.2,38.4,159084902.55549258,6131237012.021948
2023-02-09 09:00:00,38.5,38.5,36.0,36.2,116440513.74936007,4320994873.059227
2023-02-10 09:00:00,36.1,36.6,35.5,36.4,60372350.50677428,2174754481.1824617
2023-02-11 09:00:00,36.4,37.2,36.0,36.9,28796765.80399329,1049082389.4183586
2023-02-12 09:00:00,36.9,36.9,35.9,36.2,36386139.37237154,1322678125.1038277
2023-02-13 09:00:00,36.3,36.4,34.0,34.9,75334574.33051686,2631076723.601474
2023-02-14 09:00:00,34.8,36.0,33.9,35.9,43271819.19801242,1503144987.3777966
2023-02-15 09:00:00,35.9,38.0,35.3,38.0,121311433.16827078,4461055091.707805
2023-02-16 09:00:00,38.0,38.7,36.5,37.0,193855518.7784766,7378882762.9720545
2023-02-17 09:00:00,36.8,38.5,36.6,38.5,110885116.93805051,4189469582.304096
2023-02-18 09:00:00,38.5,39.2,37.6,39.2,123839994.99301472,4764287701.980565
2023-02-19 09:00:00,39.1,40.2,38.5,39.3,242958425.7355903,9579465264.702738
2023-02-20 09:00:00,39.3,40.5,37.8,40.3,214549258.19749057,8464370179.153705
2023-02-21 09:00:00,40.3,41.5,38.5,39.4,295462163.12291443,11752524563.550669
2023-02-22 09:00:00,39.4,39.4,37.8,39.2,99381727.08066247,3826156143.838687
2023-02-23 09:00:00,39.2,39.4,38.1,38.9,61677597.7769584,2390358458.230944
2023-02-24 09:00:00,39.0,40.6,38.8,40.0,195511029.57464463,7715267318.775849
2023-02-25 09:00:00,40.1,40.1,38.0,39.0,86951698.5178143,3379134928.1396837
2023-02-26 09:00:00,39.1,39.7,38.7,39.6,69960429.48127756,2745018863.320797
2023-02-27 09:00:00,39.5,41.9,38.6,41.8,446019734.4589724,18093865646.184227
2023-02-28 09:00:00,41.9,41.9,39.3,40.0,169930035.30534038,6868990207.396201
2023-03-01 09:00:00,39.9,40.2,38.9,40.0,74598223.13777739,2959072447.1159053
2023-03-02 09:00:00,40.0,40.1,37.9,38.5,88603861.68595685,3429801417.523517
2023-03-03 09:00:00,38.4,38.6,35.2,35.8,78742311.33913259,2842591130.92365
2023-03-04 09:00:00,35.7,36.3,35.3,35.9,43950228.80963514,1576869890.0643291
2023-03-05 09:00:00,35.7,36.1,35.2,35.6,29755284.25254847,1062091224.6107696
2023-03-06 09:00:00,35.6,35.6,34.5,35.1,36440839.90797185,1274031049.547782
2023-03-07 09:00:00,35.2,36.0,33.9,34.4,74812702.61741029,2625973199.085764
2023-03-08 09:00:00,34.3,34.7,32.7,33.0,46367618.65568175,1560600814.0192556
2023-03-09 09:00:00,33.0,33.6,30.8,31.1,38254693.6193801,1238849639.5470366
2023-03-10 09:00:00,31.1,31.3,29.7,31.0,56344690.54677696,1708036653.008396
2023-03-11 09:00:00,31.0,31.7,30.1,31.5,34602713.76224554,1075637894.1692133
2023-03-12 09:00:00,31.3,32.8,30.3,32.6,45906660.13067724,1444683491.1227489
2023-03-13 09:00:00,32.6,34.5,31.9,34.3,70728982.81324743,2351811140.83503
2023-03-14 09:00:00,34.1,37.7,32.7,35.4,314537859.27179563,11156311538.423227
2023-03-15 09:00:00,35.4,37.3,34.1,34.5,199779327.61615202,7184005810.806889
2023-03-16 09:00:00,34.4,35.1,33.8,34.8,36190373.22448895,1250108118.2174382
2023-03-17 09:00:00,35.0,36.9,34.8,36.8,183270575.6505069,6629794909.500879
2023-03-18 09:00:00,36.8,37.7,35.9,35.9,84666796.80697677,3122690898.5951138
2023-03-19 09:00:00,35.9,37.7,35.9,37.2,59902316.0663763,2200909535.049081
2023-03-20 09:00:00,37.3,37.5,35.4,35.6,57099251.57168856,2088420525.266203
2023-03-21 09:00:00,35.6,38.8,34.4,38.1,548540227.895426,20274135609.695236
2023-03-22 09:00:00,38.1,38.2,34.9,35.6,127787660.22569585,4693571702.482049
2023-03-23 09:00:00,35.7,36.6,34.6,36.4,76991634.27313013,2730179603.3443923
2023-03-24 09:00:00,36.4,36.4,35.2,35.4,31869275.92937949,1141742171.3350449
2023-03-25 09:00:00,35.5,35.9,35.0,35.1,25932377.86798131,916731748.1420076
2023-03-26 09:00:00,35.1,35.6,35.0,35.2,17743174.73732181,625412214.0486624
2023-03-27 09:00:00,35.2,36.6,34.4,35.8,231063322.6667167,8240378187.285196
2023-03-28 09:00:00,35.9,36.0,34.3,35.8,66644542.32878738,2331612472.2463717
2023-03-29 09:00:00,35.8,37.4,35.4,37.0,162753625.26965487,5953476037.777377
2023-03-30 09:00:00,36.9,37.0,35.9,36.5,82413845.23320194,2995200248.16726
2023-03-31 09:00:00,36.5,39.9,35.6,38.1,443315917.14490145,17023342955.17329
2023-04-01 09:00:00,38.2,44.4,37.8,39.0,1650848346.5841472,68498876270.61347
2023-04-02 09:00:00,39.1,39.1,36.9,37.4,146975455.27548063,5567330684.31551
2023-04-03 09:00:00,37.4,37.4,36.0,36.6,78065408.08869107,2855035935.0862036
2023-04-04 09:00:00,36.6,38.3,36.0,37.6,66471181.32639831,2459281378.6286592
2023-04-05 09:00:00,37.6,38.6,37.1,38.3,85134125.11115074,3230209330.222869
2023-04-06 09:00:00,38.4,40.0,37.6,38.1,198810385.81120405,7635790909.6270895
2023-04-07 09:00:00,38.0,38.6,36.8,37.1,69481126.89686105,2615995786.4543767
2023-04-08 09:00:00,37.1,38.4,37.0,37.8,103289066.32086374,3908995623.0362697
2023-04-09 09:00:00,37.8,37.8,36.5,37.1,41734370.97077528,1546510400.8270495
2023-04-10 09:00:00,37.2,39.3,36.8,37.6,178116196.3196634,6738105793.004589
2023-04-11 09:00:00,37.6,40.9,37.6,39.0,712205850.6997721,28128622247.869045
2023-04-12 09:00:00,39.0,39.8,36.9,37.7,179322975.29975325,6842128490.723863
2023-04-13 09:00:00,37.7,38.0,37.3,37.8,43128610.75676771,1625247401.2822928
2023-04-14 09:00:00,37.7,38.6,37.7,38.2,75364436.72451816,2868980601.751791
2023-04-15 09:00:00,38.2,38.2,37.7,38.1,32542070.44667155,1234346960.741727
2023-04-16 09:00:00,38.0,38.3,37.8,38.2,32446794.56737946,1233210337.0484915
2023-04-17 09:00:00,38.2,38.2,37.2,37.6,45842403.4735742,1728422140.3341503
2023-04-18 09:00:00,37.5,38.2,37.1,38.2,39892351.26136361,1507514938.2866719
2023-04-19 09:00:00,38.2,38.6,36.2,36.2,75397470.0426856,2830774688.4140015
2023-04-20 09:00:00,36.4,37.2,36.1,36.4,38627430.58672789,1408889275.6085577
2023-04-21 09:00:00,36.6,37.8,36.2,36.5,66627733.39734653,2465399612.826358
2023-04-22 09:00:00,36.4,36.9,35.7,36.9,23792786.15141322,860115694.1714472
2023-04-23 09:00:00,36.8,37.1,36.1,36.4,12414299.90254329,454897208.0392652
2023-04-24 09:00:00,36.3,36.5,35.1,35.7,16359543.04976835,585010364.6528549
2023-04-25 09:00:00,35.7,36.2,34.5,36.1,26813964.01214874,944650379.3712693
2023-04-26 09:00:00,36.1,36.8,35.2,36.0,26893065.30115886,973453778.3802764
