,open,high,low,close,volume,value
2023-01-05 09:00:00,17.8,18.5,17.5,17.8,65953683.79398403,1179109909.682864
2023-01-06 09:00:00,17.7,17.9,17.1,17.7,33613777.21404403,585758832.7980711
2023-01-07 09:00:00,17.7,17.8,17.4,17.7,21236764.45012847,372948442.43869764
2023-01-08 09:00:00,17.6,18.1,17.5,18.1,23399365.74055828,415532902.5818347
2023-01-09 09:00:00,18.1,18.7,17.9,18.5,80271164.14850387,1466491241.7463424
2023-01-10 09:00:00,18.5,19.5,18.2,18.9,181187126.0632606,3406350395.5435596
2023-01-11 09:00:00,18.9,19.3,18.6,19.3,71819184.2313172,1355924846.9057531
2023-01-12 09:00:00,19.3,19.5,18.7,19.4,98528873.57280771,1882527549.5204506
2023-01-13 09:00:00,19.3,19.9,19.1,19.8,100606411.59132203,1960046653.5583236
2023-01-14 09:00:00,19.8,20.9,19.4,20.5,213374297.58212018,4300421857.14844
2023-01-15 09:00:00,20.4,22.5,20.2,21.6,535461200.7387217,11449952794.279736
2023-01-16 09:00:00,21.7,21.7,20.5,21.4,146010151.17344052,3089776828.204795
2023-01-17 09:00:00,21.3,24.0,20.9,23.8,1187123712.5936844,26951644294.863632
2023-01-18 09:00:00,23.8,23.8,20.8,21.2,301560294.2123234,6710331744.608521
2023-01-19 09:00:00,21.2,21.7,20.9,21.7,91095355.72685242,1947807284.013696
2023-01-20 09:00:00,21.6,22.7,21.3,22.6,155001846.39992338,3399114600.2147837
2023-01-21 09:00:00,22.6,23.2,22.1,22.7,184894269.52087188,4178244818.734843
2023-01-22 09:00:00,22.7,22.9,22.3,22.8,88256078.66638403,1992221546.8726344
2023-01-23 09:00:00,22.7,23.8,22.5,23.8,89658018.06147902,2056002532.379936
2023-01-24 09:00:00,23.8,26.6,22.1,22.7,727060703.1485927,17828396192.987946
2023-01-25 09:00:00,22.7,27.4,21.9,23.6,965307244.4012127,23422259368.54
2023-01-26 09:00:00,23.5,24.0,23.0,24.0,153299671.6609335,3572016722.084811
2023-01-27 09:00:00,24.0,26.8,23.2,24.6,372083010.6052782,9086509829.110506
2023-01-28 09:00:00,24.7,24.7,23.4,23.9,140289377.04859132,3386721539.298405
2023-01-29 09:00:00,24.7,26.2,23.6,24.6,365864906.0687965,8984468087.005604
2023-01-30 09:00:00,24.5,25.1,22.1,22.6,304674112.0113731,7150640117.234075
2023-01-31 09:00:00,22.5,23.1,21.6,22.8,132819576.78672013,2950892732.7485037
2023-02-01 09:00:00,22.8,23.3,21.1,23.2,156307802.23979247,3478087498.021706
2023-02-02 09:00:00,23.2,24.3,22.7,23.9,247673659.31899485,5859125176.193007
2023-02-03 09:00:00,23.9,27.4,23.6,26.4,746944754.2938896,18854968669.93209
2023-02-04 09:00:00,26.4,26.8,25.2,26.5,272153576.6751762,7005248610.906574
2023-02-05 09:00:00,26.5,34.4,24.1,26.7,4493545107.437679,134217236618.53288
2023-02-06 09:00:00,26.7,27.5,25.3,26.6,296336974.38407797,7703353665.708078
2023-02-07 09:00:00,26.5,30.0,25.8,27.1,474374554.5529487,12955000196.515345
2023-02-08 09:00:00,26.8,28.3,26.5,28.0,342834390.1255555,9402765595.008228
2023-02-09 09:00:00,27.9,27.9,25.7,26.3,195520575.42678735,5218706255.135952
2023-02-10 09:00:00,26.3,26.8,25.2,26.6,89161917.74220863,2311605081.762091
2023-02-11 09:00:00,26.3,26.7,25.9,26.7,42775417.97128437,1119833188.1291008
2023-02-12 09:00:00,26.6,26.6,25.9,26.4,64112853.86648342,1675348352.4520662
2023-02-13 09:00:00,26.2,26.2,24.0,25.2,98721680.2107392,2472466234.72245
2023-02-14 09:00:00,25.3,25.7,23.8,25.6,92647161.3004245,2288410982.464773
2023-02-15 09:00:00,25.5,28.2,25.0,28.0,200015812.9596046,5299696076.891624
2023-02-16 09:00:00,27.9,29.6,27.4,27.9,467535217.6190758,13413742032.386797
2023-02-17 09:00:00,27.9,29.3,27.4,29.2,175524298.07792413,4972238697.658017
2023-02-18 09:00:00,29.2,29.2,28.0,28.9,130859279.30028129,3752989880.0991783
2023-02-19 09:00:00,28.8,28.8,27.8,28.6,99598358.0109959,2823606746.4148393
2023-02-20 09:00:00,28.5,29.8,27.7,29.7,301157744.2345515,8753821668.084236
2023-02-21 09:00:00,29.6,29.6,28.3,29.3,239327629.20278534,6942140043.599506
2023-02-22 09:00:00,29.2,29.4,27.9,28.9,123309662.56062274,3499382975.007412
2023-02-23 09:00:00,28.9,29.4,28.1,29.2,91586556.19255434,2625553544.6180944
2023-02-24 09:00:00,29.3,33.5,29.2,32.2,870566362.900589,26880908030.6709
2023-02-25 09:00:00,32.2,32.3,29.0,30.3,292103131.10612315,8802877280.268183
2023-02-26 09:00:00,30.3,30.3,29.2,30.1,97379133.976701,2887405405.529763
2023-02-27 09:00:00,29.8,29.9,28.8,29.5,100166518.35130124,2936328400.7172403
2023-02-28 09:00:00,29.6,35.7,29.5,30.2,3876000333.9846673,126906798272.68951
2023-03-01 09:00:00,30.4,30.4,28.7,29.3,450205769.945652,13153586307.262833
2023-03-02 09:00:00,29.2,29.3,27.2,27.9,252692993.28655776,7081543428.650615
2023-03-03 09:00:00,27.9,28.0,25.5,25.9,142835767.42160475,3738563905.6523767
2023-03-04 09:00:00,25.9,26.8,25.7,26.2,83032026.21695627,2178575999.184011
2023-03-05 09:00:00,26.3,26.8,25.7,26.1,61433524.58697751,1603734358.7249908
2023-03-06 09:00:00,26.0,26.1,24.6,25.4,81689647.66807285,2059708720.0419157
2023-03-07 09:00:00,25.4,25.7,24.5,24.9,65392063.23171651,1644772145.4713352
2023-03-08 09:00:00,24.9,25.1,23.7,23.8,63321808.32984625,1536509119.2472336
2023-03-09 09:00:00,23.7,24.5,22.0,22.4,109523708.65203881,2560514513.6557584
2023-03-10 09:00:00,22.4,22.9,21.1,22.7,101055467.88407516,2216751555.746018
2023-03-11 09:00:00,22.6,23.3,21.4,22.5,65120789.29941452,1457954566.4607458
2023-03-12 09:00:00,22.5,23.5,21.5,23.5,54933267.44279627,1224566815.1723664
2023-03-13 09:00:00,23.5,25.4,22.7,25.2,155510845.6198719,3724983384.7789073
2023-03-14 09:00:00,25.1,26.4,24.1,25.9,229621933.4487676,5837750281.970512
2023-03-15 09:00:00,25.9,26.2,24.3,25.2,125785453.78494509,3220931057.8915777
2023-03-16 09:00:00,25.2,25.8,24.3,25.7,66077183.97635348,1657625410.9518752
2023-03-17 09:00:00,25.7,27.0,25.3,26.8,115069329.79455975,3001756171.2960787
2023-03-18 09:00:00,26.8,27.0,25.9,26.0,96153637.20939904,2552499513.61309
2023-03-19 09:00:00,26.1,27.0,25.6,26.8,69154713.09082198,1818367434.914152
2023-03-20 09:00:00,26.8,27.1,26.2,26.5,73322582.43237726,1954330513.7063437
2023-03-21 09:00:00,26.4,26.5,24.9,25.8,83121014.31835435,2128253751.8049233
2023-03-22 09:00:00,25.9,27.4,25.1,25.4,229078156.82839,6024192524.509617
2023-03-23 09:00:00,25.4,25.9,25.1,25.8,56377822.0354826,1433093271.7990723
2023-03-24 09:00:00,25.8,25.8,25.1,25.3,39536046.96646264,1006257374.0003268
2023-03-25 09:00:00,25.3,25.6,24.9,25.3,18391910.14813441,464262536.4819118
2023-03-26 09:00:00,25.3,25.4,25.1,25.3,20545429.1934435,519011749.4375473
2023-03-27 09:00:00,25.3,25.4,23.2,24.2,60929091.60860988,1475739480.9410272
2023-03-28 09:00:00,24.0,24.3,23.3,24.1,42248770.60528386,1004249955.3044931
2023-03-29 09:00:00,24.1,25.2,23.7,25.1,61375295.13414208,1503922003.7753623
2023-03-30 09:00:00,25.0,25.3,24.5,24.9,50527742.18477582,1257149496.715138
2023-03-31 09:00:00,24.9,25.5,24.2,25.5,49865935.77386552,1240021998.1118336
2023-04-01 09:00:00,25.5,26.2,25.2,26.0,79206349.56069496,2035468808.7948332
2023-04-02 09:00:00,26.0,26.5,25.1,25.2,80809186.03762808,2080763928.3689716
2023-04-03 09:00:00,25.3,25.6,24.5,25.2,51269930.05788124,1284325687.1893575
2023-04-04 09:00:00,25.3,25.8,24.9,25.5,78760211.73632191,2001711596.3686523
2023-04-05 09:00:00,25.5,28.7,25.3,28.6,536149889.1121982,14658240351.023449
2023-04-06 09:00:00,28.6,28.7,26.5,27.6,209345971.98050386,5695891484.52591
2023-04-07 09:00:00,27.7,31.5,26.3,26.8,519513848.45340514,14802734643.434372
2023-04-08 09:00:00,26.7,28.6,26.5,27.3,329597660.2415254,9079502627.038387
2023-04-09 09:00:00,27.3,27.3,26.0,26.6,99422531.52649364,2634878518.347326
2023-04-10 09:00:00,26.7,30.8,26.3,27.1,2465397978.192213,70696395899.66183
2023-04-11 09:00:00,27.1,27.2,26.6,26.8,187634245.40920487,5025011459.657638
2023-04-12 09:00:00,26.8,26.8,25.9,26.2,101770091.0802887,2677307856.3896127
2023-04-13 09:00:00,26.2,26.7,26.0,26.6,45372174.77118607,1191955081.895159
2023-04-14 09:00:00,26.5,26.9,26.3,26.8,97770995.73550628,2600227983.2027583
2023-04-15 09:00:00,26.9,28.4,26.7,27.4,260716213.9739688,7133461620.924454
2023-04-16 09:00:00,27.4,27.6,26.9,27.3,102162291.82697614,2777011888.360307
2023-04-17 09:00:00,27.2,27.2,26.3,26.8,85305085.64184637,2279459255.1033597
2023-04-18 09:00:00,26.8,28.6,26.4,27.0,286105390.29473287,7804033737.552593
2023-04-19 09:00:00,27.0,27.1,25.4,25.8,97118508.32630444,2547862292.5319176
2023-04-20 09:00:00,25.7,26.4,25.3,26.3,62896718.8620638,1626770400.5761857
