,open,high,low,close,volume,value
2023-02-07 09:00:00,285.0,306.0,279.0,295.0,134849179.06856507,39829090031.42001
2023-02-08 09:00:00,295.0,295.0,283.0,291.0,22736889.06921458,6584213773.367597
2023-02-09 09:00:00,291.0,309.0,266.0,275.0,103867614.24384579,30373564896.99636
2023-02-10 09:00:00,274.0,284.0,262.0,277.0,22958054.74675223,6263717171.691363
2023-02-11 09:00:00,277.0,280.0,270.0,278.0,7673902.75839013,2101819093.5749485
2023-02-12 09:00:00,277.0,305.0,277.0,288.0,118156132.19603986,34455665188.43412
2023-02-13 09:00:00,288.0,288.0,264.0,274.0,24099722.92150286,6588823693.790608
2023-02-14 09:00:00,274.0,281.0,260.0,280.0,16787024.06838041,4522359951.891421
2023-02-15 09:00:00,279.0,311.0,279.0,306.0,135985286.96486688,40297680909.06347
2023-02-16 09:00:00,305.0,309.0,292.0,296.0,49869482.04771916,15072335433.77484
2023-02-17 09:00:00,296.0,311.0,292.0,311.0,19961416.74228328,6006206621.100188
2023-02-18 09:00:00,311.0,324.0,304.0,311.0,55323461.35942233,17495831531.71304
2023-02-19 09:00:00,311.0,312.0,300.0,309.0,17577955.95798605,5374347691.707092
2023-02-20 09:00:00,308.0,320.0,301.0,319.0,24850270.43401368,7697186183.408224
2023-02-21 09:00:00,318.0,323.0,304.0,311.0,29870542.98671182,9343790108.863455
2023-02-22 09:00:00,312.0,322.0,293.0,319.0,24803293.78016791,7560390455.293094
2023-02-23 09:00:00,318.0,321.0,306.0,319.0,21370723.48447854,6706738261.882798
2023-02-24 09:00:00,318.0,344.0,313.0,334.0,55409086.3952228,18032450086.32198
2023-02-25 09:00:00,334.0,338.0,313.0,325.0,26658193.78338962,8616410379.726967
2023-02-26 09:00:00,326.0,326.0,317.0,323.0,10175969.05461268,3259864086.6767063
2023-02-27 09:00:00,322.0,323.0,313.0,320.0,14421836.00507545,4566525167.339058
2023-02-28 09:00:00,319.0,320.0,311.0,316.0,12393765.40732332,3899115029.194327
2023-03-01 09:00:00,315.0,338.0,307.0,317.0,37330709.17938731,11902223541.81255
2023-03-02 09:00:00,315.0,317.0,299.0,304.0,16408016.84199656,5019728149.131116
2023-03-03 09:00:00,305.0,305.0,278.0,285.0,13835132.19033719,3934170744.203951
2023-03-04 09:00:00,285.0,289.0,282.0,287.0,5255321.72324284,1499982033.2854185
2023-03-05 09:00:00,287.0,289.0,279.0,287.0,6470702.27463625,1841700575.709238
2023-03-06 09:00:00,286.0,287.0,272.0,280.0,7613747.12173587,2116004431.8989832
2023-03-07 09:00:00,279.0,281.0,263.0,271.0,10176641.85450483,2774644190.2094464
2023-03-08 09:00:00,271.0,271.0,251.0,252.0,7767658.5613758,2020325600.7519484
2023-03-09 09:00:00,252.0,258.0,234.0,237.0,10088972.49455595,2497113007.0388346
2023-03-10 09:00:00,238.0,240.0,224.0,240.0,8997547.12726856,2094426337.7843509
2023-03-11 09:00:00,240.0,246.0,231.0,242.0,4934757.432827,1177855213.2578948
2023-03-12 09:00:00,242.0,253.0,231.0,252.0,6084866.30418595,1472248774.6643476
2023-03-13 09:00:00,251.0,268.0,243.0,265.0,11166662.73253378,2851826058.239027
2023-03-14 09:00:00,264.0,279.0,258.0,276.0,14500947.27423111,3899518690.3242917
2023-03-15 09:00:00,276.0,278.0,262.0,267.0,8807850.0807278,2390339943.3340282
2023-03-16 09:00:00,267.0,274.0,262.0,273.0,5187581.00704711,1391922828.634942
2023-03-17 09:00:00,273.0,287.0,270.0,287.0,10397710.02862576,2884605352.1628747
2023-03-18 09:00:00,287.0,298.0,282.0,285.0,20234259.86537222,5895181603.938012
2023-03-19 09:00:00,285.0,292.0,281.0,290.0,7350516.47136208,2102781817.6498744
2023-03-20 09:00:00,291.0,295.0,282.0,286.0,11525313.30490965,3336438206.003114
2023-03-21 09:00:00,287.0,293.0,268.0,281.0,8731972.21850333,2444152694.9209943
2023-03-22 09:00:00,280.0,281.0,268.0,271.0,5519543.83777578,1522572999.0616548
2023-03-23 09:00:00,270.0,278.0,267.0,277.0,3844939.42203712,1045860579.4633846
2023-03-24 09:00:00,276.0,278.0,271.0,274.0,3343593.24782808,917967348.251353
2023-03-25 09:00:00,272.0,275.0,270.0,270.0,2790943.8856466,761293321.5380785
2023-03-26 09:00:00,271.0,301.0,270.0,277.0,223241886.64397755,64306901068.710884
2023-03-27 09:00:00,278.0,278.0,254.0,261.0,24458924.04040881,6559605841.545673
2023-03-28 09:00:00,261.0,262.0,250.0,262.0,9489956.4626783,2425488717.226818
2023-03-29 09:00:00,262.0,271.0,258.0,269.0,17976865.74091411,4787077302.634109
2023-03-30 09:00:00,269.0,297.0,268.0,278.0,110907378.18165436,31554468407.972824
2023-03-31 09:00:00,278.0,283.0,265.0,282.0,24078481.36575865,6537989601.1119375
2023-04-01 09:00:00,282.0,290.0,279.0,286.0,15207254.27154503,4321066973.616798
2023-04-02 09:00:00,286.0,290.0,271.0,275.0,10223714.46751759,2864649481.1320376
2023-04-03 09:00:00,275.0,283.0,269.0,276.0,11471927.66688651,3162084039.9486675
2023-04-04 09:00:00,276.0,280.0,270.0,277.0,11108699.4132901,3059790098.91485
2023-04-05 09:00:00,276.0,297.0,274.0,294.0,23177076.54678772,6620134159.823901
2023-04-06 09:00:00,295.0,465.0,294.0,337.0,1810270473.4912622,711201217890.2634
2023-04-07 09:00:00,336.0,348.0,309.0,311.0,215442539.0390373,70259039952.28383
2023-04-08 09:00:00,311.0,311.0,291.0,294.0,44109788.28593338,13177999868.222315
2023-04-09 09:00:00,294.0,294.0,285.0,291.0,16479322.91169797,4778489568.366805
2023-04-10 09:00:00,291.0,298.0,283.0,295.0,18018301.47525623,5210982580.540354
2023-04-11 09:00:00,294.0,299.0,292.0,297.0,18043133.68107333,5329583963.146536
2023-04-12 09:00:00,297.0,297.0,281.0,287.0,25463523.01474428,7292274725.71124
2023-04-13 09:00:00,287.0,292.0,281.0,289.0,11747478.69949344,3363191668.058543
2023-04-14 09:00:00,289.0,304.0,287.0,296.0,73440357.30018194,21677226295.899166
2023-04-15 09:00:00,296.0,297.0,292.0,295.0,11646136.53514286,3419398544.816547
2023-04-16 09:00:00,295.0,319.0,292.0,309.0,165158099.16276067,50946634231.57031
2023-04-17 09:00:00,309.0,363.0,303.0,330.0,568832849.6234665,194536451405.71188
2023-04-18 09:00:00,330.0,351.0,316.0,327.0,271703987.09737563,90254477823.80705
2023-04-19 09:00:00,327.0,333.0,296.0,304.0,63434594.20780573,19971562406.42303
2023-04-20 09:00:00,304.0,307.0,292.0,300.0,48952255.91841884,14656441047.484968
2023-04-21 09:00:00,300.0,300.0,284.0,289.0,29805802.42617658,8722400650.941334
2023-04-22 09:00:00,289.0,317.0,286.0,298.0,74521597.57502647,22275060144.42564
2023-04-23 09:00:00,298.0,304.0,287.0,293.0,14539594.18676193,4283856854.43218
2023-04-24 09:00:00,293.0,293.0,280.0,286.0,12693540.70440349,3629927021.7081947
2023-04-25 09:00:00,286.0,291.0,276.0,290.0,13311513.79179046,3740382531.5661745
2023-04-26 09:00:00,290.0,294.0,278.0,284.0,13835169.71189142,3978228527.7381353
2023-04-27 09:00:00,284.0,286.0,276.0,285.0,11647628.71922806,3281950451.31343
2023-04-28 09:00:00,285.0,286.0,280.0,286.0,6616441.38920761,1869418827.9431415
2023-04-29 09:00:00,287.0,288.0,283.0,287.0,4350204.36588695,1242844073.5710952
