,open,high,low,close,volume,value
2023-02-06 09:00:00,8.07,8.14,7.77,8.11,1085169049.1679256,8631006238.954672
2023-02-07 09:00:00,8.1,8.23,7.82,8.2,996681429.2516863,7930551307.101217
2023-02-08 09:00:00,8.2,10.1,8.17,8.91,13694332322.30216,127585452326.73715
2023-02-09 09:00:00,8.91,8.91,7.65,7.75,3370616965.064718,28126991158.20825
2023-02-10 09:00:00,7.75,7.78,7.4,7.72,1023151042.0740521,7776376664.83913
2023-02-11 09:00:00,7.72,7.98,7.65,7.92,449756532.423219,3511716446.283748
2023-02-12 09:00:00,7.94,8.7,7.77,7.9,3687497417.406158,29992908829.239433
2023-02-13 09:00:00,7.91,8.06,7.3,7.59,753907527.2185913,5777435940.475466
2023-02-14 09:00:00,7.58,7.8,7.25,7.75,1582714685.748143,11958727408.986927
2023-02-15 09:00:00,7.76,9.77,7.68,9.15,8453951232.209834,73857909527.03606
2023-02-16 09:00:00,9.15,10.5,9.08,9.27,11453017268.544445,111562566433.06033
2023-02-17 09:00:00,9.27,9.51,9.05,9.45,1294466023.6181302,12097311274.534323
2023-02-18 09:00:00,9.43,9.45,9.01,9.21,569296592.541962,5264068958.9518385
2023-02-19 09:00:00,9.2,9.23,8.77,9.05,592719766.7598025,5346198699.87817
2023-02-20 09:00:00,9.05,9.7,8.91,9.43,2850114174.1179338,26658907826.331715
2023-02-21 09:00:00,9.45,9.95,9.05,9.47,4279161647.414788,40672526716.8451
2023-02-22 09:00:00,9.47,9.48,8.86,9.37,1327301643.6640193,12180124480.176231
2023-02-23 09:00:00,9.37,9.37,9.03,9.2,598288755.7913706,5492744164.17393
2023-02-24 09:00:00,9.19,9.38,9.0,9.33,1159968720.5024924,10727127989.147503
2023-02-25 09:00:00,9.33,9.33,8.77,9.05,617406677.9023983,5593304977.132107
2023-02-26 09:00:00,9.04,9.73,9.02,9.59,3064936933.711716,28913313095.962627
2023-02-27 09:00:00,9.59,9.61,9.11,9.29,843267754.0065558,7827338868.579886
2023-02-28 09:00:00,9.27,9.32,9.01,9.08,406249356.9386499,3716358054.612407
2023-03-01 09:00:00,9.08,9.26,9.02,9.25,564352063.6325111,5172207618.572516
2023-03-02 09:00:00,9.25,9.26,8.72,8.96,531760247.5832281,4753261099.152239
2023-03-03 09:00:00,8.93,8.97,8.0,8.24,768231126.8163527,6357582392.821067
2023-03-04 09:00:00,8.25,8.37,8.03,8.13,299639559.802465,2468729330.1047173
2023-03-05 09:00:00,8.13,8.56,8.08,8.23,1227316458.232858,10244619888.482473
2023-03-06 09:00:00,8.25,8.25,7.83,7.97,502319394.984082,4011884667.8153787
2023-03-07 09:00:00,7.97,8.54,7.77,8.02,2471063880.3965898,20296972325.514545
2023-03-08 09:00:00,8.03,8.36,7.8,7.86,1284013575.7284822,10446895698.906961
2023-03-09 09:00:00,7.87,8.06,6.98,7.18,810192543.1565362,6034155487.764478
2023-03-10 09:00:00,7.16,7.18,6.74,7.13,813439806.6363122,5676932859.532134
2023-03-11 09:00:00,7.15,7.35,6.79,7.1,540650164.5316184,3858813884.3731585
2023-03-12 09:00:00,7.08,7.41,6.65,7.41,459140053.55609345,3225588105.3947744
2023-03-13 09:00:00,7.4,8.05,7.06,7.89,743685586.3699859,5605053777.285196
2023-03-14 09:00:00,7.89,8.34,7.56,8.14,718506303.2521613,5734256096.876054
2023-03-15 09:00:00,8.14,8.38,7.63,7.76,949538511.483864,7742351161.539779
2023-03-16 09:00:00,7.75,7.92,7.66,7.9,241832858.11610845,1882291351.4296577
2023-03-17 09:00:00,7.91,8.43,7.81,8.42,452720167.8472333,3663349894.539438
2023-03-18 09:00:00,8.42,8.5,8.03,8.11,469131184.35879034,3880479427.6677327
2023-03-19 09:00:00,8.09,8.38,8.0,8.3,348771147.50556374,2848099607.580004
2023-03-20 09:00:00,8.3,8.43,8.0,8.04,459385571.5906403,3775997358.255018
2023-03-21 09:00:00,8.05,8.11,7.59,8.0,426052342.06660426,3363798503.769674
2023-03-22 09:00:00,8.0,8.0,7.33,7.49,781094834.6261905,5964720290.121486
2023-03-23 09:00:00,7.49,7.68,7.34,7.67,403372714.65823084,3019255471.4582233
2023-03-24 09:00:00,7.68,7.69,7.41,7.5,318230523.6658957,2398180490.659221
2023-03-25 09:00:00,7.48,7.55,7.34,7.42,227287172.8340403,1689637382.3035903
2023-03-26 09:00:00,7.42,7.58,7.39,7.49,212698373.56887376,1592136978.8627088
2023-03-27 09:00:00,7.52,7.6,6.91,7.08,543429868.7896631,3924575070.0783696
2023-03-28 09:00:00,7.08,7.12,6.86,7.1,274659515.04321027,1914845075.3726275
2023-03-29 09:00:00,7.09,7.54,7.09,7.48,349114944.2639791,2563527008.8410597
2023-03-30 09:00:00,7.49,7.58,7.26,7.37,363854361.2376166,2696214754.5087585
2023-03-31 09:00:00,7.4,7.57,7.1,7.49,737538453.4364476,5395950588.533394
2023-04-01 09:00:00,7.48,8.02,7.46,7.81,2324066221.9310904,18092133965.844856
2023-04-02 09:00:00,7.8,7.86,7.36,7.52,545657061.08915,4157527448.2862544
2023-04-03 09:00:00,7.52,7.54,7.26,7.46,436888830.3688833,3234037831.1340203
2023-04-04 09:00:00,7.46,7.74,7.36,7.68,489860590.7090855,3693744525.0624795
2023-04-05 09:00:00,7.67,8.36,7.61,8.27,1628404281.2194662,13055905706.716927
2023-04-06 09:00:00,8.28,9.77,7.87,8.08,6681901397.695693,58368108757.964264
2023-04-07 09:00:00,8.1,8.18,7.72,7.91,582899599.8718575,4615633205.053025
2023-04-08 09:00:00,7.9,8.04,7.83,7.95,599568082.9017626,4768207248.384055
2023-04-09 09:00:00,7.95,7.96,7.65,7.84,308775307.7649864,2409577132.004417
2023-04-10 09:00:00,7.82,8.01,7.62,7.96,361770344.676913,2808442015.068027
2023-04-11 09:00:00,7.96,8.16,7.87,7.96,497315077.5411645,3981124432.340199
2023-04-12 09:00:00,7.96,7.99,7.7,7.89,491764385.3050517,3855865637.6768327
2023-04-13 09:00:00,7.89,7.97,7.75,7.94,249490375.75528148,1960639567.3249776
2023-04-14 09:00:00,7.94,8.1,7.81,7.99,439366935.9186269,3503161774.103424
2023-04-15 09:00:00,7.99,8.05,7.84,8.0,212187651.93350786,1684996977.871742
2023-04-16 09:00:00,8.0,8.16,7.86,8.1,282995723.1959709,2260414788.1961727
2023-04-17 09:00:00,8.08,8.12,7.76,7.83,419247756.7428375,3311203488.5309668
2023-04-18 09:00:00,7.83,7.95,7.71,7.9,311800876.4117925,2445847097.4748974
2023-04-19 09:00:00,7.9,7.92,7.19,7.31,638178886.8273371,4784151807.498959
2023-04-20 09:00:00,7.3,7.49,7.17,7.36,534339750.0233382,3922914474.076489
2023-04-21 09:00:00,7.34,7.65,7.12,7.24,1086546179.9466653,8100835846.076606
2023-04-22 09:00:00,7.23,7.37,7.13,7.35,316115626.6797486,2288373312.079721
2023-04-23 09:00:00,7.35,7.45,7.19,7.24,201673378.16677183,1477029365.4578855
2023-04-24 09:00:00,7.24,7.55,7.03,7.3,1304615439.2616866,9565879386.225136
2023-04-25 09:00:00,7.31,7.52,6.97,7.45,1253487909.2479234,9094788375.17443
2023-04-26 09:00:00,7.46,8.12,7.31,7.5,5784967834.120279,45126128912.35507
2023-04-27 09:00:00,7.49,7.82,7.25,7.41,1413713009.4014275,10638659823.433737
