,open,high,low,close,volume,value
2023-01-05 09:00:00,332.0,336.0,323.0,329.0,7435588.64514359,2452260957.3763194
2023-01-06 09:00:00,329.0,332.0,316.0,328.0,7540408.440538,2434189713.4039207
2023-01-07 09:00:00,329.0,337.0,326.0,330.0,6142656.91813409,2031829419.2493598
2023-01-08 09:00:00,331.0,346.0,326.0,343.0,10756746.94829538,3604340406.2474666
2023-01-09 09:00:00,344.0,364.0,340.0,351.0,26339690.83801245,9288665918.89672
2023-01-10 09:00:00,351.0,358.0,341.0,357.0,14964349.17526198,5244785141.31848
2023-01-11 09:00:00,357.0,367.0,349.0,366.0,21112790.71985438,7532858928.970962
2023-01-12 09:00:00,366.0,375.0,344.0,374.0,26343716.81125542,9542380964.126518
2023-01-13 09:00:00,373.0,394.0,367.0,394.0,26616029.14514843,10081861013.311705
2023-01-14 09:00:00,394.0,429.0,373.0,421.0,60732263.07465124,24562810406.508465
2023-01-15 09:00:00,420.0,436.0,402.0,429.0,50796834.11286715,21098097569.695465
2023-01-16 09:00:00,429.0,441.0,405.0,425.0,36940017.79849119,15620376407.688639
2023-01-17 09:00:00,426.0,429.0,411.0,423.0,21452797.27265061,9023299352.843052
2023-01-18 09:00:00,424.0,458.0,386.0,397.0,92693242.05378667,39777430259.1964
2023-01-19 09:00:00,396.0,430.0,396.0,419.0,47378366.16025741,19649837552.024826
2023-01-20 09:00:00,418.0,445.0,411.0,441.0,22719829.71091556,9608071650.147861
2023-01-21 09:00:00,441.0,455.0,430.0,437.0,30664950.34732146,13608175495.113647
2023-01-22 09:00:00,436.0,472.0,433.0,455.0,29776742.15988931,13370483257.208998
2023-01-23 09:00:00,456.0,469.0,448.0,462.0,34116000.59967232,15706932549.149292
2023-01-24 09:00:00,462.0,511.0,425.0,435.0,91629235.88384181,43523360310.29913
2023-01-25 09:00:00,435.0,452.0,413.0,448.0,35875906.57020502,15533403119.792213
2023-01-26 09:00:00,448.0,465.0,444.0,462.0,30107468.45631756,13657984312.438782
2023-01-27 09:00:00,462.0,521.0,451.0,518.0,172354192.17203268,83672505822.1459
2023-01-28 09:00:00,520.0,528.0,484.0,495.0,41753603.92404319,20817221671.610302
2023-01-29 09:00:00,495.0,496.0,484.0,495.0,14625347.71952671,7146122146.131813
2023-01-30 09:00:00,495.0,495.0,436.0,448.0,31894752.08729591,14731691523.119083
2023-01-31 09:00:00,448.0,457.0,438.0,453.0,14697591.76439145,6563951310.684134
2023-02-01 09:00:00,453.0,491.0,438.0,486.0,43945598.92959146,20300874070.42683
2023-02-02 09:00:00,486.0,545.0,486.0,496.0,77566383.57739136,40159646919.171814
2023-02-03 09:00:00,496.0,509.0,487.0,507.0,26922447.56965494,13351870808.682125
2023-02-04 09:00:00,509.0,539.0,505.0,528.0,60749916.72530312,31716177242.260574
2023-02-05 09:00:00,528.0,564.0,486.0,557.0,87671662.282484,46540686290.567444
2023-02-06 09:00:00,561.0,563.0,523.0,549.0,44044772.80195505,23852215904.51814
2023-02-07 09:00:00,549.0,580.0,525.0,578.0,42888331.49111518,23586414136.53184
2023-02-08 09:00:00,578.0,667.0,545.0,562.0,203503458.46716794,125723795937.20839
2023-02-09 09:00:00,562.0,610.0,495.0,505.0,115416255.13039716,65274374481.11228
2023-02-10 09:00:00,504.0,509.0,486.0,504.0,24669258.04835857,12290315635.983397
2023-02-11 09:00:00,504.0,514.0,498.0,513.0,8517129.01716241,4287335164.5428486
2023-02-12 09:00:00,513.0,543.0,505.0,516.0,57772986.26939019,30401301028.50266
2023-02-13 09:00:00,516.0,517.0,473.0,496.0,22909084.40018117,11305472944.615782
2023-02-14 09:00:00,496.0,510.0,475.0,510.0,14235143.57917673,6979150048.751423
2023-02-15 09:00:00,510.0,543.0,500.0,541.0,20736723.33451783,10765069468.615332
2023-02-16 09:00:00,541.0,558.0,509.0,513.0,33277699.79771332,17993394074.919445
2023-02-17 09:00:00,513.0,609.0,511.0,579.0,152038436.20875692,86703372797.93706
2023-02-18 09:00:00,579.0,583.0,554.0,562.0,26361361.75222244,14999944225.058174
2023-02-19 09:00:00,562.0,600.0,554.0,573.0,49732006.85514803,28885424802.812767
2023-02-20 09:00:00,573.0,683.0,572.0,620.0,342252226.65556675,220315397756.39398
2023-02-21 09:00:00,620.0,642.0,584.0,604.0,63973710.32643368,38859156460.18366
2023-02-22 09:00:00,604.0,608.0,569.0,596.0,28287912.15556065,16601175662.322088
2023-02-23 09:00:00,598.0,636.0,595.0,621.0,70989410.0600062,43867911591.80102
2023-02-24 09:00:00,621.0,622.0,585.0,594.0,32141691.14500865,19398379006.059586
2023-02-25 09:00:00,594.0,596.0,566.0,587.0,17038350.22522866,9921813357.052141
2023-02-26 09:00:00,587.0,596.0,576.0,596.0,8702920.2019676,5091682271.989239
2023-02-27 09:00:00,596.0,597.0,572.0,587.0,13583395.23547508,7965868762.413219
2023-02-28 09:00:00,586.0,588.0,570.0,572.0,8583662.33047707,4968807981.004295
2023-03-01 09:00:00,571.0,586.0,564.0,583.0,11944458.58783124,6910021727.911581
2023-03-02 09:00:00,583.0,586.0,549.0,563.0,13086146.22664919,7353708491.755575
2023-03-03 09:00:00,562.0,563.0,507.0,519.0,16532471.01662352,8613194201.42709
2023-03-04 09:00:00,519.0,524.0,494.0,506.0,7945455.69946641,4086609130.4820485
2023-03-05 09:00:00,505.0,515.0,497.0,500.0,5153683.83630532,2606740289.036468
2023-03-06 09:00:00,500.0,509.0,485.0,502.0,9183663.42566695,4562832521.426213
2023-03-07 09:00:00,502.0,509.0,475.0,487.0,9385912.79383639,4622773411.521729
2023-03-08 09:00:00,487.0,488.0,448.0,451.0,14518865.28541866,6763667271.938345
2023-03-09 09:00:00,451.0,473.0,416.0,423.0,14620075.58310844,6531150727.733173
2023-03-10 09:00:00,423.0,426.0,390.0,416.0,18364926.66282767,7478025467.882649
2023-03-11 09:00:00,417.0,427.0,393.0,411.0,11276467.55442783,4611419376.52203
2023-03-12 09:00:00,411.0,443.0,396.0,440.0,11023188.15937369,4570634119.89347
2023-03-13 09:00:00,440.0,469.0,423.0,468.0,22242843.2739185,9876009674.954515
2023-03-14 09:00:00,469.0,498.0,454.0,486.0,31765903.07793169,15144139970.591537
2023-03-15 09:00:00,486.0,494.0,450.0,458.0,15555948.23947619,7391805809.4000225
2023-03-16 09:00:00,458.0,467.0,449.0,465.0,10121624.50940401,4646430979.472589
2023-03-17 09:00:00,465.0,499.0,459.0,498.0,15317017.70086408,7320599538.452479
2023-03-18 09:00:00,498.0,511.0,484.0,487.0,19877348.98476488,9918257351.057909
2023-03-19 09:00:00,486.0,537.0,486.0,524.0,85940626.83516987,44269781471.09617
2023-03-20 09:00:00,524.0,525.0,496.0,499.0,22663506.1481798,11574495237.586468
2023-03-21 09:00:00,498.0,502.0,470.0,496.0,17477260.69454393,8497996705.761853
2023-03-22 09:00:00,496.0,496.0,461.0,473.0,12239316.21731705,5892987364.117296
2023-03-23 09:00:00,473.0,488.0,464.0,485.0,8688569.16128529,4134088899.341288
2023-03-24 09:00:00,486.0,486.0,465.0,473.0,7096247.61226469,3383589706.948675
2023-03-25 09:00:00,473.0,477.0,461.0,469.0,5841514.10961962,2747089304.763078
2023-03-26 09:00:00,469.0,482.0,464.0,473.0,7046968.48920807,3348386963.5699105
2023-03-27 09:00:00,474.0,475.0,439.0,448.0,9926193.53212954,4524928853.64681
