,open,high,low,close,volume,value
2023-02-06 09:00:00,56.6,57.1,55.1,56.4,59272780.45639258,3312905484.5138474
2023-02-07 09:00:00,56.5,61.7,56.3,58.1,463391842.5859922,27086836180.750477
2023-02-08 09:00:00,58.1,58.5,56.5,58.4,73121656.45135477,4208955268.9992127
2023-02-09 09:00:00,58.4,64.7,54.9,55.8,712371626.7057966,42622250388.39138
2023-02-10 09:00:00,55.9,56.4,53.4,55.4,93282449.6236571,5122118216.556846
2023-02-11 09:00:00,55.4,55.5,54.4,55.5,30551106.26227214,1678333354.1840417
2023-02-12 09:00:00,55.5,58.3,54.4,54.9,145617277.9853704,8211203356.0163355
2023-02-13 09:00:00,55.2,59.7,53.9,55.9,599410907.1426796,34007247602.486732
2023-02-14 09:00:00,55.8,56.8,52.7,56.8,130593180.27388825,7121696353.973091
2023-02-15 09:00:00,56.7,61.5,55.4,61.4,124849474.78261293,7277982021.573609
2023-02-16 09:00:00,61.4,65.7,58.2,59.5,291873799.74703306,18274765520.845737
2023-02-17 09:00:00,59.5,63.1,58.6,63.0,147841875.73000228,9114188099.739017
2023-02-18 09:00:00,63.0,63.4,60.9,63.0,70812689.27393414,4406850487.29062
2023-02-19 09:00:00,62.8,63.0,61.2,62.5,43688857.35582637,2709982803.429549
2023-02-20 09:00:00,62.5,66.4,60.6,66.3,178891987.21334124,11382939660.393932
2023-02-21 09:00:00,66.3,67.7,62.7,64.8,201593616.10382727,13038931943.931326
2023-02-22 09:00:00,65.0,65.2,62.0,64.9,100585987.13283959,6393427493.628625
2023-02-23 09:00:00,64.8,65.3,62.7,65.2,54593050.95372063,3493889397.0098596
2023-02-24 09:00:00,65.2,74.7,64.4,67.5,648090514.9161865,44703900576.890594
2023-02-25 09:00:00,67.5,71.5,63.7,65.9,212374619.99903914,14309514749.821018
2023-02-26 09:00:00,66.1,80.9,65.9,69.9,2436071139.2340713,180837152772.2196
2023-02-27 09:00:00,70.0,72.3,65.9,66.7,407376625.37015116,27666888326.491016
2023-02-28 09:00:00,66.6,67.5,64.5,64.8,116828526.11864264,7665762398.934045
2023-03-01 09:00:00,64.8,65.5,63.5,64.7,61951343.17467633,3991719358.152096
2023-03-02 09:00:00,64.7,65.7,62.0,64.6,130547459.94264427,8346364562.70892
2023-03-03 09:00:00,64.6,64.6,59.0,61.4,64628633.97220156,3934454945.802766
2023-03-04 09:00:00,61.3,62.8,60.9,61.8,24615832.74879201,1521309550.227617
2023-03-05 09:00:00,61.6,64.4,61.1,62.9,104211963.30224581,6565292687.560297
2023-03-06 09:00:00,62.9,63.0,58.5,61.7,32130204.38769548,1961185084.8292952
2023-03-07 09:00:00,61.7,62.9,58.7,60.6,59701548.31880299,3655165314.766127
2023-03-08 09:00:00,60.3,61.5,55.8,56.1,38884244.48566792,2280253962.3305783
2023-03-09 09:00:00,56.1,56.8,52.0,53.0,39497883.06345776,2164836491.731795
2023-03-10 09:00:00,53.0,57.5,50.2,55.3,192709467.89719608,10529543761.113
2023-03-11 09:00:00,55.5,56.1,51.1,54.1,36512928.15912108,1973181802.7258248
2023-03-12 09:00:00,54.1,56.0,51.3,56.0,25982025.2110052,1393645229.2769027
2023-03-13 09:00:00,55.9,62.6,54.5,61.1,281973735.3362278,16589495606.305153
2023-03-14 09:00:00,61.1,71.7,60.3,66.1,870593780.6122342,57556104401.87701
2023-03-15 09:00:00,66.1,66.7,62.4,62.6,94072093.51905088,6104292307.7678995
2023-03-16 09:00:00,62.6,67.9,62.4,66.7,206770595.42638764,13655612876.16235
2023-03-17 09:00:00,66.8,68.7,64.8,68.7,103651639.10961942,6903239125.294363
2023-03-18 09:00:00,68.7,68.7,65.4,65.5,74621126.3644847,5003669202.189646
2023-03-19 09:00:00,65.6,66.2,62.8,65.6,66433160.62378156,4288031195.850781
2023-03-20 09:00:00,65.6,67.2,64.0,64.4,72601418.02087238,4773032563.426037
2023-03-21 09:00:00,64.4,64.9,60.4,63.9,36336180.35796422,2280570605.1729336
2023-03-22 09:00:00,64.0,64.6,61.2,62.6,23324998.00312124,1469981563.7521563
2023-03-23 09:00:00,62.6,66.8,61.7,66.5,157997029.97537693,10230959730.999752
2023-03-24 09:00:00,66.5,69.8,64.2,64.7,211803853.23664966,14354106360.06501
2023-03-25 09:00:00,64.7,65.5,63.1,65.2,37070555.70715115,2370424499.413123
2023-03-26 09:00:00,65.2,68.4,63.9,64.8,162007010.9387253,10677796094.63544
2023-03-27 09:00:00,64.8,64.8,60.5,61.6,48643468.81156488,3043148629.8610854
2023-03-28 09:00:00,61.5,61.7,58.5,61.7,34386943.63320508,2072217445.1182728
2023-03-29 09:00:00,61.7,64.4,60.9,63.9,34090705.56377022,2140394944.6566508
2023-03-30 09:00:00,63.8,64.2,61.7,62.8,26625107.65123898,1677974641.5394087
2023-03-31 09:00:00,62.8,66.6,62.2,66.4,106177372.0317582,6821940475.957412
2023-04-01 09:00:00,66.5,68.4,65.3,68.3,55713681.65976138,3716288093.708174
2023-04-02 09:00:00,68.2,68.5,63.5,64.5,42488985.15337947,2807204758.209857
2023-04-03 09:00:00,64.7,64.8,62.5,63.2,30917438.84769329,1962852329.5129707
2023-04-04 09:00:00,63.2,68.5,62.9,68.0,82827177.40166977,5428325312.471609
2023-04-05 09:00:00,68.0,72.0,66.3,71.0,78155742.29233754,5379753187.886075
2023-04-06 09:00:00,71.0,88.8,68.2,69.9,2405647805.7738075,187799989363.4265
2023-04-07 09:00:00,69.9,70.3,65.4,65.9,140627806.3310348,9388034774.232073
2023-04-08 09:00:00,66.0,72.0,65.7,66.5,494745889.9410683,33790080856.186462
2023-04-09 09:00:00,66.6,66.8,63.2,64.1,68098644.47257712,4385273181.5257225
2023-04-10 09:00:00,64.1,78.4,63.7,67.3,1984842319.1670122,141280204005.818
2023-04-11 09:00:00,67.2,80.7,66.6,74.4,2674184232.877848,201562712466.12878
2023-04-12 09:00:00,74.3,81.3,69.5,71.0,1273584508.5540295,97721864424.63171
2023-04-13 09:00:00,71.0,71.0,66.8,69.5,168335699.2673293,11472896360.924423
2023-04-14 09:00:00,69.4,70.1,68.0,70.0,124584934.24421991,8556003200.609801
2023-04-15 09:00:00,70.0,75.8,69.3,72.1,622547222.6007262,45579699202.57369
2023-04-16 09:00:00,72.1,72.1,70.4,71.2,82067781.39321847,5824610900.593658
2023-04-17 09:00:00,71.2,71.3,68.8,69.6,62877696.96807908,4385885107.939584
2023-04-18 09:00:00,69.6,71.7,69.3,71.1,135698014.97040546,9569431644.720047
2023-04-19 09:00:00,71.1,71.2,67.6,67.9,62374782.54217932,4316760395.686735
2023-04-20 09:00:00,68.5,69.8,67.4,68.4,65703083.54286812,4490140601.722435
2023-04-21 09:00:00,68.4,69.0,63.9,65.8,80827857.03223316,5443037907.770238
2023-04-22 09:00:00,65.8,67.6,63.7,67.4,36618587.86129033,2398228449.847303
