,open,high,low,close,volume,value
2023-02-07 09:00:00,755.0,760.0,722.0,757.0,14804940.93961795,10953993340.629766
2023-02-08 09:00:00,757.0,763.0,738.0,761.0,13823717.45648951,10410051468.027512
2023-02-09 09:00:00,761.0,826.0,717.0,725.0,48465142.36047147,37196155985.63775
2023-02-10 09:00:00,724.0,766.0,696.0,740.0,29835563.11554067,21955052670.415344
2023-02-11 09:00:00,740.0,740.0,723.0,738.0,4668243.99483945,3411587000.8731737
2023-02-12 09:00:00,738.0,745.0,724.0,727.0,8222625.99704836,6043035369.95319
2023-02-13 09:00:00,727.0,728.0,671.0,700.0,7258701.82356866,5063701721.988586
2023-02-14 09:00:00,700.0,719.0,670.0,716.0,6143774.48517708,4248723055.4496136
2023-02-15 09:00:00,716.0,792.0,713.0,774.0,59183900.78882921,44692790212.64927
2023-02-16 09:00:00,773.0,790.0,745.0,751.0,23860897.20069331,18383148563.212612
2023-02-17 09:00:00,750.0,788.0,745.0,788.0,10943626.62517677,8422457990.919845
2023-02-18 09:00:00,787.0,824.0,772.0,813.0,31952143.76115421,25638891102.637905
2023-02-19 09:00:00,813.0,825.0,788.0,815.0,14132582.92966393,11347722418.520987
2023-02-20 09:00:00,814.0,838.0,790.0,836.0,18905003.54835951,15391995361.4682
2023-02-21 09:00:00,836.0,883.0,791.0,820.0,44105334.93463058,36827572738.05722
2023-02-22 09:00:00,819.0,891.0,773.0,835.0,60883280.31927916,50701267898.25894
2023-02-23 09:00:00,834.0,835.0,799.0,826.0,16406848.97087916,13412129410.57197
2023-02-24 09:00:00,825.0,877.0,804.0,853.0,34806859.88607244,29239463443.259552
2023-02-25 09:00:00,852.0,857.0,793.0,827.0,13202112.43064084,10915854211.304237
2023-02-26 09:00:00,826.0,835.0,806.0,830.0,5249388.24436444,4291397678.381534
2023-02-27 09:00:00,829.0,829.0,797.0,815.0,7220581.40258449,5870150787.165674
2023-02-28 09:00:00,814.0,837.0,802.0,815.0,12251624.65030422,10012723432.175167
2023-03-01 09:00:00,815.0,824.0,801.0,820.0,7199462.20805712,5859069259.830011
2023-03-02 09:00:00,819.0,820.0,770.0,786.0,9129302.64980437,7208145505.879877
2023-03-03 09:00:00,785.0,788.0,708.0,728.0,10711769.88252694,7847560834.723585
2023-03-04 09:00:00,726.0,739.0,708.0,721.0,4633663.0477969,3380166504.2141137
2023-03-05 09:00:00,721.0,727.0,706.0,719.0,3578096.75991394,2567426652.6843576
2023-03-06 09:00:00,718.0,719.0,675.0,704.0,4409619.11912316,3072005619.7898746
2023-03-07 09:00:00,703.0,708.0,670.0,688.0,4681514.84909682,3236189977.9816175
2023-03-08 09:00:00,686.0,720.0,652.0,656.0,11352907.19831903,7790803154.393305
2023-03-09 09:00:00,656.0,671.0,604.0,623.0,6729527.01208503,4328536496.6428585
2023-03-10 09:00:00,623.0,628.0,592.0,626.0,6980257.71362161,4253104732.0900207
2023-03-11 09:00:00,623.0,645.0,600.0,623.0,4327196.11882909,2684169956.9360423
2023-03-12 09:00:00,624.0,652.0,597.0,649.0,9711646.3154888,6086393498.571721
2023-03-13 09:00:00,649.0,693.0,627.0,688.0,8359180.16343204,5505069561.458278
2023-03-14 09:00:00,688.0,722.0,669.0,715.0,10839186.69422795,7565429065.468574
2023-03-15 09:00:00,716.0,721.0,671.0,686.0,8591523.18541483,6034533079.634571
2023-03-16 09:00:00,685.0,736.0,681.0,733.0,17867976.1798837,12746317218.280594
2023-03-17 09:00:00,733.0,759.0,712.0,759.0,11822786.26092062,8674268681.625517
2023-03-18 09:00:00,760.0,762.0,724.0,733.0,9115593.12784369,6807640151.941151
2023-03-19 09:00:00,733.0,755.0,713.0,749.0,5990959.84027052,4376823867.517243
2023-03-20 09:00:00,747.0,766.0,731.0,762.0,10646857.07289104,7974816337.593905
2023-03-21 09:00:00,759.0,806.0,696.0,747.0,17547508.93487992,13123612002.739557
2023-03-22 09:00:00,747.0,775.0,710.0,721.0,27801220.34815613,20720576221.39753
2023-03-23 09:00:00,720.0,732.0,703.0,728.0,4894663.66142379,3506235099.981295
2023-03-24 09:00:00,727.0,757.0,727.0,734.0,18782162.11314849,13941968036.20426
2023-03-25 09:00:00,735.0,800.0,731.0,753.0,60809734.11471884,46701663784.780975
2023-03-26 09:00:00,753.0,753.0,717.0,729.0,10008139.66308667,7261173202.809983
2023-03-27 09:00:00,729.0,792.0,700.0,718.0,85120521.00017664,64794802693.96097
2023-03-28 09:00:00,718.0,718.0,672.0,703.0,14021259.15970855,9655391955.822586
2023-03-29 09:00:00,702.0,725.0,694.0,722.0,12846346.80868354,9127579404.28501
2023-03-30 09:00:00,721.0,1030.0,721.0,870.0,733085473.7870831,671968048864.7844
2023-03-31 09:00:00,870.0,954.0,782.0,879.0,318151201.9072924,274474404468.28754
2023-04-01 09:00:00,880.0,925.0,805.0,825.0,79523452.15626034,68357217187.059135
2023-04-02 09:00:00,825.0,825.0,763.0,777.0,24968314.67516557,19620779512.543545
2023-04-03 09:00:00,778.0,779.0,741.0,757.0,16371466.81709285,12366507244.791805
2023-04-04 09:00:00,757.0,900.0,755.0,829.0,190003750.71893054,157721443892.5573
2023-04-05 09:00:00,829.0,932.0,797.0,830.0,145204866.94745615,125498283821.9076
2023-04-06 09:00:00,832.0,833.0,776.0,796.0,24456790.39431962,19423633378.07541
2023-04-07 09:00:00,795.0,818.0,767.0,798.0,17180853.78486889,13596334792.63129
2023-04-08 09:00:00,799.0,799.0,774.0,782.0,6374083.58971929,5006841213.915928
2023-04-09 09:00:00,782.0,803.0,766.0,800.0,6388904.20635513,4986246090.616401
2023-04-10 09:00:00,799.0,800.0,772.0,794.0,8991357.85605258,7073749734.347087
2023-04-11 09:00:00,794.0,794.0,782.0,789.0,5589930.24294559,4404145650.66104
2023-04-12 09:00:00,788.0,793.0,767.0,776.0,6098100.84680475,4740396644.697401
2023-04-13 09:00:00,776.0,789.0,768.0,780.0,3963172.96416033,3079318440.7662735
2023-04-14 09:00:00,779.0,793.0,773.0,784.0,6242099.18110983,4885998949.169659
2023-04-15 09:00:00,783.0,822.0,778.0,804.0,32088180.4897193,25814440441.64564
2023-04-16 09:00:00,804.0,804.0,791.0,798.0,6354258.74594986,5060613756.082174
2023-04-17 09:00:00,798.0,798.0,779.0,783.0,6360161.710075,4998811499.778663
2023-04-18 09:00:00,782.0,810.0,780.0,799.0,14315537.6549396,11393773676.122128
2023-04-19 09:00:00,799.0,807.0,754.0,756.0,9099025.71550165,7127981001.069655
2023-04-20 09:00:00,756.0,781.0,745.0,769.0,8144628.10428436,6219326475.136558
2023-04-21 09:00:00,769.0,803.0,746.0,760.0,12844215.1917243,9935958855.998652
2023-04-22 09:00:00,760.0,769.0,747.0,768.0,3754589.88333319,2836634363.3952785
2023-04-23 09:00:00,765.0,767.0,743.0,748.0,2811271.45950036,2121047966.5881126
2023-04-24 09:00:00,748.0,770.0,714.0,736.0,9249304.90617751,6905529454.356691
2023-04-25 09:00:00,735.0,745.0,713.0,742.0,3719289.33444595,2695677958.478884
2023-04-26 09:00:00,742.0,757.0,729.0,741.0,4556481.47736759,3385898386.5426545
2023-04-27 09:00:00,742.0,747.0,731.0,747.0,2433962.6245599,1795403534.4958029
2023-04-28 09:00:00,746.0,748.0,733.0,740.0,1839455.41913124,1357205706.0230036
2023-04-29 09:00:00,739.0,764.0,736.0,747.0,5709971.34006241,4278514253.101864
2023-04-30 09:00:00,746.0,746.0,735.0,742.0,2145082.61060721,1588813530.2215643
2023-05-01 09:00:00,741.0,804.0,715.0,719.0,93245871.2573027,72029896539.23018
2023-05-02 09:00:00,720.0,752.0,694.0,709.0,24077472.74818517,17268212311.179214
2023-05-03 09:00:00,709.0,730.0,683.0,703.0,14439868.74830991,10189873253.811659
2023-05-04 09:00:00,703.0,704.0,687.0,698.0,4736952.74441292,3298191812.4814763
2023-05-05 09:00:00,697.0,708.0,694.0,704.0,3287374.70414549,2303639017.942039
2023-05-06 09:00:00,703.0,721.0,690.0,697.0,8738208.72533219,6158928138.943118
2023-05-07 09:00:00,696.0,698.0,681.0,689.0,4315358.91308338,2969105096.648321
2023-05-08 09:00:00,687.0,687.0,638.0,647.0,5737804.80145893,3822445880.2355146
2023-05-09 09:00:00,647.0,678.0,641.0,661.0,9485257.58166397,6275959686.407047
2023-05-10 09:00:00,660.0,674.0,652.0,664.0,3436806.34266293,2273724129.1501765
2023-05-11 09:00:00,664.0,666.0,641.0,644.0,3282109.15818159,2141832023.214533
2023-05-12 09:00:00,644.0,657.0,618.0,647.0,4853181.23902859,3092266109.79777
2023-05-13 09:00:00,647.0,675.0,643.0,659.0,12634547.16074034,8336138478.990768
2023-05-14 09:00:00,659.0,660.0,644.0,652.0,2699811.02152879,1754074794.9007533
2023-05-15 09:00:00,652.0,659.0,640.0,653.0,2570443.57357005,1670160093.9030507
2023-05-16 09:00:00,653.0,667.0,647.0,654.0,4315387.81617183,2825697878.206364
2023-05-17 09:00:00,653.0,693.0,647.0,658.0,26436895.4475354,17810720960.8037
2023-05-18 09:00:00,657.0,661.0,652.0,657.0,2389798.0301543,1568017822.8291218
2023-05-19 09:00:00,656.0,658.0,650.0,658.0,1811750.45357213,1185073055.2619476
2023-05-20 09:00:00,658.0,661.0,652.0,656.0,1137002.45489182,744465052.1510955
2023-05-21 09:00:00,656.0,656.0,634.0,636.0,2162963.36852122,1402451252.6935976
2023-05-22 09:00:00,635.0,640.0,618.0,636.0,3038619.35202339,1905650318.8960552
2023-05-23 09:00:00,636.0,641.0,627.0,636.0,1316932.45737548,837723252.968394
2023-05-24 09:00:00,636.0,638.0,605.0,614.0,1992012.47667772,1236403905.459789
