,open,high,low,close,volume,value
2023-01-05 09:00:00,283.0,289.0,275.0,278.0,14905466.56134307,4194187643.336727
2023-01-06 09:00:00,279.0,280.0,268.0,278.0,8171333.96922373,2233266663.3198314
2023-01-07 09:00:00,277.0,281.0,276.0,279.0,5318512.02819466,1480510265.1136236
2023-01-08 09:00:00,279.0,288.0,275.0,287.0,6531886.92516869,1830728412.8881269
2023-01-09 09:00:00,287.0,301.0,284.0,291.0,23199322.65279514,6755933373.98282
2023-01-10 09:00:00,291.0,303.0,286.0,298.0,20647373.33802596,6058871643.9719715
2023-01-11 09:00:00,298.0,303.0,291.0,300.0,19300031.48851293,5703659033.85194
2023-01-12 09:00:00,300.0,311.0,295.0,308.0,33208892.31346897,10011318328.627634
2023-01-13 09:00:00,309.0,321.0,304.0,318.0,25307466.55228555,7874619418.281648
2023-01-14 09:00:00,318.0,343.0,306.0,333.0,66987677.45787263,21792322908.378597
2023-01-15 09:00:00,331.0,345.0,322.0,338.0,57676511.94556198,19118213955.127663
2023-01-16 09:00:00,338.0,352.0,321.0,345.0,76423038.36716497,26050933678.460567
2023-01-17 09:00:00,346.0,346.0,333.0,336.0,31603292.28315219,10673124905.82501
2023-01-18 09:00:00,336.0,342.0,309.0,312.0,42220259.81274571,13830921288.352034
2023-01-19 09:00:00,311.0,325.0,310.0,324.0,19963071.2137999,6350791857.838945
2023-01-20 09:00:00,323.0,342.0,317.0,341.0,22908328.27429508,7484330403.592812
2023-01-21 09:00:00,341.0,348.0,334.0,340.0,30137937.73452566,10273869500.809645
2023-01-22 09:00:00,339.0,353.0,338.0,348.0,30114283.64540254,10373458715.984903
2023-01-23 09:00:00,348.0,369.0,348.0,361.0,53633494.70883948,19109159761.862698
2023-01-24 09:00:00,361.0,392.0,334.0,346.0,90557907.2739766,33413128268.360943
2023-01-25 09:00:00,346.0,356.0,331.0,353.0,32999907.5865581,11326408573.832676
2023-01-26 09:00:00,353.0,360.0,346.0,357.0,22415683.9726842,7918783298.567055
2023-01-27 09:00:00,357.0,379.0,344.0,371.0,47873466.23689061,17286717311.308918
2023-01-28 09:00:00,371.0,374.0,355.0,364.0,22392815.82353633,8188890629.202888
2023-01-29 09:00:00,364.0,369.0,359.0,369.0,14530421.11660348,5284721383.397587
2023-01-30 09:00:00,368.0,372.0,329.0,339.0,35612962.71462698,12454792094.449993
2023-01-31 09:00:00,339.0,356.0,328.0,347.0,21251114.30915609,7207459946.546808
2023-02-01 09:00:00,348.0,359.0,333.0,357.0,22785387.96745706,7876441497.375078
2023-02-02 09:00:00,357.0,371.0,356.0,358.0,24096637.34134565,8743964811.13284
2023-02-03 09:00:00,357.0,388.0,357.0,380.0,83637050.30857693,31459798744.03314
2023-02-04 09:00:00,381.0,388.0,375.0,385.0,24912374.04744192,9507976361.546732
2023-02-05 09:00:00,385.0,395.0,359.0,378.0,50069422.53736943,18981868457.506866
2023-02-06 09:00:00,378.0,394.0,367.0,378.0,34404783.85659331,13022244184.035643
2023-02-07 09:00:00,379.0,397.0,375.0,396.0,39470826.77568597,15174011347.157701
2023-02-08 09:00:00,396.0,411.0,381.0,404.0,41328628.80889576,16548044750.327484
2023-02-09 09:00:00,404.0,404.0,365.0,368.0,43334823.27239883,16552643773.915632
2023-02-10 09:00:00,368.0,371.0,355.0,368.0,17275339.21794389,6292914981.924038
2023-02-11 09:00:00,369.0,378.0,363.0,377.0,6361942.58679873,2354674009.1876755
2023-02-12 09:00:00,377.0,415.0,365.0,385.0,80427102.06967205,31798232157.328598
2023-02-13 09:00:00,384.0,427.0,371.0,391.0,170773228.7229112,67743378150.59044
2023-02-14 09:00:00,391.0,399.0,369.0,396.0,48692651.51222115,18577462593.68166
2023-02-15 09:00:00,396.0,449.0,387.0,439.0,128850787.97565626,54039556062.92806
2023-02-16 09:00:00,439.0,454.0,411.0,414.0,54904814.27251156,23991303726.234882
2023-02-17 09:00:00,414.0,431.0,411.0,429.0,19643870.24232672,8296286056.78298
2023-02-18 09:00:00,429.0,488.0,424.0,486.0,69389321.18495451,31790243497.76452
2023-02-19 09:00:00,485.0,737.0,472.0,736.0,535299481.0086823,313880347828.18256
2023-02-20 09:00:00,736.0,865.0,673.0,785.0,828156041.9460888,643345650570.8772
2023-02-21 09:00:00,788.0,992.0,751.0,842.0,582032472.4259268,516227430104.72705
2023-02-22 09:00:00,842.0,1095.0,826.0,968.0,515483884.59237325,489162749431.30536
2023-02-23 09:00:00,966.0,1160.0,961.0,1070.0,310683752.9248479,335580563591.797
2023-02-24 09:00:00,1070.0,1130.0,917.0,970.0,151734294.57172552,154570928034.50778
2023-02-25 09:00:00,970.0,1045.0,860.0,1025.0,135428274.02708146,127256782746.2332
2023-02-26 09:00:00,1025.0,1060.0,968.0,1035.0,88428450.05526768,89090182871.11414
2023-02-27 09:00:00,1040.0,1300.0,1000.0,1210.0,321134607.18723994,388716810202.70667
2023-02-28 09:00:00,1215.0,1270.0,1120.0,1190.0,134006363.05233634,159655443086.4486
2023-03-01 09:00:00,1190.0,1370.0,1170.0,1300.0,185204731.65973425,238961928504.3235
2023-03-02 09:00:00,1300.0,1360.0,1185.0,1230.0,120162182.74453633,150593733822.95602
2023-03-03 09:00:00,1225.0,1230.0,1080.0,1130.0,95415344.59900273,107492638560.45776
2023-03-04 09:00:00,1130.0,1150.0,967.0,994.0,82146434.43741573,86211365022.93819
2023-03-05 09:00:00,994.0,1070.0,945.0,1005.0,134001518.77176894,133634489846.5277
2023-03-06 09:00:00,1010.0,1065.0,970.0,1015.0,86286524.01695944,87425003483.17125
2023-03-07 09:00:00,1015.0,1025.0,891.0,922.0,103241499.25117393,97986667783.60814
2023-03-08 09:00:00,922.0,941.0,814.0,837.0,101813153.94899397,87991755328.96175
2023-03-09 09:00:00,837.0,886.0,756.0,781.0,212661203.32154894,176738839607.4713
2023-03-10 09:00:00,782.0,831.0,715.0,820.0,198536673.70307967,152319172985.0296
2023-03-11 09:00:00,819.0,853.0,768.0,826.0,159022292.19501343,128478860327.16705
2023-03-12 09:00:00,825.0,997.0,762.0,991.0,167308610.94463688,142255503246.50128
2023-03-13 09:00:00,991.0,1110.0,936.0,1050.0,355910451.0892658,357386701060.17786
2023-03-14 09:00:00,1050.0,1335.0,1005.0,1270.0,355944678.5799278,414003054802.0604
2023-03-15 09:00:00,1275.0,1430.0,1105.0,1180.0,406501591.20644945,531961735326.4994
2023-03-16 09:00:00,1180.0,1255.0,1140.0,1215.0,164338181.24834126,197484079349.85913
2023-03-17 09:00:00,1210.0,1575.0,1200.0,1550.0,295258394.82058,414375200227.3925
2023-03-18 09:00:00,1550.0,1710.0,1470.0,1520.0,251950113.42406616,403397877469.4887
2023-03-19 09:00:00,1520.0,1645.0,1430.0,1505.0,181177849.2496034,279691990971.2596
2023-03-20 09:00:00,1505.0,1725.0,1435.0,1555.0,228835395.784128,365009844507.1859
2023-03-21 09:00:00,1550.0,1635.0,1455.0,1485.0,180505150.98565945,282514624871.7848
2023-03-22 09:00:00,1485.0,1645.0,1405.0,1525.0,226244265.7266413,343513607019.4786
2023-03-23 09:00:00,1525.0,1585.0,1485.0,1540.0,128719363.04058735,197202598835.96603
2023-03-24 09:00:00,1545.0,1560.0,1335.0,1395.0,99684802.23114581,145678101928.01248
2023-03-25 09:00:00,1395.0,1410.0,1230.0,1260.0,95872157.07366613,125025883762.12335
2023-03-26 09:00:00,1260.0,1370.0,1220.0,1330.0,121433504.72802629,158555156319.0072
2023-03-27 09:00:00,1335.0,1365.0,1190.0,1220.0,92698838.71132462,116840111380.4718
2023-03-28 09:00:00,1220.0,1275.0,1140.0,1260.0,107154974.88606198,127697224928.34059
2023-03-29 09:00:00,1255.0,1395.0,1230.0,1300.0,154838777.6438651,203760180228.56595
2023-03-30 09:00:00,1295.0,1375.0,1205.0,1230.0,97753103.53242409,125383879972.0952
2023-03-31 09:00:00,1230.0,1250.0,1175.0,1225.0,51913643.72948873,62779505419.53244
2023-04-01 09:00:00,1225.0,1230.0,1170.0,1185.0,27885893.33284272,33370174289.241722
2023-04-02 09:00:00,1185.0,1245.0,1140.0,1155.0,49779961.21384134,58911203978.100655
2023-04-03 09:00:00,1155.0,1235.0,1130.0,1160.0,77917989.81290767,92537523516.04915
2023-04-04 09:00:00,1160.0,1180.0,1130.0,1155.0,34618586.98184652,39830763837.85938
2023-04-05 09:00:00,1155.0,1200.0,1130.0,1135.0,37125997.15994616,43169422936.267525
2023-04-06 09:00:00,1140.0,1140.0,1065.0,1090.0,27867781.7504859,30511777663.824696
2023-04-07 09:00:00,1090.0,1110.0,1030.0,1060.0,18508711.13692905,19743115681.05419
2023-04-08 09:00:00,1060.0,1085.0,1045.0,1065.0,12124308.02381298,12969214402.513836
2023-04-09 09:00:00,1065.0,1175.0,1040.0,1160.0,47219286.48494963,52556330540.347664
2023-04-10 09:00:00,1155.0,1235.0,1090.0,1205.0,71387811.9720891,82691850238.47699
2023-04-11 09:00:00,1205.0,1335.0,1190.0,1275.0,100519342.02897131,126360817108.46149
2023-04-12 09:00:00,1275.0,1290.0,1175.0,1185.0,89070410.5039326,110231127946.23792
2023-04-13 09:00:00,1190.0,1205.0,1140.0,1165.0,42007546.55983931,49014866024.13051
2023-04-14 09:00:00,1160.0,1195.0,1130.0,1160.0,49390213.61033988,57436877513.4612
2023-04-15 09:00:00,1165.0,1165.0,1135.0,1150.0,18245526.48318961,20896700074.051067
2023-04-16 09:00:00,1150.0,1160.0,1125.0,1140.0,15600448.29631079,17749832126.858624
