,open,high,low,close,volume,value
2023-01-05 09:00:00,266.0,270.0,262.0,268.0,5104393.42781984,1362112061.8690064
2023-01-06 09:00:00,269.0,270.0,257.0,267.0,5944151.19910371,1565641859.8179343
2023-01-07 09:00:00,266.0,271.0,266.0,268.0,2686103.92785987,719766019.7410007
2023-01-08 09:00:00,268.0,276.0,264.0,275.0,3057978.12119438,821574623.8023541
2023-01-09 09:00:00,275.0,287.0,272.0,281.0,7629718.88604182,2134252609.0699563
2023-01-10 09:00:00,281.0,317.0,276.0,293.0,53073313.32158975,15967574056.461613
2023-01-11 09:00:00,293.0,295.0,282.0,294.0,10140552.16652281,2919619599.5802546
2023-01-12 09:00:00,294.0,301.0,285.0,299.0,11064887.28023883,3242072944.0338717
2023-01-13 09:00:00,299.0,311.0,295.0,308.0,11752983.04090137,3560587818.1205616
2023-01-14 09:00:00,309.0,334.0,301.0,322.0,26151466.25054586,8333168549.680431
2023-01-15 09:00:00,322.0,329.0,309.0,328.0,24967755.449103,8010384824.16711
2023-01-16 09:00:00,328.0,333.0,309.0,326.0,20777557.66526072,6725096338.52199
2023-01-17 09:00:00,326.0,329.0,316.0,326.0,14674363.80244038,4755687281.223776
2023-01-18 09:00:00,326.0,352.0,309.0,311.0,107128902.56615975,35975343939.570114
2023-01-19 09:00:00,311.0,326.0,310.0,320.0,18523722.8412668,5883361440.120996
2023-01-20 09:00:00,320.0,341.0,314.0,340.0,14938179.48462737,4827719875.346657
2023-01-21 09:00:00,341.0,352.0,334.0,338.0,22936796.88662768,7892773779.64441
2023-01-22 09:00:00,337.0,352.0,337.0,345.0,15322598.66844505,5272444921.107079
2023-01-23 09:00:00,344.0,361.0,343.0,359.0,23835347.0864971,8412220467.854708
2023-01-24 09:00:00,359.0,415.0,343.0,350.0,119241101.30739158,45052083127.47578
2023-01-25 09:00:00,350.0,363.0,338.0,358.0,23677954.00453548,8249548463.07422
2023-01-26 09:00:00,358.0,396.0,357.0,367.0,66317571.73871483,24835009540.38275
2023-01-27 09:00:00,368.0,378.0,356.0,378.0,21618479.11914953,7967713155.869328
2023-01-28 09:00:00,378.0,379.0,360.0,368.0,11419765.09706819,4227570575.073295
2023-01-29 09:00:00,368.0,375.0,362.0,374.0,8654191.71538272,3192425941.244608
2023-01-30 09:00:00,374.0,375.0,338.0,345.0,14158477.59635882,5032194129.526905
2023-01-31 09:00:00,345.0,359.0,340.0,352.0,11909358.00584907,4168698298.020619
2023-02-01 09:00:00,352.0,367.0,336.0,364.0,16598367.73239746,5816100600.998388
2023-02-02 09:00:00,364.0,389.0,363.0,373.0,35274439.84521643,13329904606.98225
2023-02-03 09:00:00,373.0,390.0,367.0,390.0,16653465.58049348,6284331706.573201
2023-02-04 09:00:00,390.0,405.0,387.0,402.0,16894963.93118704,6677847276.135709
2023-02-05 09:00:00,402.0,415.0,364.0,387.0,38798321.35981641,15329150330.054617
2023-02-06 09:00:00,386.0,402.0,380.0,395.0,25928507.67338612,10224630728.380035
2023-02-07 09:00:00,394.0,411.0,385.0,408.0,16304781.6901591,6495051660.340066
