,open,high,low,close,volume,value
2023-01-05 09:00:00,20.9,22.0,20.6,20.9,146491818.99929765,3104135036.4714274
2023-01-06 09:00:00,20.9,21.2,19.9,20.8,62720039.7394216,1279817140.3884876
2023-01-07 09:00:00,20.8,20.9,20.6,20.7,28522681.21548887,590765473.5115088
2023-01-08 09:00:00,20.8,21.4,20.6,21.3,49347203.79279077,1032437259.7789288
2023-01-09 09:00:00,21.3,22.3,21.1,21.7,98768818.7636501,2143084669.9963198
2023-01-10 09:00:00,21.7,26.7,21.7,23.1,1459273665.0692396,34930707199.58471
2023-01-11 09:00:00,23.2,23.8,22.3,22.8,256695748.91792235,5883861667.368798
2023-01-12 09:00:00,22.9,23.6,21.6,23.5,194895717.97432923,4423226811.6918
2023-01-13 09:00:00,23.5,25.2,23.2,24.3,265433398.95926517,6372918762.914443
2023-01-14 09:00:00,24.3,27.8,23.6,26.0,750047929.2408717,19301219369.737198
2023-01-15 09:00:00,26.0,32.9,25.4,28.0,2988303025.8182926,88390305549.21878
2023-01-16 09:00:00,28.0,28.4,26.1,27.1,376947463.50509197,10231125268.195053
2023-01-17 09:00:00,27.2,33.3,27.1,28.3,2524391032.4599237,76927236854.1211
2023-01-18 09:00:00,28.3,28.3,25.0,25.6,304594945.58126605,8177934463.137177
2023-01-19 09:00:00,25.6,27.0,25.0,26.7,139340287.3913131,3604605958.4361067
2023-01-20 09:00:00,26.6,29.4,26.5,28.5,668964346.1031216,18758019906.290386
2023-01-21 09:00:00,28.6,34.2,28.5,28.8,1002067408.3044461,31157127754.109108
2023-01-22 09:00:00,28.8,31.0,28.4,29.9,394374815.9162644,11752714213.449244
2023-01-23 09:00:00,29.9,56.0,29.4,55.6,4973195304.716414,218520207418.70486
2023-01-24 09:00:00,55.6,80.1,51.8,62.7,21681568592.632122,1408045055329.5447
2023-01-25 09:00:00,62.6,69.5,58.7,64.6,8304701984.884548,527595794927.61584
2023-01-26 09:00:00,64.5,81.4,61.8,68.0,7718738821.612199,552942999952.613
2023-01-27 09:00:00,68.1,73.0,55.0,61.7,3840480442.7116685,253340290883.5022
2023-01-28 09:00:00,61.7,62.6,57.5,59.0,1252111372.4175177,75017811411.92896
