,open,high,low,close,volume,value
2023-02-06 09:00:00,73.4,74.0,70.1,72.0,199753888.3468455,14279868879.259375
2023-02-07 09:00:00,71.9,74.4,70.2,74.3,189641543.78501883,13632012629.665255
2023-02-08 09:00:00,74.3,75.9,70.7,73.1,162211815.04658866,11927555027.05899
2023-02-09 09:00:00,73.0,74.8,68.0,68.8,211496626.9569675,15084750948.80684
2023-02-10 09:00:00,68.9,69.3,66.4,69.0,95862759.98983549,6498144588.961987
2023-02-11 09:00:00,69.1,70.4,68.0,69.5,67197369.57744145,4643119987.842419
2023-02-12 09:00:00,69.5,69.5,67.7,67.8,47266798.09828876,3234586172.270582
2023-02-13 09:00:00,67.8,68.2,61.8,65.6,73343288.33369403,4760470756.982123
2023-02-14 09:00:00,65.6,67.2,62.8,67.2,76909407.35759225,4989381977.786341
2023-02-15 09:00:00,67.2,72.9,66.7,72.8,469511577.6001577,33094720185.121845
2023-02-16 09:00:00,72.9,78.2,70.1,71.2,621619366.1896071,46617357269.56582
2023-02-17 09:00:00,71.1,79.8,71.1,77.6,899008328.6027856,69061375165.55635
2023-02-18 09:00:00,77.6,77.6,74.4,75.8,146752345.8975746,11141854219.619377
2023-02-19 09:00:00,75.8,79.1,75.5,76.8,412668385.2512462,32001301502.259254
2023-02-20 09:00:00,76.9,79.4,75.4,79.1,199292564.1577212,15424469526.39066
2023-02-21 09:00:00,79.1,79.5,75.1,76.8,240649285.4863875,18556551411.116844
2023-02-22 09:00:00,76.8,76.8,72.7,75.6,130260130.8005734,9664194711.191214
2023-02-23 09:00:00,75.6,82.3,75.2,80.2,958128875.040952,76645367682.39264
2023-02-24 09:00:00,80.2,92.0,79.5,81.1,1971208655.0771132,170531760903.899
2023-02-25 09:00:00,81.1,88.3,77.1,83.1,967123368.2629533,80539209301.10329
2023-02-26 09:00:00,83.2,86.4,80.0,83.5,356969408.434991,29801493019.036285
2023-02-27 09:00:00,83.5,84.5,79.1,80.7,145007094.21933475,11755139261.704708
2023-02-28 09:00:00,80.7,83.7,79.8,79.8,291676867.1137207,23891948789.667057
2023-03-01 09:00:00,79.9,80.5,77.1,79.8,104114745.40724023,8222638014.956106
2023-03-02 09:00:00,79.8,82.0,74.9,76.8,164876194.2569963,12789312909.351057
2023-03-03 09:00:00,76.8,78.7,69.5,71.4,171314146.04694742,12425568067.089079
2023-03-04 09:00:00,71.4,72.9,69.4,70.7,51245869.7148834,3654716128.047014
2023-03-05 09:00:00,70.6,70.8,68.9,70.3,37330162.54328568,2612181005.944235
2023-03-06 09:00:00,70.4,71.1,66.4,68.4,72370819.37161073,4936675656.507424
2023-03-07 09:00:00,68.3,71.6,66.8,69.0,225790885.41808623,15694010904.351423
2023-03-08 09:00:00,69.0,72.0,67.0,68.5,290088654.7939667,20299854469.686806
2023-03-09 09:00:00,68.5,70.5,62.5,63.9,184628150.3586094,12493447110.7922
2023-03-10 09:00:00,64.1,64.1,59.6,63.8,142141867.8493101,8755002411.79222
2023-03-11 09:00:00,63.8,66.3,60.5,63.5,104909936.93778232,6708817195.445341
2023-03-12 09:00:00,63.5,66.5,60.0,66.2,74172139.65150718,4651296796.594311
2023-03-13 09:00:00,66.1,70.9,63.5,70.9,210634944.83684456,14153288641.270403
2023-03-14 09:00:00,70.9,78.7,69.9,76.3,862263271.5621921,64275615554.854195
2023-03-15 09:00:00,76.3,77.8,71.7,73.1,171831517.8958027,12953807824.306166
2023-03-16 09:00:00,73.1,75.1,72.2,74.9,66669184.30683014,4927730455.846738
2023-03-17 09:00:00,74.9,77.5,74.2,77.4,156470863.72341493,11834989813.040363
2023-03-18 09:00:00,77.5,77.5,74.0,74.7,121632546.81662627,9269250316.488848
2023-03-19 09:00:00,74.9,76.2,72.4,76.2,106038001.40918411,7892441524.902494
2023-03-20 09:00:00,76.3,76.3,72.4,72.6,82558994.82091,6127376304.992324
2023-03-21 09:00:00,72.7,74.9,68.2,72.1,128133536.39747965,9189932252.9667
2023-03-22 09:00:00,72.0,72.5,67.8,69.3,59527831.60235371,4190765438.425607
2023-03-23 09:00:00,69.3,71.6,68.8,71.4,68492284.45060088,4799877246.858388
2023-03-24 09:00:00,71.6,72.2,69.0,70.1,42947524.84012583,3033278674.3793015
2023-03-25 09:00:00,70.1,70.1,69.0,69.3,21397644.46133579,1486290932.7859304
2023-03-26 09:00:00,69.3,70.2,68.9,69.7,28624874.35223832,1989689470.080638
2023-03-27 09:00:00,69.8,69.8,64.7,65.7,76658937.21706666,5138264706.489078
2023-03-28 09:00:00,65.7,69.7,63.9,67.7,237267407.84387934,15901248856.769243
2023-03-29 09:00:00,67.7,72.3,67.2,72.1,99510187.33029681,6946536788.818299
2023-03-30 09:00:00,72.0,72.2,69.3,70.1,76204914.92251296,5377807671.388279
2023-03-31 09:00:00,70.1,71.4,67.5,71.0,71327730.51249813,4947664776.16359
2023-04-01 09:00:00,71.0,77.2,70.3,75.1,305568376.2614715,22836291708.91653
2023-04-02 09:00:00,75.2,75.2,70.6,71.6,93446783.38618568,6794629166.808742
2023-04-03 09:00:00,71.6,72.9,69.6,70.8,75608205.57895042,5374038362.169633
2023-04-04 09:00:00,71.1,81.5,70.6,74.6,1216636612.8950508,92449250584.97147
2023-04-05 09:00:00,74.7,80.6,72.8,77.5,637020313.3456819,49285854167.767654
2023-04-06 09:00:00,77.5,77.5,73.0,74.8,189530712.7332436,14144355989.363277
2023-04-07 09:00:00,74.8,74.8,72.4,73.0,82088790.50194196,6023980136.019114
2023-04-08 09:00:00,73.1,76.2,73.0,73.7,235302674.0139446,17605586927.863853
2023-04-09 09:00:00,73.7,73.8,70.3,72.1,80203064.801328,5774774652.641391
2023-04-10 09:00:00,72.2,74.3,71.1,73.5,128401187.56541708,9315369372.32289
2023-04-11 09:00:00,73.5,74.7,72.8,74.0,75272700.65686074,5537083223.773134
2023-04-12 09:00:00,74.1,74.8,71.4,72.3,74130818.08199555,5368501440.350838
2023-04-13 09:00:00,72.3,73.0,71.5,72.8,31285822.31765568,2261786760.222277
2023-04-14 09:00:00,72.8,73.9,72.1,73.3,60695778.15931052,4434129262.807459
2023-04-15 09:00:00,73.2,74.7,72.8,73.6,96372449.97568671,7104194090.979589
2023-04-16 09:00:00,73.6,73.8,72.7,73.7,30747461.4958137,2252516641.788326
2023-04-17 09:00:00,73.6,73.7,71.7,72.4,43349891.56800816,3140638587.755132
2023-04-18 09:00:00,72.5,75.8,71.7,75.1,123051321.19152118,9136959222.566547
2023-04-19 09:00:00,75.1,75.1,69.1,70.2,82020213.05007167,5916874237.074889
2023-04-20 09:00:00,70.0,71.3,68.6,70.1,53268162.01629721,3727737529.425575
2023-04-21 09:00:00,70.1,71.0,67.8,68.7,58298450.64928841,4055969289.6746
2023-04-22 09:00:00,68.6,70.1,67.5,70.1,28080551.2403865,1928252798.0934188
2023-04-23 09:00:00,70.0,70.1,67.8,68.5,21695054.74893524,1495275517.0710566
2023-04-24 09:00:00,68.4,68.8,65.5,66.9,40485303.59827036,2712371529.8117466
2023-04-25 09:00:00,66.9,67.7,63.1,67.5,60712877.04669911,3937147334.7522182
2023-04-26 09:00:00,67.4,69.8,65.5,66.7,133080680.96441382,9097235533.485537
2023-04-27 09:00:00,66.8,68.4,66.1,67.8,50360291.48309821,3381621748.558201
2023-04-28 09:00:00,67.8,67.9,66.2,67.1,30270858.59813204,2025254645.9200277
2023-04-29 09:00:00,67.1,68.1,66.5,67.2,21398176.20376658,1438523786.171296
2023-04-30 09:00:00,67.2,69.7,66.7,67.6,161622729.4178523,11040127012.9276
2023-05-01 09:00:00,67.6,68.1,64.6,65.0,45959001.10337768,3032655696.5771556
2023-05-02 09:00:00,65.0,65.2,63.5,64.6,21426808.29664264,1377128430.255275
2023-05-03 09:00:00,64.8,67.5,64.0,65.4,280143859.6621635,18429051669.626785
2023-05-04 09:00:00,65.5,70.0,65.3,66.4,416081127.09132016,28257516035.0701
2023-05-05 09:00:00,66.2,66.3,64.5,65.4,55279505.40262856,3601006854.1687446
2023-05-06 09:00:00,65.3,65.8,63.3,63.8,43057491.76428535,2783261783.2671413
2023-05-07 09:00:00,63.8,65.1,63.3,63.4,50689068.81006783,3252546786.959481
2023-05-08 09:00:00,63.4,63.5,58.3,59.2,53177450.68834828,3220215281.2250333
2023-05-09 09:00:00,59.2,60.4,58.5,59.6,25206225.10668882,1495118994.8959699
2023-05-10 09:00:00,59.6,62.7,59.2,60.5,151617781.27442327,9230075283.116058
2023-05-11 09:00:00,60.4,62.5,58.4,59.0,88148890.9736307,5389076244.184014
2023-05-12 09:00:00,58.8,59.1,56.0,59.0,35567509.31092792,2039235640.4361908
2023-05-13 09:00:00,59.0,60.8,58.3,58.8,38376960.02036374,2282118334.713611
2023-05-14 09:00:00,58.8,59.5,58.3,58.9,22126379.64489881,1298875475.0951557
2023-05-15 09:00:00,58.9,61.2,58.0,59.4,55503752.13118109,3315237879.180809
2023-05-16 09:00:00,59.4,59.6,58.3,58.9,21506212.49254691,1265638691.5937545
2023-05-17 09:00:00,58.9,60.4,58.2,59.5,40229712.09385008,2378940394.232152
2023-05-18 09:00:00,59.7,61.4,58.6,59.5,96894322.01541962,5849555391.33389
2023-05-19 09:00:00,59.4,59.6,58.6,59.2,22508112.81551537,1329809247.6704102
2023-05-20 09:00:00,59.2,59.3,58.8,59.0,7915741.53856683,467031834.7745791
2023-05-21 09:00:00,58.9,59.0,56.9,57.2,22121626.70746751,1283236498.9758508
2023-05-22 09:00:00,57.2,57.2,55.5,56.7,22821880.83235189,1282688739.7599716
2023-05-23 09:00:00,56.6,58.3,56.1,57.5,35298525.37916588,2017584265.3133664
2023-05-24 09:00:00,57.5,58.2,55.1,55.6,31627315.54394532,1790089021.7485287
2023-05-25 09:00:00,55.6,55.8,54.1,54.7,22817061.39624131,1245091173.3382607
2023-05-26 09:00:00,54.6,54.9,53.6,54.7,15160323.75275716,821956863.9038776
2023-05-27 09:00:00,54.7,55.9,54.3,54.9,22341138.38462406,1226439081.9477358
2023-05-28 09:00:00,54.9,56.6,54.6,56.1,21272011.9239439,1178844950.20864
2023-05-29 09:00:00,56.1,57.1,55.2,55.5,27512973.88364412,1542146795.7903605
2023-05-30 09:00:00,55.4,56.2,55.0,56.0,18876026.39621699,1046172362.2377492
2023-05-31 09:00:00,56.0,56.5,54.0,54.5,19912430.08667552,1094741085.7641919
2023-06-01 09:00:00,54.6,58.2,54.2,54.9,168548013.3620012,9437818578.627132
2023-06-02 09:00:00,54.8,55.4,54.0,55.3,27775575.1448604,1521266052.506452
2023-06-03 09:00:00,55.3,55.4,54.6,55.1,13450425.03223521,739646924.8416779
2023-06-04 09:00:00,55.1,56.6,55.1,55.6,33070137.80315322,1841970962.2771113
2023-06-05 09:00:00,55.6,55.7,50.9,51.8,35340843.81832128,1885824073.801098
2023-06-06 09:00:00,51.7,53.9,49.6,52.8,25782382.92466883,1325442327.9273372
2023-06-07 09:00:00,52.8,52.9,49.9,50.3,29060620.42841324,1490792342.6209667
2023-06-08 09:00:00,50.2,51.8,49.5,50.2,25032709.72118122,1259574685.811838
2023-06-09 09:00:00,50.3,51.0,49.6,50.1,19234999.4120447,966572711.658245
2023-06-10 09:00:00,49.9,50.1,41.7,43.8,70699190.80274484,3141332267.7734575
2023-06-11 09:00:00,43.6,46.4,42.4,44.2,28836860.28941795,1276023562.5998597
2023-06-12 09:00:00,44.2,44.2,42.5,43.2,17356369.76082978,749643463.3031663
2023-06-13 09:00:00,43.2,43.4,42.0,42.3,21741161.85178856,932374872.018218
2023-06-14 09:00:00,42.5,42.8,39.7,40.4,29313080.11080529,1212008726.3109152
2023-06-15 09:00:00,40.3,41.6,39.4,41.4,21504537.18925086,865101189.0201699
2023-06-16 09:00:00,41.4,43.3,41.0,42.8,46551209.15536366,1960846317.9191227
2023-06-17 09:00:00,43.0,43.4,42.2,42.7,14662890.43143857,628711042.4342366
2023-06-18 09:00:00,42.7,44.9,42.4,42.5,46927752.05795458,2045066885.1993892
2023-06-19 09:00:00,42.5,43.6,42.2,43.5,15419242.70338887,658376756.0747808
2023-06-20 09:00:00,43.5,44.5,42.5,44.2,21621038.07970701,937857306.5625588
2023-06-21 09:00:00,44.3,46.8,44.0,46.5,41453110.0446715,1873501135.2485955
