,open,high,low,close,volume,value
2023-02-07 09:00:00,1375.0,1520.0,1370.0,1515.0,7108332.42468458,10325199521.927593
2023-02-08 09:00:00,1515.0,1520.0,1405.0,1455.0,2352216.00918271,3488085471.6474295
2023-02-09 09:00:00,1460.0,1540.0,1320.0,1355.0,5028499.11992043,7363825504.171939
2023-02-10 09:00:00,1350.0,1380.0,1320.0,1365.0,1550975.30689911,2088750243.8562503
2023-02-11 09:00:00,1360.0,1410.0,1355.0,1395.0,1127940.22264006,1559540829.7001455
2023-02-12 09:00:00,1395.0,1430.0,1370.0,1380.0,1048129.33172544,1460933740.6591423
2023-02-13 09:00:00,1390.0,1390.0,1305.0,1350.0,1035267.77336753,1392619368.7909398
2023-02-14 09:00:00,1360.0,1400.0,1315.0,1395.0,1048695.26831994,1414946699.1241581
2023-02-15 09:00:00,1400.0,1495.0,1375.0,1490.0,1608043.93173667,2283195092.1846795
2023-02-16 09:00:00,1490.0,1605.0,1455.0,1460.0,4081885.02731997,6195894720.63119
2023-02-17 09:00:00,1460.0,1580.0,1450.0,1555.0,2360755.77781169,3603742338.9316096
2023-02-18 09:00:00,1565.0,1630.0,1535.0,1550.0,2253276.1820897,3573205307.1122236
2023-02-19 09:00:00,1545.0,1585.0,1510.0,1550.0,1986940.79899549,3084991498.5956326
2023-02-20 09:00:00,1550.0,1665.0,1515.0,1660.0,2496864.59672221,4027658104.1193132
2023-02-21 09:00:00,1660.0,1675.0,1565.0,1620.0,2765520.22714539,4484313310.304061
2023-02-22 09:00:00,1620.0,1625.0,1490.0,1560.0,3517449.05437036,5411878064.810131
2023-02-23 09:00:00,1560.0,1600.0,1535.0,1565.0,3715082.97792034,5821622225.65367
2023-02-24 09:00:00,1565.0,1670.0,1540.0,1570.0,9550361.87055432,15450281540.029165
2023-02-25 09:00:00,1570.0,1675.0,1525.0,1615.0,9296568.380027,14992838955.482502
2023-02-26 09:00:00,1620.0,1650.0,1575.0,1630.0,2814807.6259596,4543693058.352292
2023-02-27 09:00:00,1625.0,1640.0,1540.0,1570.0,1762124.40784883,2797349645.1738405
2023-02-28 09:00:00,1570.0,1575.0,1505.0,1510.0,1074195.58960014,1660711322.6078024
2023-03-01 09:00:00,1510.0,1585.0,1500.0,1575.0,1278240.44662884,1988094005.8383565
2023-03-02 09:00:00,1575.0,1585.0,1505.0,1545.0,1077987.76317612,1656715629.239699
2023-03-03 09:00:00,1550.0,1555.0,1380.0,1405.0,3285585.60823406,4669154030.661168
2023-03-04 09:00:00,1405.0,1420.0,1340.0,1365.0,1436268.45979222,1990544816.4793193
2023-03-05 09:00:00,1360.0,1380.0,1325.0,1335.0,1169426.45014862,1584675551.5874693
2023-03-06 09:00:00,1330.0,1355.0,1280.0,1350.0,1939997.54336273,2542615666.25544
2023-03-07 09:00:00,1355.0,1370.0,1295.0,1335.0,1014653.86752343,1353303088.8104374
2023-03-08 09:00:00,1335.0,1345.0,1265.0,1285.0,993053.42200251,1293547105.6262507
2023-03-09 09:00:00,1280.0,1320.0,1185.0,1200.0,1250069.44573436,1554226636.0214677
2023-03-10 09:00:00,1195.0,1240.0,1155.0,1230.0,1597586.11077773,1918398329.903261
2023-03-11 09:00:00,1235.0,1260.0,1170.0,1225.0,755027.26492989,918201055.8136657
2023-03-12 09:00:00,1225.0,1300.0,1195.0,1300.0,818140.14113372,1015332664.7344376
2023-03-13 09:00:00,1300.0,1350.0,1260.0,1345.0,1707651.29889971,2244266085.420473
2023-03-14 09:00:00,1340.0,1440.0,1320.0,1405.0,3674465.81739567,5058994077.610895
2023-03-15 09:00:00,1405.0,1445.0,1310.0,1350.0,1352433.91690904,1878473386.5529103
2023-03-16 09:00:00,1350.0,1380.0,1330.0,1360.0,663697.45986522,899939604.0398964
2023-03-17 09:00:00,1365.0,1440.0,1340.0,1440.0,1355439.61523732,1884875098.151399
2023-03-18 09:00:00,1435.0,1455.0,1375.0,1380.0,1151044.61790042,1633306736.7080774
2023-03-19 09:00:00,1380.0,1445.0,1375.0,1425.0,1126108.35666344,1585990584.5332425
2023-03-20 09:00:00,1420.0,1435.0,1350.0,1365.0,1190313.94755025,1663321547.2863264
2023-03-21 09:00:00,1360.0,1400.0,1305.0,1385.0,1309724.34104648,1784348385.6478772
2023-03-22 09:00:00,1390.0,1390.0,1285.0,1325.0,1028374.21567486,1384270658.8976288
2023-03-23 09:00:00,1330.0,1385.0,1305.0,1385.0,471690.02905382,633544713.5846423
2023-03-24 09:00:00,1385.0,1390.0,1335.0,1350.0,527162.20407541,715273137.6832546
2023-03-25 09:00:00,1360.0,1360.0,1320.0,1345.0,574829.70322631,774894982.0474517
2023-03-26 09:00:00,1340.0,1370.0,1330.0,1360.0,260677.73142787,352272778.44686747
2023-03-27 09:00:00,1360.0,1365.0,1255.0,1290.0,845968.90744863,1105968536.78853
2023-03-28 09:00:00,1290.0,1320.0,1265.0,1295.0,1588177.19985687,2053010616.1624484
2023-03-29 09:00:00,1290.0,1415.0,1285.0,1385.0,3449423.91260524,4725618366.012166
2023-03-30 09:00:00,1385.0,1390.0,1325.0,1350.0,1370591.36698421,1860918005.1666563
2023-03-31 09:00:00,1350.0,1380.0,1315.0,1370.0,1167910.88127332,1570354792.7326849
2023-04-01 09:00:00,1370.0,1435.0,1365.0,1430.0,1397849.2013119,1966127044.5368955
2023-04-02 09:00:00,1435.0,1440.0,1360.0,1375.0,801891.12984464,1123291419.7885756
