,open,high,low,close,volume,value
2023-02-06 09:00:00,2520.0,2750.0,2295.0,2400.0,64057216.38814823,160892334684.03162
2023-02-07 09:00:00,2390.0,2405.0,2180.0,2255.0,7641572.43016222,17150556249.15719
2023-02-08 09:00:00,2255.0,2305.0,2135.0,2175.0,5148490.97441079,11347383975.891146
2023-02-09 09:00:00,2170.0,2565.0,2015.0,2060.0,21300533.36317253,47785279591.65304
2023-02-10 09:00:00,2060.0,2390.0,1985.0,2145.0,22698064.6577161,50166872649.75705
2023-02-11 09:00:00,2145.0,2310.0,2085.0,2210.0,6389942.73954684,14114017588.8035
2023-02-12 09:00:00,2200.0,2365.0,2130.0,2175.0,12329047.49509895,28184771816.529087
2023-02-13 09:00:00,2175.0,2210.0,1995.0,2095.0,3382097.91130171,7024826098.227162
2023-02-14 09:00:00,2095.0,2160.0,1995.0,2150.0,2695766.78885479,5541434073.436978
2023-02-15 09:00:00,2150.0,2680.0,2120.0,2430.0,56644091.78687613,137296302906.81203
2023-02-16 09:00:00,2430.0,3240.0,2430.0,2645.0,107867202.11222947,312180848486.40155
2023-02-17 09:00:00,2645.0,3170.0,2645.0,2860.0,41488515.49101202,121774751161.45627
2023-02-18 09:00:00,2860.0,2875.0,2665.0,2740.0,6582772.09725637,18060297449.969807
2023-02-19 09:00:00,2740.0,2740.0,2610.0,2660.0,3354183.39504249,8919260898.663752
2023-02-20 09:00:00,2660.0,2685.0,2575.0,2670.0,3572821.14068787,9344373384.782198
2023-02-21 09:00:00,2670.0,2865.0,2545.0,2590.0,8997808.01588591,24558700771.148148
2023-02-22 09:00:00,2595.0,2735.0,2430.0,2625.0,6209203.73700111,16226498057.393421
2023-02-23 09:00:00,2630.0,2765.0,2600.0,2690.0,6544789.1976589,17555544039.212437
2023-02-24 09:00:00,2685.0,2690.0,2550.0,2645.0,4343436.74207241,11366624868.789858
2023-02-25 09:00:00,2650.0,2890.0,2505.0,2670.0,13700803.25396099,37537881303.61779
2023-02-26 09:00:00,2670.0,2670.0,2535.0,2625.0,1629981.90598973,4207745309.5226607
