,open,high,low,close,volume,value
2023-02-06 09:00:00,81.1,81.6,79.2,80.9,150061957.81747025,12084273540.38183
2023-02-07 09:00:00,81.0,83.4,80.8,83.3,197213490.14558813,16183176646.44926
2023-02-08 09:00:00,83.2,90.5,83.0,85.3,277172398.4285237,23698475477.001007
2023-02-09 09:00:00,85.4,85.9,80.7,80.8,203889402.93054894,16925006635.67565
2023-02-10 09:00:00,81.0,82.5,80.1,82.4,143051325.82146758,11675243949.37027
2023-02-11 09:00:00,82.3,83.5,82.0,82.6,108603262.73559248,8982518359.54772
2023-02-12 09:00:00,82.6,84.4,82.5,82.9,130008328.99434823,10836796474.299128
2023-02-13 09:00:00,82.7,85.6,81.5,85.4,202515226.55955195,16942618676.651133
2023-02-14 09:00:00,85.4,86.7,84.0,86.5,176757303.13962758,15133450343.54061
2023-02-15 09:00:00,86.5,91.7,86.4,90.9,249186406.27647838,22212262200.785355
2023-02-16 09:00:00,91.0,92.1,86.2,86.6,215619852.8162075,19396689790.11877
2023-02-17 09:00:00,86.6,92.1,86.0,90.7,184410398.69443345,16398028401.831423
2023-02-18 09:00:00,90.7,91.9,90.1,90.6,121589883.53392392,11069310317.390821
2023-02-19 09:00:00,90.7,92.2,90.2,91.2,128683187.69598012,11734749605.382456
2023-02-20 09:00:00,91.1,94.5,90.2,92.6,262831754.70488253,24306552009.127625
2023-02-21 09:00:00,92.6,93.7,89.9,90.4,206655328.82903162,19048499599.093563
2023-02-22 09:00:00,90.4,91.3,88.8,91.0,150543413.79537532,13546840782.617844
2023-02-23 09:00:00,91.0,91.7,90.4,91.2,128669080.24567208,11708743265.4597
2023-02-24 09:00:00,91.2,91.6,89.9,90.5,132673342.8990914,12055656033.910461
2023-02-25 09:00:00,90.5,91.5,89.4,90.8,120805621.83101757,10949450629.267029
2023-02-26 09:00:00,90.8,92.5,90.4,92.3,93031653.78596641,8533946725.523402
2023-02-27 09:00:00,92.3,92.6,91.0,92.5,116970481.08711529,10744441679.885393
2023-02-28 09:00:00,92.5,92.9,91.8,92.6,105645197.20540737,9766125243.551683
2023-03-01 09:00:00,92.7,92.9,91.9,92.0,113286562.68599486,10459301838.744354
2023-03-02 09:00:00,92.0,93.9,91.3,92.5,175509019.5542785,16188976932.811844
2023-03-03 09:00:00,92.4,92.6,88.3,89.2,144411224.94712856,12981182736.064732
2023-03-04 09:00:00,89.4,90.5,88.5,89.0,88212527.56324624,7910074901.541087
2023-03-05 09:00:00,89.0,90.6,88.8,89.8,65532124.78676163,5882995935.022231
2023-03-06 09:00:00,89.8,90.2,88.7,89.5,75466776.33900832,6747283707.429245
2023-03-07 09:00:00,89.4,90.6,87.6,88.3,122776476.00723036,10954659941.456335
2023-03-08 09:00:00,88.3,88.7,86.8,87.2,105634496.1560424,9296384865.983646
2023-03-09 09:00:00,87.3,88.8,77.3,79.6,188881032.92476967,15988538399.16439
2023-03-10 09:00:00,79.4,79.6,75.6,77.8,225438528.00961617,17470261356.080326
2023-03-11 09:00:00,77.8,80.1,74.5,79.7,185966237.2847046,14326537575.46928
2023-03-12 09:00:00,79.7,85.8,78.5,85.7,116219430.34037203,9346802163.538876
2023-03-13 09:00:00,85.7,90.9,85.1,88.2,280143365.3865862,24730063792.517754
2023-03-14 09:00:00,88.1,90.1,86.3,88.3,239470748.12851283,21144232942.412094
2023-03-15 09:00:00,88.2,89.5,86.2,87.3,160326618.66073865,14071738544.062315
2023-03-16 09:00:00,87.3,89.5,86.7,86.9,137677559.98779768,12085986505.649345
2023-03-17 09:00:00,86.8,89.7,86.6,89.4,162512198.2876663,14361221760.095175
2023-03-18 09:00:00,89.4,90.3,87.0,87.6,149765102.38157767,13298777280.477283
2023-03-19 09:00:00,87.6,89.4,87.3,88.7,110759932.49408159,9777991137.015621
2023-03-20 09:00:00,88.7,89.1,87.1,87.4,123812981.41729183,10945437109.679722
2023-03-21 09:00:00,87.5,89.2,86.2,88.8,165560044.84831366,14583163756.355825
2023-03-22 09:00:00,88.7,90.8,76.7,79.8,328696503.8199724,27506559409.264187
2023-03-23 09:00:00,79.7,87.6,79.0,85.8,355080445.67256844,29331901994.577206
2023-03-24 09:00:00,85.8,86.7,83.9,85.0,197013713.5957455,16815417166.0593
2023-03-25 09:00:00,85.0,85.9,84.3,85.3,114846376.53551596,9783372129.244064
2023-03-26 09:00:00,85.3,86.6,84.6,85.2,82076003.59355009,7015745261.569767
2023-03-27 09:00:00,85.2,85.8,82.7,84.7,125114305.88778935,10615267568.588291
2023-03-28 09:00:00,84.7,85.3,84.0,84.9,117030560.97026198,9902834437.426216
