,open,high,low,close,volume,value
2023-02-06 09:00:00,6.08,6.29,5.83,6.13,1189898005.1057124,7220018019.6890545
2023-02-07 09:00:00,6.13,6.24,5.87,6.21,1039095130.8469106,6257764718.318135
2023-02-08 09:00:00,6.21,6.71,6.11,6.55,4846581751.111758,31383027319.58675
2023-02-09 09:00:00,6.55,6.55,5.83,5.89,1447644910.674435,8916487363.240122
2023-02-10 09:00:00,5.89,6.17,5.66,5.97,896379860.2958927,5291192152.965103
2023-02-11 09:00:00,5.97,5.99,5.85,5.98,203464553.90235627,1204716533.7642612
2023-02-12 09:00:00,5.98,6.15,5.88,5.94,637345893.4433669,3815374077.867494
2023-02-13 09:00:00,5.93,6.48,5.5,5.75,5165847815.175641,31555548261.47636
2023-02-14 09:00:00,5.77,5.86,5.44,5.83,930303423.8706397,5250165716.219144
2023-02-15 09:00:00,5.83,6.45,5.69,6.4,2465991106.4020486,15028873196.343264
2023-02-16 09:00:00,6.38,7.29,6.25,6.45,6618265979.9118185,45440483919.83814
2023-02-17 09:00:00,6.45,6.73,6.25,6.67,1145654893.9307914,7474083640.8095875
2023-02-18 09:00:00,6.67,7.0,6.57,6.8,2439393130.63798,16580272470.541664
2023-02-19 09:00:00,6.8,6.98,6.62,6.82,1910567567.9706461,12985378861.48683
2023-02-20 09:00:00,6.82,7.5,6.64,7.17,3980451157.669756,27963366099.0515
2023-02-21 09:00:00,7.17,7.17,6.72,6.95,1579323350.1209152,10937322260.57701
2023-02-22 09:00:00,6.92,6.95,6.55,6.85,730438775.1385717,4897884047.340802
2023-02-23 09:00:00,6.84,6.9,6.6,6.86,479130082.18506205,3225975492.888741
2023-02-24 09:00:00,6.87,7.3,6.81,7.1,2903640443.877342,20445240206.959835
2023-02-25 09:00:00,7.1,7.23,6.6,7.2,2220117359.957378,15483159797.992193
2023-02-26 09:00:00,7.19,7.73,7.01,7.27,5832306086.990477,42801682844.40452
2023-02-27 09:00:00,7.25,7.27,6.92,7.07,889158671.8529671,6262945841.156383
2023-02-28 09:00:00,7.05,7.05,6.9,6.94,378660279.70464236,2637809194.7842894
2023-03-01 09:00:00,6.94,7.0,6.81,6.97,371031832.7374526,2566972880.5206146
2023-03-02 09:00:00,6.95,6.98,6.57,6.69,498949370.5589325,3345519896.9404635
2023-03-03 09:00:00,6.67,6.71,6.03,6.16,831261400.3652217,5145761734.801261
2023-03-04 09:00:00,6.13,6.28,6.03,6.1,532474109.3039093,3287289197.4243593
2023-03-05 09:00:00,6.09,6.42,6.03,6.23,903578210.9655073,5607553626.042537
2023-03-06 09:00:00,6.23,6.61,5.88,6.05,2546176898.3708744,15950388193.108475
2023-03-07 09:00:00,6.05,6.44,5.81,6.05,3494514738.1579504,21689965816.54795
2023-03-08 09:00:00,6.06,6.12,5.61,5.67,1567189294.38567,9289800044.744434
2023-03-09 09:00:00,5.66,5.75,5.25,5.34,589310557.6101564,3260265201.5713487
2023-03-10 09:00:00,5.33,5.51,5.09,5.4,961006612.235796,5066481310.455796
2023-03-11 09:00:00,5.39,5.59,5.15,5.37,619852786.715299,3357742060.2265787
2023-03-12 09:00:00,5.37,5.61,5.13,5.59,379224568.52261424,2019508150.457236
2023-03-13 09:00:00,5.6,6.06,5.44,6.04,998945128.7233527,5703059246.987096
2023-03-14 09:00:00,6.06,6.3,5.76,6.19,1216306801.315421,7386242685.234317
2023-03-15 09:00:00,6.19,6.32,5.9,6.0,1046740998.095322,6479483859.260613
2023-03-16 09:00:00,5.98,6.16,5.9,6.15,365245260.8252076,2206919269.1073065
2023-03-17 09:00:00,6.14,6.4,6.09,6.39,601361719.5473303,3751694965.0781546
2023-03-18 09:00:00,6.39,6.44,6.2,6.24,460631974.53312194,2922405939.2368894
2023-03-19 09:00:00,6.24,6.4,6.2,6.38,302331487.7564868,1896589330.3235557
2023-03-20 09:00:00,6.38,6.41,6.23,6.24,353427848.867972,2235333724.2453527
2023-03-21 09:00:00,6.24,6.28,5.91,6.15,412965669.0486919,2512360341.7217984
2023-03-22 09:00:00,6.16,6.16,5.83,5.93,231202299.33761302,1389131968.2745473
2023-03-23 09:00:00,5.93,6.1,5.83,6.1,349604545.01412886,2070436545.9463613
2023-03-24 09:00:00,6.1,6.1,5.93,5.95,193210839.32780963,1162786536.7100341
2023-03-25 09:00:00,5.97,6.06,5.9,5.91,158788036.76935196,948351949.3637301
2023-03-26 09:00:00,5.92,6.14,5.85,5.95,207871695.5211682,1244489296.2583232
2023-03-27 09:00:00,5.95,5.97,5.56,5.7,246108775.75909573,1421555604.9868538
2023-03-28 09:00:00,5.7,5.73,5.44,5.69,279428519.518956,1555965666.2712235
2023-03-29 09:00:00,5.71,5.95,5.66,5.93,325117500.20049834,1892344860.8733208
2023-03-30 09:00:00,5.93,6.0,5.83,5.9,267982296.5168182,1581660500.3485608
2023-03-31 09:00:00,5.89,6.02,5.77,6.01,212443744.23334378,1250478313.8438108
2023-04-01 09:00:00,6.02,6.19,6.01,6.13,674484584.7925715,4116679054.6530933
2023-04-02 09:00:00,6.13,6.19,5.95,6.02,293223118.1622914,1779988269.510886
2023-04-03 09:00:00,6.01,6.18,5.91,6.02,406689042.06153107,2459612861.2177367
2023-04-04 09:00:00,6.02,6.12,5.95,6.12,203420896.76754314,1228342560.1244779
2023-04-05 09:00:00,6.12,6.39,6.06,6.35,612853589.3166032,3823865638.9116664
2023-04-06 09:00:00,6.36,6.59,6.15,6.52,1493191836.6790783,9546155171.609604
2023-04-07 09:00:00,6.52,6.64,6.19,6.34,688210143.5767493,4409379296.684924
2023-04-08 09:00:00,6.34,6.6,6.26,6.57,680719660.0082814,4396392282.796625
2023-04-09 09:00:00,6.56,6.56,6.25,6.41,614709492.0182321,3912945941.60033
2023-04-10 09:00:00,6.41,6.46,6.21,6.43,367492856.85446984,2322378382.119369
