,open,high,low,close,volume,value
2023-02-06 09:00:00,88.0,90.0,82.0,86.7,177496546.34503204,15170593373.06552
2023-02-07 09:00:00,86.6,87.1,82.7,87.1,69861209.60876252,5891896281.1767025
2023-02-08 09:00:00,86.8,87.7,84.2,86.4,64655481.76558509,5560261917.78426
2023-02-09 09:00:00,86.2,87.5,80.5,80.9,87103234.49920042,7258041480.178664
2023-02-10 09:00:00,81.0,86.3,77.0,82.7,80384781.7923633,6560620841.394242
2023-02-11 09:00:00,82.7,83.9,81.2,83.3,15511064.23252535,1276139334.7485557
2023-02-12 09:00:00,83.2,83.4,81.0,81.3,18127021.77885156,1488092553.131974
2023-02-13 09:00:00,81.3,81.5,74.5,78.5,37459026.96772838,2922197155.7572174
2023-02-14 09:00:00,78.5,80.5,75.0,80.4,29667896.30716039,2298761920.227114
2023-02-15 09:00:00,80.5,97.3,79.2,91.4,352787761.20823324,31586641701.695267
2023-02-16 09:00:00,91.3,105.0,86.9,89.2,686977898.521251,67149565088.69075
2023-02-17 09:00:00,89.2,98.7,86.3,95.4,363833857.0333633,34647876940.65616
2023-02-18 09:00:00,95.4,95.8,89.1,92.7,68391296.84597856,6319373918.113385
2023-02-19 09:00:00,92.7,92.7,90.1,91.5,26040208.43611229,2371715602.597822
2023-02-20 09:00:00,91.4,93.3,89.6,93.2,45507765.69322362,4156229692.9098654
2023-02-21 09:00:00,93.0,106.0,91.6,97.1,583944717.0639238,57995088603.577255
2023-02-22 09:00:00,97.1,97.2,91.2,96.0,99985330.38768706,9366213413.605978
2023-02-23 09:00:00,95.8,106.0,95.6,106.0,271358087.15534896,27087486134.432625
2023-02-24 09:00:00,106.0,136.0,105.0,107.0,896844947.2349807,107150082216.06471
2023-02-25 09:00:00,106.0,108.0,97.2,99.8,85638021.72828276,8560691868.219306
2023-02-26 09:00:00,99.8,101.0,98.0,100.0,18661048.73128141,1849718019.9947972
2023-02-27 09:00:00,100.0,100.0,93.4,96.5,38659824.39766876,3726200212.173816
2023-02-28 09:00:00,96.1,103.0,95.0,101.0,131610779.0882185,13140851518.427282
2023-03-01 09:00:00,101.0,101.0,97.5,100.0,31605202.62643099,3115958946.850661
2023-03-02 09:00:00,100.0,100.0,92.4,94.9,44262570.56043427,4200459225.5947866
2023-03-03 09:00:00,94.8,99.9,91.1,92.9,252341639.0792047,24129212966.73371
2023-03-04 09:00:00,93.0,94.0,91.5,91.9,28804704.02931622,2665808776.0746636
2023-03-05 09:00:00,91.9,93.1,91.0,92.8,13836392.77555958,1273419508.1534202
2023-03-06 09:00:00,92.7,94.0,86.6,89.6,32966777.92005696,2962094151.095944
2023-03-07 09:00:00,89.3,92.5,83.9,86.7,61381247.36535825,5430912788.177192
2023-03-08 09:00:00,86.7,87.2,82.1,82.5,25245572.74037915,2118986374.2474635
2023-03-09 09:00:00,82.5,84.3,76.9,79.4,29345163.82879216,2370007054.1472726
2023-03-10 09:00:00,79.4,84.8,75.5,81.5,232398356.39104164,18904751221.009705
2023-03-11 09:00:00,81.5,90.6,79.4,82.0,384812153.3837192,33077283547.128857
2023-03-12 09:00:00,81.8,84.5,76.8,84.2,90555570.6097024,7393819451.612359
2023-03-13 09:00:00,84.2,98.2,81.6,95.3,344562135.6776386,31318185048.296947
