,open,high,low,close,volume,value
2023-02-06 09:00:00,30.5,31.3,29.8,30.6,177584688.87672228,5408392606.256724
2023-02-07 09:00:00,30.7,32.9,30.4,32.8,216867637.19594374,6801975452.784225
2023-02-08 09:00:00,32.9,33.9,32.0,32.9,191934690.05474615,6354273688.970174
2023-02-09 09:00:00,32.9,33.8,29.9,30.1,416115974.8362528,13383057131.74086
2023-02-10 09:00:00,30.2,31.5,29.6,30.7,195340512.50022325,5962905647.465875
2023-02-11 09:00:00,30.7,31.1,30.2,31.0,67721122.9787008,2070363816.5442712
2023-02-12 09:00:00,30.9,31.7,30.3,30.7,113077244.41793573,3521778239.030376
2023-02-13 09:00:00,30.7,30.7,28.9,29.9,163801327.1261608,4870312973.13218
2023-02-14 09:00:00,30.0,31.0,29.1,30.8,144561612.09833685,4316439873.723312
2023-02-15 09:00:00,30.9,33.0,30.4,32.9,145943704.113836,4602417781.695653
2023-02-16 09:00:00,32.9,33.5,31.4,31.5,236773683.38521025,7752060259.423153
2023-02-17 09:00:00,31.6,36.7,31.3,35.5,370018191.9569053,12817189082.06024
2023-02-18 09:00:00,35.5,36.8,34.6,35.1,217000928.77716997,7741732946.628019
2023-02-19 09:00:00,35.1,39.9,34.9,37.1,1077975490.3203282,41146525575.492165
2023-02-20 09:00:00,37.1,41.8,36.7,40.9,1222987848.0188859,48972117160.863434
2023-02-21 09:00:00,40.9,41.6,38.2,39.2,643657889.3941286,25838792715.198296
2023-02-22 09:00:00,39.2,39.5,36.9,38.7,317951741.16855973,12082759897.670612
2023-02-23 09:00:00,38.7,40.7,38.1,39.0,402662085.9545747,15883211109.741926
2023-02-24 09:00:00,39.0,39.2,36.4,37.0,251712097.25054538,9501401985.116804
2023-02-25 09:00:00,37.0,37.4,35.0,36.1,186443869.0120705,6731902216.894577
2023-02-26 09:00:00,36.1,37.9,35.4,37.5,162433574.70164233,5956121911.452934
2023-02-27 09:00:00,37.5,38.8,36.9,37.5,353401143.5784341,13339016570.81861
2023-02-28 09:00:00,37.4,37.5,35.9,36.1,148870075.6040104,5462540586.779707
2023-03-01 09:00:00,36.2,37.8,35.7,37.0,186723222.69591495,6899293674.811337
2023-03-02 09:00:00,37.0,37.2,35.0,36.2,165675638.99997485,5947834228.879362
2023-03-03 09:00:00,36.1,36.3,32.9,33.7,279063015.7357862,9418611587.751755
2023-03-04 09:00:00,33.8,34.4,32.1,32.6,146745499.59343243,4915921466.611594
2023-03-05 09:00:00,32.7,33.3,32.2,32.5,107096639.09482981,3513781362.413597
2023-03-06 09:00:00,32.5,33.0,31.3,32.6,135720400.7811599,4347422913.483876
2023-03-07 09:00:00,32.7,33.2,30.5,31.4,167160609.62595403,5287342441.43722
2023-03-08 09:00:00,31.4,31.5,29.5,29.6,169390636.40298355,5132090785.037851
2023-03-09 09:00:00,29.7,30.2,27.2,27.5,280571361.2966799,8072392025.563397
2023-03-10 09:00:00,27.5,28.6,26.4,28.0,267669588.5936377,7343069852.576035
2023-03-11 09:00:00,28.1,28.7,26.5,27.6,186194075.41674685,5097223183.683217
2023-03-12 09:00:00,27.6,29.4,26.7,29.3,139457690.8379192,3878305882.741878
2023-03-13 09:00:00,29.2,31.1,28.2,30.7,303663332.10610527,8960736768.318735
2023-03-14 09:00:00,30.9,32.8,29.7,31.6,386906102.27760124,12086684543.679
2023-03-15 09:00:00,31.5,32.0,29.1,29.3,355500738.9535871,10934398548.852211
2023-03-16 09:00:00,29.4,30.5,29.0,29.8,220350247.83659354,6548574508.053026
2023-03-17 09:00:00,29.8,32.0,29.5,32.0,407606035.46791464,12583519927.073648
2023-03-18 09:00:00,32.0,32.4,30.5,30.7,398734325.54306227,12593821242.543005
2023-03-19 09:00:00,30.7,32.9,30.4,32.6,558205823.106292,17668397750.35601
2023-03-20 09:00:00,32.6,33.3,30.7,31.0,424857128.4521406,13645060038.785503
2023-03-21 09:00:00,30.9,31.7,29.3,31.5,372649065.2509876,11426161813.930666
2023-03-22 09:00:00,31.5,31.6,29.4,30.0,282322720.3285667,8628503947.398794
2023-03-23 09:00:00,30.1,31.3,29.8,31.1,192956806.63727903,5887520891.527139
2023-03-24 09:00:00,31.1,32.0,30.0,30.5,320594450.2672939,9943274881.977146
2023-03-25 09:00:00,30.6,31.3,30.1,30.3,134217578.47799136,4112396452.4715695
2023-03-26 09:00:00,30.4,30.8,30.1,30.4,76919007.62527885,2343411691.2850323
2023-03-27 09:00:00,30.4,30.6,28.7,29.2,223361583.4837154,6654169024.805033
2023-03-28 09:00:00,29.4,29.7,28.6,29.7,157639430.75865912,4573658203.41324
2023-03-29 09:00:00,29.6,30.8,29.6,30.7,185949638.8083896,5656675452.907451
2023-03-30 09:00:00,30.7,31.1,29.7,30.3,177752480.26525947,5411970049.208397
2023-03-31 09:00:00,30.3,31.2,29.9,31.0,133808475.97774056,4081607368.5121174
2023-04-01 09:00:00,31.0,31.2,30.5,31.1,156537521.40784055,4835083832.858225
2023-04-02 09:00:00,31.1,31.5,30.3,30.8,204446928.11453772,6316831325.953559
2023-04-03 09:00:00,30.9,31.3,29.9,30.5,185497308.52986473,5682444737.405534
2023-04-04 09:00:00,30.6,32.0,30.3,31.9,173073981.907314,5407793754.109419
2023-04-05 09:00:00,31.9,32.3,31.5,32.3,196891492.5047961,6303612450.400439
2023-04-06 09:00:00,32.1,33.1,31.4,32.6,440209677.79517806,14066218550.193447
2023-04-07 09:00:00,32.6,32.7,31.6,31.9,142443232.39858615,4566241092.634506
2023-04-08 09:00:00,32.0,32.5,31.7,31.8,86251646.21742624,2767556708.989324
2023-04-09 09:00:00,31.8,32.3,31.3,32.1,110681051.72933066,3517546435.9663467
2023-04-10 09:00:00,32.2,32.9,31.8,32.8,126037832.35630912,4065770785.4615974
2023-04-11 09:00:00,32.8,33.3,32.6,33.1,151413180.03161845,4983738861.161564
2023-04-12 09:00:00,33.1,33.1,31.9,32.4,163812555.98505023,5302212872.218129
2023-04-13 09:00:00,32.4,33.4,32.1,33.2,106131394.6687584,3477233149.69924
2023-04-14 09:00:00,33.3,34.3,33.1,33.7,178813914.9340678,6038065290.23684
2023-04-15 09:00:00,33.8,34.0,33.4,33.7,72174250.83513261,2429810533.975684
2023-04-16 09:00:00,33.7,34.9,33.4,34.1,214473623.33115634,7358066085.048019
2023-04-17 09:00:00,34.2,34.3,33.2,33.5,155541609.39116025,5218044225.548168
2023-04-18 09:00:00,33.5,34.7,33.1,34.6,164543235.4824623,5603110199.442486
2023-04-19 09:00:00,34.6,34.6,31.3,31.7,263152068.356165,8596576404.396048
2023-04-20 09:00:00,31.7,32.2,30.5,30.9,188849222.72264153,5928349773.767248
2023-04-21 09:00:00,30.9,31.0,29.1,29.5,242153774.2355244,7308793062.808589
2023-04-22 09:00:00,29.5,30.4,29.2,30.4,105699292.02374806,3149206773.5710583
2023-04-23 09:00:00,30.3,30.3,29.3,29.6,72642668.63768053,2171099518.861292
2023-04-24 09:00:00,29.6,30.1,29.0,29.5,133068478.61045212,3926786196.442108
2023-04-25 09:00:00,29.6,30.5,28.8,30.3,138920182.45250416,4083854265.4481177
2023-04-26 09:00:00,30.3,31.1,28.5,29.5,219345299.3698079,6592221666.947957
2023-04-27 09:00:00,29.5,30.4,29.4,30.0,89918530.53591596,2687715338.136819
2023-04-28 09:00:00,30.1,30.3,29.6,29.9,93787145.58681704,2811885540.634397
2023-04-29 09:00:00,30.0,30.4,29.8,30.2,63576116.867673,1914443975.7265708
2023-04-30 09:00:00,30.3,30.5,29.6,29.7,83432888.01928502,2512908615.0976343
2023-05-01 09:00:00,29.8,30.0,28.6,29.0,112574821.39255562,3292337727.687358
2023-05-02 09:00:00,28.9,29.0,28.1,28.5,196327466.9745464,5583610939.836694
2023-05-03 09:00:00,28.5,28.5,27.0,27.9,379875830.9628681,10521240035.348007
2023-05-04 09:00:00,27.9,28.2,27.6,27.7,151097564.9732571,4211706309.8232455
2023-05-05 09:00:00,27.8,28.4,27.6,28.0,102594996.22178921,2861439956.64107
2023-05-06 09:00:00,28.1,28.2,26.9,27.2,148435120.03775683,4081840797.9042783
2023-05-07 09:00:00,27.2,27.4,26.9,26.9,75363297.69087075,2045771119.4724104
2023-05-08 09:00:00,27.0,27.2,25.4,25.9,214007595.48068345,5602854892.712212
2023-05-09 09:00:00,26.0,26.5,25.6,26.1,123311470.0320326,3206221123.761501
2023-05-10 09:00:00,26.1,26.6,25.7,26.2,152095972.7985578,3971489733.1203823
2023-05-11 09:00:00,26.2,26.4,25.4,25.6,98543732.88163736,2544647895.1545177
2023-05-12 09:00:00,25.6,26.2,25.0,26.0,124244037.87258738,3163475542.5334787
2023-05-13 09:00:00,26.1,26.2,25.8,26.0,44351339.11924173,1151159340.4595842
2023-05-14 09:00:00,26.0,26.3,25.8,26.0,51515026.87392175,1339546239.4207797
2023-05-15 09:00:00,25.9,26.5,25.7,26.2,71986894.30253203,1883409331.987107
