,open,high,low,close,volume,value
2023-02-06 09:00:00,95.1,104.0,94.4,103.0,273067957.5451744,27331605418.922745
2023-02-07 09:00:00,103.0,105.0,98.0,105.0,138329765.36326578,13883945881.570482
2023-02-08 09:00:00,104.0,105.0,98.6,101.0,98492344.6890643,10004741424.20035
2023-02-09 09:00:00,101.0,106.0,93.0,93.8,220874530.3246826,22053890561.50853
2023-02-10 09:00:00,93.4,98.4,92.2,95.4,106595986.546072,10144594807.630634
2023-02-11 09:00:00,95.5,101.0,94.6,101.0,182166092.36793935,17974050011.577972
2023-02-12 09:00:00,101.0,101.0,96.1,97.1,96402959.1649399,9480290597.000725
2023-02-13 09:00:00,97.4,99.0,88.4,92.3,104677425.04342952,9646523623.351027
2023-02-14 09:00:00,92.5,96.2,88.5,96.1,128299317.1283194,11868582259.68081
2023-02-15 09:00:00,96.1,102.0,93.3,101.0,112704305.62754463,10952620350.24575
2023-02-16 09:00:00,100.0,103.0,97.1,97.8,176339327.37363595,17667392017.743347
2023-02-17 09:00:00,97.8,102.0,97.2,102.0,95832508.84292331,9564638952.742811
2023-02-18 09:00:00,102.0,103.0,99.2,101.0,64943227.21176471,6542924281.926611
2023-02-19 09:00:00,101.0,101.0,99.5,101.0,55825218.12436529,5582226749.1091
2023-02-20 09:00:00,100.0,106.0,98.2,106.0,121439823.73766328,12388131622.598385
2023-02-21 09:00:00,105.0,112.0,101.0,111.0,232912621.9278258,24604091604.289665
2023-02-22 09:00:00,111.0,111.0,103.0,109.0,145100082.79583293,15355151799.949549
2023-02-23 09:00:00,109.0,119.0,105.0,119.0,234304953.69307393,26048770096.879345
2023-02-24 09:00:00,118.0,122.0,111.0,116.0,231796372.13461587,26897161474.463223
2023-02-25 09:00:00,116.0,117.0,106.0,111.0,85706148.74982183,9460364099.183495
2023-02-26 09:00:00,111.0,113.0,107.0,111.0,44946199.92966475,4919292926.972116
2023-02-27 09:00:00,111.0,114.0,106.0,113.0,83851863.97348177,9195502580.664654
2023-02-28 09:00:00,113.0,114.0,108.0,111.0,62608894.18182438,6937456810.901308
2023-03-01 09:00:00,110.0,119.0,109.0,116.0,131995476.85996255,15176138696.38588
2023-03-02 09:00:00,116.0,116.0,107.0,110.0,125968674.31927165,13860745649.729107
