,open,high,low,close,volume,value
2023-02-06 09:00:00,0.0463,0.048,0.046,0.0465,390894453636.0648,18350628416.21109
2023-02-07 09:00:00,0.0465,0.0485,0.0458,0.0478,436087013424.8222,20525561221.353188
2023-02-08 09:00:00,0.0478,0.0489,0.0466,0.0479,265758151609.8697,12749984306.553972
2023-02-09 09:00:00,0.0479,0.0482,0.0437,0.044,257124450040.06635,11831156272.460724
2023-02-10 09:00:00,0.0441,0.0455,0.0431,0.0445,144513595227.12506,6371509450.559608
2023-02-11 09:00:00,0.0445,0.045,0.0441,0.0448,72929302117.68787,3244472574.105369
2023-02-12 09:00:00,0.0448,0.0451,0.0431,0.0436,70600632867.83606,3132524580.179677
2023-02-13 09:00:00,0.0436,0.0438,0.0407,0.0422,143378316400.39023,6034939968.090116
2023-02-14 09:00:00,0.0423,0.0436,0.0403,0.0434,123731767498.57994,5217981587.5722685
2023-02-15 09:00:00,0.0434,0.0463,0.0431,0.0461,192396345427.39667,8555149991.286403
2023-02-16 09:00:00,0.0461,0.0477,0.0443,0.0445,304320352569.03516,14125297555.900124
2023-02-17 09:00:00,0.0445,0.0472,0.0442,0.0468,147389156680.0631,6776676019.478946
2023-02-18 09:00:00,0.0468,0.0475,0.0457,0.0469,164074199606.6383,7679638496.091725
2023-02-19 09:00:00,0.0468,0.0478,0.0462,0.0467,168003013269.424,7872938255.182472
2023-02-20 09:00:00,0.0467,0.0493,0.0458,0.0488,396816262034.21716,19065320477.26594
2023-02-21 09:00:00,0.0488,0.0533,0.0485,0.0504,1425645953288.129,72721106756.26266
2023-02-22 09:00:00,0.0505,0.0515,0.0467,0.0491,423933742553.9335,20548349358.612053
2023-02-23 09:00:00,0.0491,0.0491,0.0472,0.0483,214329876310.18393,10342858551.468685
2023-02-24 09:00:00,0.0484,0.0486,0.0462,0.0472,206324082496.32828,9787806270.01492
2023-02-25 09:00:00,0.0472,0.0472,0.045,0.0465,113852624184.15399,5236332640.852772
2023-02-26 09:00:00,0.0465,0.0471,0.0458,0.0469,76571926943.11765,3553355146.295041
2023-02-27 09:00:00,0.0468,0.0473,0.0458,0.0468,118551839119.77254,5526299837.228116
2023-02-28 09:00:00,0.0468,0.047,0.0455,0.0456,108788411792.93565,5032847801.910853
2023-03-01 09:00:00,0.0456,0.0463,0.0452,0.046,70956629355.78171,3256207650.7810116
2023-03-02 09:00:00,0.046,0.046,0.0442,0.0452,97784468977.9327,4391653483.3496275
2023-03-03 09:00:00,0.0452,0.0453,0.0412,0.0422,122703357919.79552,5199397791.882399
2023-03-04 09:00:00,0.0423,0.0431,0.0416,0.0422,51334828325.72714,2178823414.9906907
2023-03-05 09:00:00,0.0422,0.0424,0.0413,0.0419,42894856624.01434,1800620073.5537891
2023-03-06 09:00:00,0.0418,0.0419,0.0402,0.0411,66134646989.44642,2711550359.178682
2023-03-07 09:00:00,0.0412,0.0416,0.0396,0.0404,69684846795.8636,2823248134.8650436
2023-03-08 09:00:00,0.0408,0.0409,0.0383,0.0388,77969884692.89682,3080606789.967175
2023-03-09 09:00:00,0.0389,0.0399,0.0366,0.0372,79563080496.42235,3057191103.6628065
2023-03-10 09:00:00,0.0373,0.0373,0.035,0.0371,113137271100.51326,4097029352.766925
2023-03-11 09:00:00,0.0371,0.038,0.0353,0.0364,79040610596.71828,2889225795.4321327
2023-03-12 09:00:00,0.0365,0.0384,0.0353,0.0382,80451597638.11455,2931612866.367677
2023-03-13 09:00:00,0.0382,0.0406,0.0373,0.0403,134330029782.16974,5229708747.457636
2023-03-14 09:00:00,0.0403,0.0427,0.0392,0.0416,183194786271.9215,7517390145.455843
2023-03-15 09:00:00,0.0416,0.0428,0.039,0.0396,156788281699.71548,6412112275.06357
2023-03-16 09:00:00,0.0397,0.0406,0.0392,0.0403,64763712234.47469,2588261433.2012954
2023-03-17 09:00:00,0.0404,0.0427,0.04,0.0425,129237355581.36546,5345019053.204759
2023-03-18 09:00:00,0.0426,0.0447,0.0413,0.0414,405414504501.78827,17621197208.490208
2023-03-19 09:00:00,0.0414,0.0435,0.041,0.0432,154332015923.47632,6489883551.661699
2023-03-20 09:00:00,0.0432,0.0439,0.042,0.0423,139950322295.04218,6004055509.5095215
2023-03-21 09:00:00,0.0424,0.0424,0.0403,0.042,128407837676.72409,5345738864.491014
2023-03-22 09:00:00,0.0421,0.0421,0.0395,0.0402,130408096644.95006,5346096103.11835
2023-03-23 09:00:00,0.0403,0.0422,0.0398,0.0417,119569870979.98392,4911258696.473815
2023-03-24 09:00:00,0.0417,0.0418,0.0402,0.0405,59083566781.93157,2428595217.467778
2023-03-25 09:00:00,0.0407,0.0413,0.0403,0.0405,58800932452.65786,2398385882.4694357
2023-03-26 09:00:00,0.0406,0.0412,0.0403,0.0405,35482627225.11892,1443853178.6586943
2023-03-27 09:00:00,0.0406,0.0409,0.0379,0.039,88589237212.57582,3494383554.5973787
2023-03-28 09:00:00,0.039,0.0395,0.0379,0.0394,60693986992.81303,2343337034.1436777
2023-03-29 09:00:00,0.0394,0.0414,0.0393,0.0412,92532998199.73283,3741292180.403967
2023-03-30 09:00:00,0.0411,0.0414,0.0401,0.0405,66363555026.88264,2703935958.714266
2023-03-31 09:00:00,0.0407,0.0413,0.0399,0.0412,56910469623.91347,2312467620.0107193
2023-04-01 09:00:00,0.0412,0.0421,0.0403,0.0417,78750572578.02965,3257767378.246719
2023-04-02 09:00:00,0.0417,0.0447,0.0408,0.0411,430675296686.91815,18501827522.393177
2023-04-03 09:00:00,0.0412,0.0413,0.0399,0.0407,109040307795.87625,4426281184.233762
2023-04-04 09:00:00,0.0406,0.0413,0.0403,0.041,74395104712.97104,3040619627.12452
2023-04-05 09:00:00,0.0411,0.0419,0.0407,0.0417,112824030558.3338,4662204884.959932
2023-04-06 09:00:00,0.0417,0.0441,0.0411,0.0426,383530465830.57623,16338272217.528528
2023-04-07 09:00:00,0.0428,0.0436,0.0412,0.0418,95365358753.12169,4014185721.394737
2023-04-08 09:00:00,0.0418,0.0424,0.0414,0.0419,53642415442.96164,2252856292.276717
2023-04-09 09:00:00,0.042,0.043,0.0409,0.0417,92039313220.38322,3862445446.8854256
2023-04-10 09:00:00,0.0417,0.0423,0.0407,0.0421,82306400415.94516,3414433518.0455685
2023-04-11 09:00:00,0.0422,0.0425,0.0417,0.0422,59689828554.050385,2513347921.897368
