,open,high,low,close,volume,value
2023-02-07 09:00:00,51.3,55.0,51.0,53.6,255538342.36273706,13524865316.821156
2023-02-08 09:00:00,53.7,55.7,51.2,53.1,113297805.82798669,6127884860.922686
2023-02-09 09:00:00,53.1,56.0,48.2,48.7,209195803.70717943,11098570685.66978
2023-02-10 09:00:00,48.8,51.0,48.4,49.6,88029094.13123576,4366388161.883298
2023-02-11 09:00:00,49.7,49.9,48.7,49.7,24030297.97889841,1183205592.073051
2023-02-12 09:00:00,49.8,52.2,48.7,49.3,95215162.2037444,4793373744.418817
2023-02-13 09:00:00,49.4,51.9,46.1,47.5,88214765.11615604,4299762486.826833
2023-02-14 09:00:00,47.6,48.6,46.4,48.5,29329427.27508275,1389917637.7019563
2023-02-15 09:00:00,48.6,52.3,47.8,52.2,71702034.59360795,3586546953.0028176
2023-02-16 09:00:00,52.3,54.4,50.0,50.3,149433961.72448868,7885066553.055743
2023-02-17 09:00:00,50.3,53.1,50.0,52.5,49211903.73079885,2544650890.190653
2023-02-18 09:00:00,52.6,55.1,51.9,53.8,129921953.66623281,6976794112.142967
2023-02-19 09:00:00,53.8,54.5,52.5,53.6,46820068.61142112,2510067876.848384
2023-02-20 09:00:00,53.6,56.7,52.3,56.5,125970596.88852492,6941250286.366499
2023-02-21 09:00:00,56.4,69.6,54.4,58.1,592741680.6970392,35945168250.14599
2023-02-22 09:00:00,58.1,58.1,54.6,56.9,108214500.91695906,6065329126.882168
2023-02-23 09:00:00,56.9,56.9,54.8,55.8,48325200.26711562,2696292130.1565704
2023-02-24 09:00:00,55.8,56.6,53.9,55.0,76548132.9305407,4249906460.275862
2023-02-25 09:00:00,55.0,55.4,52.9,54.4,36571416.3915058,1980311652.0202296
2023-02-26 09:00:00,54.4,55.1,53.8,54.8,32660017.57300699,1779821029.067618
2023-02-27 09:00:00,54.9,80.8,54.9,78.4,5906313114.404635,424319884749.87836
2023-02-28 09:00:00,78.4,82.6,67.4,69.1,2216032983.6586947,165612465095.19858
2023-03-01 09:00:00,68.9,73.1,65.1,66.1,694687678.1821994,48154376106.59823
2023-03-02 09:00:00,66.1,68.3,61.6,63.3,253095672.15254807,16355071005.506426
2023-03-03 09:00:00,63.5,63.6,56.2,57.5,317241395.52862746,18426961117.773506
2023-03-04 09:00:00,57.7,58.0,54.3,55.2,158817150.64287657,8926697712.79775
2023-03-05 09:00:00,55.3,56.2,53.5,54.2,128517892.96445085,7037046325.4729185
2023-03-06 09:00:00,54.1,56.7,52.4,55.0,365682029.88356346,20101230102.825554
