,open,high,low,close,volume,value
2023-02-06 09:00:00,1505.0,1510.0,1450.0,1470.0,4421858.90678359,6540825923.955796
2023-02-07 09:00:00,1470.0,1545.0,1455.0,1540.0,2559406.43231124,3820758942.803263
2023-02-08 09:00:00,1540.0,1610.0,1510.0,1565.0,3979708.24834042,6215510601.33127
2023-02-09 09:00:00,1560.0,1570.0,1350.0,1395.0,4159777.02307965,6161287739.5537195
2023-02-10 09:00:00,1390.0,1430.0,1355.0,1415.0,1976463.73293145,2753662118.4342356
2023-02-11 09:00:00,1415.0,1430.0,1385.0,1410.0,1147386.72820875,1612299952.3480659
2023-02-12 09:00:00,1410.0,1435.0,1385.0,1395.0,1527828.40177845,2149931596.727381
2023-02-13 09:00:00,1405.0,1410.0,1310.0,1350.0,1980042.32078175,2685204822.2208266
2023-02-14 09:00:00,1350.0,1380.0,1300.0,1380.0,1746031.44520989,2343667314.477008
2023-02-15 09:00:00,1380.0,1480.0,1355.0,1470.0,2009602.2848112,2830880424.6445827
2023-02-16 09:00:00,1470.0,1510.0,1405.0,1415.0,3589841.4781746,5287943886.885894
2023-02-17 09:00:00,1415.0,1505.0,1405.0,1490.0,2725348.57167192,3995514837.1294646
2023-02-18 09:00:00,1490.0,1535.0,1475.0,1520.0,4184604.5243151,6317696567.998304
2023-02-19 09:00:00,1520.0,1570.0,1505.0,1545.0,4555262.71150248,7003529112.210736
2023-02-20 09:00:00,1545.0,1665.0,1505.0,1615.0,6997774.18544878,11129347644.2552
2023-02-21 09:00:00,1615.0,1705.0,1560.0,1585.0,9816244.64699587,15974680853.439245
2023-02-22 09:00:00,1590.0,1960.0,1590.0,1905.0,65747731.87221726,114843961526.37082
2023-02-23 09:00:00,1905.0,1935.0,1750.0,1760.0,27222492.43067648,50443896111.345436
2023-02-24 09:00:00,1770.0,1770.0,1620.0,1650.0,8617590.33562152,14643041858.698769
2023-02-25 09:00:00,1650.0,1660.0,1540.0,1595.0,3328271.80152459,5346537366.758596
2023-02-26 09:00:00,1595.0,1620.0,1580.0,1615.0,1730004.21820514,2776860253.177904
2023-02-27 09:00:00,1610.0,1625.0,1555.0,1585.0,2864158.78592436,4569043210.364349
2023-02-28 09:00:00,1585.0,1585.0,1515.0,1530.0,2075017.42446987,3238357349.0237875
2023-03-01 09:00:00,1525.0,1585.0,1510.0,1585.0,1914679.5512702,2980722627.9679184
2023-03-02 09:00:00,1585.0,1585.0,1510.0,1565.0,1963786.98800778,3017997705.6613975
2023-03-03 09:00:00,1565.0,1565.0,1415.0,1525.0,3212987.39813303,4711084110.327988
2023-03-04 09:00:00,1525.0,1530.0,1460.0,1485.0,1280326.81303852,1931043196.8853507
2023-03-05 09:00:00,1485.0,1525.0,1470.0,1490.0,752750.26613774,1136305703.6892993
2023-03-06 09:00:00,1490.0,1525.0,1450.0,1510.0,1055604.8989973,1572178722.5460474
2023-03-07 09:00:00,1510.0,1525.0,1450.0,1480.0,804016.29167672,1193609434.8898022
2023-03-08 09:00:00,1480.0,1480.0,1360.0,1370.0,1431092.89071512,2021671694.931645
